feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
STQ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,4960,0.4989136282866584,1.54703874638687e-310,0.14904627043851268,4.9058902257225776e-26,0.11761666642936583,1.8827795160681884e-31,2.3307534726231647,5.835309077055992e-05,126.98827782188101,0.248914808490158,0.24876331893963155,1.54703874637887e-310,0.4989136282866584,0.14904627043851268,0.11761666642936583
STQ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,4960,0.4966479621662469,2.6293757637151766e-307,0.1477764678065706,1.286148373034568e-25,0.10971767712818391,2.6546879642786998e-27,1.5401506655282118,58.241087710713856,127.01940465208601,0.24665919832388594,0.24650725382980032,2.6293757637258476e-307,0.4966479621662469,0.1477764678065706,0.10971767712818391
STQ FP Equity_DX_ACTIVE_UTILIZATION_MV,0,4960,0.3792259818143266,2.0573237191418714e-169,0.35770320550705226,1.259765379213727e-149,0.28818462870328754,1.6716255626265562e-138,0.16256650359800884,1.1597244210239033,142.69553509173113,0.1438123452830401,0.1436396571719636,2.057323719125626e-169,0.3792259818143266,0.35770320550705226,0.28818462870328754
STQ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,4960,0.37922510937028914,2.061273850328842e-169,0.3577008717455636,1.265766884972189e-149,0.28818383414751353,1.679519372699586e-138,0.16239829530271876,1.1597230891803019,142.69549892604323,0.14381168357690777,0.143638995332369,2.06127385032188e-169,0.37922510937028914,0.3577008717455636,0.28818383414751353
STQ FP Equity_DX_SHORT_INTEREST_VALUE,0,4960,0.3222270935167546,3.317381760372629e-120,0.3553850980047135,1.3866186064213487e-147,0.2830582274226092,4.691591665832299e-143,0.47840781932593424,4.412586849798749e-05,145.1283317606252,0.10383029979625524,0.10364954753723865,3.317381760379651e-120,0.3222270935167546,0.3553850980047135,0.2830582274226092
STQ FP Equity_DX_SI_MV,0,4960,0.32174362864365513,7.859699490060283e-120,0.3705272396203877,3.1136652925207198e-161,0.2940188641562557,1.2987055713360024e-152,0.40290390753235816,43.84582094900364,145.15773607594352,0.10351896257278626,0.10333814751884762,7.859699490025257e-120,0.32174362864365513,0.3705272396203877,0.2940188641562557
STQ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,4960,0.3150781551108421,9.77384373963336e-115,0.33240347866705705,2.9806314030931824e-128,0.26377474003942014,1.1435884662337389e-119,0.255680048809946,0.7631098119237391,140.88695122841872,0.09927424382805183,0.09909257263882787,9.77384373960308e-115,0.3150781551108421,0.33240347866705705,0.26377474003942014
STQ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,4960,0.30596193519608134,5.606426935794827e-108,0.35750336555294904,1.8922224180622756e-149,0.28610665347641195,1.4014362896836797e-140,0.3140837713465403,0.00010529664677200122,146.2581852628494,0.0936127057889311,0.09342989270014301,5.6064269357773826e-108,0.30596193519608134,0.35750336555294904,0.28610665347641195
STQ FP Equity_DX_SUPPLY_SI_MV,0,4960,0.30562368388200395,9.88230666657961e-108,0.3495266063940355,1.6826673979208638e-142,0.27986220230233316,2.4956751772485563e-134,0.2649222300501495,105.25238622636755,146.2675103828804,0.09340583614960718,0.09322298133640616,9.88230666653593e-108,0.30562368388200395,0.3495266063940355,0.27986220230233316
STQ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,4960,0.3050722062112502,2.486054207931345e-107,0.3520849036720236,1.0451889427284241e-144,0.280624314898218,1.5344559815738312e-140,0.505590159427912,5.82990970651102e-05,145.61635058913188,0.09306905100259955,0.09288612826177711,2.4860542079329978e-107,0.3050722062112502,0.3520849036720236,0.280624314898218
