feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
TFF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,5000,0.30607985997062503,6.40667314487684e-109,0.30067597704989396,5.415270465777953e-105,0.22595213467532468,6.849192646037384e-111,1.642091475102784,3.3063820787502804e-06,40.62489693770998,0.09368488067963754,0.09350354512155024,6.406673144897128e-109,0.30607985997062503,0.30067597704989396,0.22595213467532468
TFF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,5000,0.3052915063601266,2.4252478651661965e-108,0.30096392364550195,3.361098892693546e-105,0.22529472634122152,3.0824870838620585e-110,1.3247721463531446,3.267605900854015,40.546647077235136,0.09320290385563523,0.09302147186360954,2.4252478651792476e-108,0.3052915063601266,0.30096392364550195,0.22529472634122152
TFF FP Equity_DX_SUPPLY_SI_QTY,0,5000,-0.17179004212338,2.0107054907017997e-34,-0.10871221422576896,1.2775884277314577e-14,-0.0755263786274246,9.273507394976716e-15,1.122222618633677,-0.00021519431752878163,47.383224704711715,0.029511818572752646,0.029317643266344673,2.0107054907048484e-34,0.17179004212338,0.10871221422576896,0.0755263786274246
TFF FP Equity_DX_UTILIZATION_QUANTITY,0,5000,-0.16894279055110134,2.482527584941082e-33,-0.1207095706886451,1.0840075842197817e-17,-0.08280356557869974,1.7145550973085973e-17,1.2558859974884462,-0.4004337461386467,48.418204024002975,0.02854166647919354,0.02834729706472361,2.4825275849436253e-33,0.16894279055110134,0.1207095706886451,0.08280356557869974
TFF FP Equity_DX_SI_QTY,0,5000,-0.16532473846876045,5.681329176224775e-32,-0.09587432162773928,1.095998853112829e-11,-0.06731329402484536,3.961311922418402e-12,1.1706476676438706,-0.00018295330488738508,47.45801916994308,0.0273322691497645,0.027137657759038203,5.68132917622611e-32,0.16532473846876045,0.09587432162773928,0.06731329402484536
TFF FP Equity_DX_BROKER_SI_QTY,0,5000,-0.13812747956843752,1.0025551709457267e-22,-0.020120428141271504,0.1548761085155421,-0.015779787375573465,0.11183632210983044,0.9251911415887792,-0.0001721203703655858,46.86132888721142,0.01907920061192947,0.018882937946985923,1.0025551709454958e-22,0.13812747956843752,0.020120428141271504,0.015779787375573465
TFF FP Equity_DX_DEMAND_SUPPLY_RATIO,0,5000,-0.1359459841633381,4.668664050302198e-22,-0.0925811535217356,5.4195429222801714e-11,-0.06388664626384295,4.27236644257403e-11,1.297556136999975,-24.954379515039015,48.03779441185404,0.018481310610138912,0.018284928319344695,4.668664050301466e-22,0.1359459841633381,0.0925811535217356,0.06388664626384295
TFF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,5000,-0.12291349623855076,2.7281481377220934e-18,-0.004557462303003116,0.7473145560870973,0.00644894211527409,0.5064430567019947,1.5627189772493173,-6.66889162281016e-06,47.293991691519295,0.015107727557584605,0.014910670280185223,2.7281481377218604e-18,0.12291349623855076,0.004557462303003116,0.00644894211527409
TFF FP Equity_DX_SUPPLY_SI_MV,0,5000,-0.1214362213742881,6.8974229585392076e-18,0.0055922899599214985,0.6925928416318374,0.010147215302479634,0.3051389751594047,1.0722301885524987,-6.549405912307522,47.28732160548226,0.014746755861665184,0.014549626361037293,6.897422958540617e-18,0.1214362213742881,0.0055922899599214985,0.010147215302479634
TFF FP Equity_DX_SHORT_INTEREST_VALUE,0,5000,-0.09845882535898941,3.008902857702269e-12,0.004862218381582132,0.7310517333904005,0.015296377388409079,0.11363921605660389,1.5359121842149195,-4.317162760044504e-06,47.05844720525496,0.009694140291072184,0.009495999862959237,3.0089028577015728e-12,0.09845882535898941,0.004862218381582132,0.015296377388409079
TFF FP Equity_DX_SI_MV,0,5000,-0.0946757169654343,1.9733455906076124e-11,0.01597519255162185,0.25872646531555415,0.020326478715844316,0.038746009814075465,1.067295493817785,-4.084812317207415,47.0183732326094,0.008963491382919297,0.008765204766549406,1.9733455906072518e-11,0.0946757169654343,0.01597519255162185,0.020326478715844316
TFF FP Equity_DX_ACTIVE_UTILIZATION_MV,0,5000,-0.08276382298920497,4.604216252187518e-09,-0.10240152718203552,3.9239927842230116e-13,-0.06985926248246262,2.5509124762651474e-11,0.70260678353818,-0.050544209955166314,48.30104514168281,0.006849850395788337,0.00665114088206209,4.604216252190731e-09,0.08276382298920497,0.10240152718203552,0.06985926248246262
