feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
TNG FP Equity_DX_SHORT_INTEREST_VALUE,0,5000,0.6208781348914504,0.0,0.6955215345333454,0.0,0.5124604817893269,0.0,1.9034913778557057,2.4562419944952034e-06,3.8689269470575214,0.385489658386286,0.3853667071374638,0.0,0.6208781348914504,0.6955215345333454,0.5124604817893269
TNG FP Equity_DX_SI_MV,0,5000,0.5995833949645696,0.0,0.691881770239514,0.0,0.5088778373088519,0.0,1.6154715714994934,2.2463486644051285,4.05559361461246,0.35950024751723886,0.3593720963062579,0.0,0.5995833949645696,0.691881770239514,0.5088778373088519
TNG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,5000,0.5831560787989329,0.0,0.716438711373908,0.0,0.5403573461982905,0.0,1.846117915602258,2.726450284401528e-06,4.267531460365169,0.34007101224014713,0.33993897362715,0.0,0.5831560787989329,0.716438711373908,0.5403573461982905
TNG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,5000,0.5445652012037622,0.0,0.5320639471369765,0.0,0.3565049305030826,6.666507877151305e-309,1.966425370227896,5.180444380205293e-06,4.135056825237175,0.29655125836209395,0.29641051231534765,0.0,0.5445652012037622,0.5320639471369765,0.3565049305030826
TNG FP Equity_DX_SUPPLY_SI_MV,0,5000,0.5424309560323035,0.0,0.5318352937677655,0.0,0.3560559622925935,2.7268374825678994e-302,1.4083031080681478,5.150653811171374,4.148463560780716,0.2942313420621189,0.29409013184644506,0.0,0.5424309560323035,0.5318352937677655,0.3560559622925935
TNG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,0,5000,0.4917292779346329,8.780223364970586e-303,0.5587243110750412,0.0,0.3862021220613501,0.0,1.419849478614858,7.169588401991533,3.8083047396201724,0.2417976827781152,0.24164598163421325,8.780223364963693e-303,0.4917292779346329,0.5587243110750412,0.3862021220613501
TNG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,0,5000,0.43970470675516443,1.691623565897818e-235,0.5154219578777186,0.0,0.3487476368640358,1.6841709613486482e-296,1.5303598299766557,3.049385502243148,3.912366710583856,0.19334022914264526,0.19317883262986868,1.6916235658980067e-235,0.43970470675516443,0.5154219578777186,0.3487476368640358
TNG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,5000,0.42548352443873283,4.695751054893825e-219,0.33636904271335505,1.6209951568436936e-132,0.26777899626860496,2.3294058179543285e-128,0.4386816272667644,3.155974247301714e-06,6.031270002689528,0.1810362295688056,0.18087237127140043,4.695751054937886e-219,0.42548352443873283,0.33636904271335505,0.26777899626860496
TNG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,5000,0.42401271252783185,2.1268205705274503e-217,0.33465670834037076,4.141995888299662e-131,0.2658276746639009,3.2225441431574064e-126,0.37070145682482214,3.1459355072562123,6.03511649398647,0.17978678038520968,0.1796226720979719,2.1268205705185426e-217,0.42401271252783185,0.33465670834037076,0.2658276746639009
TNG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,0,5000,0.3790994226140376,1.2154422634363768e-170,0.3270118532302804,6.192916798858464e-125,0.2578137413416163,7.158673035247912e-119,0.38626314934525086,4.378231051060424e-05,6.077440694259083,0.14371637222629718,0.1435450469706402,1.2154422634424876e-170,0.3790994226140376,0.3270118532302804,0.2578137413416163
TNG FP Equity_DX_UTILIZATION_QUANTITY,0,5000,-0.24490239543461384,3.427881533643032e-69,-0.1471262683626841,1.3502105434807303e-25,-0.12149055701573652,1.881090613075608e-37,1.4252471781484521,-0.05149319722922064,8.582286581179211,0.05997718328961188,0.059789103494351736,3.4278815336428455e-69,0.24490239543461384,0.1471262683626841,0.12149055701573652
TNG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,0,5000,0.23983288286805962,2.385074150536522e-66,0.29449248492102975,1.333150751188093e-100,0.1942336059898166,6.732716480264299e-94,1.0061027674692964,0.35620283794445173,5.352519631963686,0.05751981170480458,0.05733124023855907,2.385074150534726e-66,0.23983288286805962,0.29449248492102975,0.1942336059898166
TNG FP Equity_DX_DEMAND_SUPPLY_RATIO,0,5000,-0.23888426354380235,7.980354864041151e-66,-0.07672226161913896,5.5809124180977404e-08,-0.072192123353757,2.1155239057067202e-14,1.4673378483036026,-0.5605447352786628,7.600471157284064,0.0570656913688653,0.05687702904220848,7.980354864030927e-66,0.23888426354380235,0.07672226161913896,0.072192123353757
TNG FP Equity_DX_DSS,0,5000,0.22405636618576497,6.33696736531708e-58,0.19776699960496374,2.8428321566334054e-45,0.16158830640950012,1.9840925563058124e-44,0.0701346307096109,6.3875141687222134,6.391266319082399,0.0502012552283696,0.05001121946511,6.3369673653290544e-58,0.22405636618576497,0.19776699960496374,0.16158830640950012
TNG FP Equity_DX_ACTIVE_UTILIZATION_MV,0,5000,-0.16239661141927286,6.796779402679044e-31,-0.16604708094534845,3.058216601744963e-32,-0.13489891048581973,4.3976020524045995e-34,0.37077365665005435,-0.024946296225800153,8.677571085449538,0.026372659400461962,0.026177856010986322,6.796779402695947e-31,0.16239661141927286,0.16604708094534845,0.13489891048581973
TNG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,5000,-0.16119918562431104,1.8505888028160767e-30,-0.1653230514025472,5.689534593749376e-32,-0.13451512030318485,6.8576951188314885e-34,0.36891683720995316,-0.024739060713065864,8.65998482800656,0.0259851774459412,0.025790296529063617,1.8505888028103145e-30,0.16119918562431104,0.1653230514025472,0.13451512030318485
TNG FP Equity_DX_BROKER_SI_QTY,0,5000,0.15509673469621113,2.706441993761224e-28,0.23812193328740983,2.0982605769029548e-65,0.15789022328718594,1.0840257913494835e-62,1.4869734498210674,9.324664390848577e-06,5.566862605348564,0.024054997113426735,0.023859730006006497,2.7064419937619463e-28,0.15509673469621113,0.23812193328740983,0.15789022328718594
TNG FP Equity_DX_SI_QTY,0,5000,0.1472113205044778,1.265855023485137e-25,0.23299286652519965,1.2818437425144486e-62,0.14654928041257456,2.8417494611428926e-54,1.5476957821303539,7.051478285623696e-06,5.57976700132789,0.02167117288467213,0.0214754288216239,1.2658550234851118e-25,0.1472113205044778,0.23299286652519965,0.14654928041257456
TNG FP Equity_DX_BROKER_SI_MV_INC_x,0,5000,0.13099332942911043,1.3990454465983806e-20,0.09400311668170115,2.7361584060525946e-11,0.07596980349282281,1.2858652397479119e-11,0.045129627606511624,11.79135165942295,6.540617739762465,0.017159252354923327,0.01696260554667106,1.3990454465987414e-20,0.13099332942911043,0.09400311668170115,0.07596980349282281
TNG FP Equity_DX_BROKER_SI_MV_INC_y,0,5000,0.13099332942911043,1.3990454465983806e-20,0.09400311668170115,2.7361584060525946e-11,0.07596980349282281,1.2858652397479119e-11,0.045129627606511624,11.79135165942295,6.540617739762465,0.017159252354923327,0.01696260554667106,1.3990454465987414e-20,0.13099332942911043,0.09400311668170115,0.07596980349282281
TNG FP Equity_DX_BROKER_SI_MV_DEC,0,5000,0.12463420001984084,9.130502979489218e-19,0.12235079977644225,3.889373110459636e-18,0.09732745432184806,1.9161351710448598e-18,0.04488157258997583,8.562126266054046,6.542360486117262,0.015533683814586086,0.015336711762528266,9.130502979489385e-19,0.12463420001984084,0.12235079977644225,0.09732745432184806
TNG FP Equity_DX_SUPPLY_SI_QTY,0,5000,0.11933877991629219,2.5246925354621006e-17,0.16409386885208221,1.6217338186581935e-31,0.08466730896442339,5.193747879183767e-19,1.6169824327155782,1.0738176551331952e-05,5.953765961023693,0.014241744391909394,0.014044513848570528,2.5246925354641787e-17,0.11933877991629219,0.16409386885208221,0.08466730896442339
TNG FP Equity_DX_SUPPLY_SI_MV_DEC,0,5000,0.11335696627371022,9.022925082456487e-16,0.09593828798101801,1.0619206625962062e-11,0.0761074084981849,1.228250762645455e-11,0.049721317084062466,16.134014691176354,6.534569392019846,0.01284980180277906,0.012652292759522399,9.022925082454174e-16,0.11335696627371022,0.09593828798101801,0.0761074084981849
TNG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,5000,-0.11041122941795598,4.907984359516983e-15,-0.1951246969994122,4.280114913607454e-44,-0.1451050781625728,4.524292225676641e-53,0.926242942786331,-0.0634504548345721,8.056913354524534,0.012190639581584506,0.011992998653129527,4.9079843595177564e-15,0.11041122941795598,0.1951246969994122,0.1451050781625728
TNG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,5000,0.10898006333071085,1.0998017293662e-14,0.07948030680441685,1.827285680012856e-08,0.06458987122079281,8.242563610193494e-12,1.1019500152079642,0.02956549604940939,5.347012872078792,0.01187665420356565,0.011678950452906123,1.0998017293664184e-14,0.10898006333071085,0.07948030680441685,0.06458987122079281
TNG FP Equity_DX_BROKER_SI_MV_ADD,0,5000,0.08521715949320091,1.5872962914323163e-09,0.06235706679489182,1.021826765070171e-05,0.05066886302155171,9.92248837769927e-06,0.006559094325971682,13.021584001021589,6.607162165308389,0.00726196427208925,0.0070633372141205575,1.5872962914323498e-09,0.08521715949320091,0.06235706679489182,0.05066886302155171
TNG FP Equity_DX_BROKER_SI_MV_NEW_x,0,5000,0.05216486034440654,0.0002240753015899126,0.040139254627598125,0.004529655499964441,0.03279329008692078,0.004518573941300386,0.0010881430945877124,10.999343233191665,6.642177055453281,0.002721172654751358,0.002521637075050487,0.00022407530158990356,0.05216486034440654,0.040139254627598125,0.03279329008692078
TNG FP Equity_DX_BROKER_SI_MV_NEW_y,0,5000,0.05216486034440654,0.0002240753015899126,0.040139254627598125,0.004529655499964441,0.03279329008692078,0.004518573941300386,0.0010881430945877124,10.999343233191665,6.642177055453281,0.002721172654751358,0.002521637075050487,0.00022407530158990356,0.05216486034440654,0.040139254627598125,0.03279329008692078
TNG FP Equity_DX_SUPPLY_SI_QTY_ADD,0,5000,0.03918101751294311,0.005590373165230175,0.08084000967510774,1.0392669062934352e-08,0.06547135100180596,9.98994847161296e-09,0.011704289085495034,0.00010357181617009603,6.626442565750111,0.0015351521333500928,0.0013353792546253462,0.0055903731652297796,0.03918101751294311,0.08084000967510774,0.06547135100180596
TNG FP Equity_DX_SUPPLY_SI_QTY_INC_x,0,5000,-0.0389549517152111,0.005871223909879107,-0.0022353374270754132,0.8744387517956758,-0.0016140454103645667,0.8845888231995236,0.035494002396654345,-3.720873598743365e-05,6.692235382839618,0.00151748826313447,0.001317711850222003,0.005871223909878298,0.0389549517152111,0.0022353374270754132,0.0016140454103645667
TNG FP Equity_DX_SUPPLY_SI_QTY_INC_y,0,5000,-0.0389549517152111,0.005871223909879107,-0.0022353374270754132,0.8744387517956758,-0.0016140454103645667,0.8845888231995236,0.035494002396654345,-3.720873598743365e-05,6.692235382839618,0.00151748826313447,0.001317711850222003,0.005871223909878298,0.0389549517152111,0.0022353374270754132,0.0016140454103645667
TNG FP Equity_DX_BROKER_SI_QTY_NEW,0,5000,0.03575913042489563,0.011447642968647252,0.0401309545346736,0.004538001085794909,0.03276973630363928,0.004547542060911647,0.0011227535311464365,9.532500857420897e-05,6.644935191785711,0.0012787154087442465,0.0010788912221514346,0.01144764296864764,0.03575913042489563,0.0401309545346736,0.03276973630363928
TNG FP Equity_DX_SUPPLY_SI_QTY_DEC,0,5000,-0.034553536448986254,0.014548686194929217,0.013919031043965654,0.3251028747352527,0.011112881532530207,0.30603548055669405,0.07651233695563109,-3.167256244023021e-05,6.694283958838042,0.0011939468811310583,0.000994105734048456,0.014548686194929286,0.034553536448986254,0.013919031043965654,0.011112881532530207
TNG FP Equity_DX_SUPPLY_SI_MV_NEW,0,5000,0.025842667169172592,0.06766958893152868,0.05034791899674254,0.0003687363601213838,0.041110768773083645,0.00037046544297380027,0.00036946207760535366,7.227314288958992,6.648673465140847,0.0006678434464166827,0.00046789703654204207,0.06766958893153055,0.025842667169172592,0.05034791899674254,0.041110768773083645
TNG FP Equity_DX_SUPPLY_SI_MV_RMV,0,5000,0.02429259694374328,0.08587508306241204,0.05607838436584669,7.263926660588904e-05,0.04576754340578098,7.372106117525996e-05,0.0010709890237967645,6.747258621398833,6.64895760513749,0.0005901302662710828,0.0003901683075409057,0.08587508306241487,0.02429259694374328,0.05607838436584669,0.04576754340578098
TNG FP Equity_DX_SUPPLY_SI_QTY_NEW_x,0,5000,0.015898660139264494,0.26101515143679255,0.04932835650281377,0.00048429892828175526,0.04027716151113618,0.00048585715416417277,0.0010962147228130714,4.275476215718966e-05,6.650414067723339,0.00025276739422375183,5.273793591931142e-05,0.26101515143679016,0.015898660139264494,0.04932835650281377,0.04027716151113618
TNG FP Equity_DX_SUPPLY_SI_QTY_NEW_y,0,5000,0.015898660139264494,0.26101515143679255,0.04932835650281377,0.00048429892828175526,0.04027716151113618,0.00048585715416417277,0.0010962147228130714,4.275476215718966e-05,6.650414067723339,0.00025276739422375183,5.273793591931142e-05,0.26101515143679016,0.015898660139264494,0.04932835650281377,0.04027716151113618
TNG FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,0,5000,0.015364320379690837,0.27738433127653855,0.051103679919506984,0.00030030768864822556,0.04169138681575084,0.00030432752824897805,0.0013911996804545357,4.119143898103541e-05,6.65044428341683,0.0002360623407294815,3.602954007742021e-05,0.2773843312765462,0.015364320379690837,0.051103679919506984,0.04169138681575084
TNG FP Equity_DX_BROKER_SI_MV_RMV,0,5000,0.009629602789836501,0.4960225558511438,0.007776739850537837,0.5824775696072695,0.0063525980055147415,0.582314381593944,0.0,5.12088158770527,6.651239190286198,9.272924988978914e-05,-0.00010733222885161986,0.4960225558511321,0.009629602789836501,0.007776739850537837,0.0063525980055147415
TNG FP Equity_DX_BROKER_SI_CON_RATIO,0,5000,-0.00855011631855514,0.5455482196818987,-0.07646471066922908,6.182316049763885e-08,-0.033964646951332236,0.00032611619874545325,1.3739776190835649,-0.22834491465420934,6.729327824804958,7.310448906117095e-05,-0.00012696091620312266,0.5455482196818988,0.00855011631855514,0.07646471066922908,0.033964646951332236
TNG FP Equity_DX_BROKER_SI_QTY_INC,0,5000,0.00838476464159196,0.5533454137580148,0.0016117524929145437,0.909285602016217,0.0014254230502339469,0.8968147966305808,0.0346346513586977,7.959203971129913e-06,6.6424473922866945,7.030427809462392e-05,-0.0001297616874358365,0.5533454137580094,0.00838476464159196,0.0016117524929145437,0.0014254230502339469
