feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALBKK FP Equity_DX_BROKER_SI_CON_RATIO,1,1741,-0.42781905033193773,2.0557520409502208e-78,-0.44221186798808,2.9233393388652893e-84,-0.3490216113207854,1.8792252638627626e-73,0.42071779422068567,-4.347584644799447,17.301187723481124,0.18302913982692082,0.18255934634781046,2.0557520409521502e-78,0.42781905033193773,0.44221186798808,0.3490216113207854
ALBKK FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,1741,-0.4207318848374402,1.2294139094925811e-75,-0.4421994288037754,2.958390680434909e-84,-0.34893743713731434,2.022034492007229e-73,0.41941224015286016,-0.042648311786496064,17.282364333250136,0.17701531891886513,0.17654206723336718,1.2294139094924856e-75,0.4207318848374402,0.4421994288037754,0.34893743713731434
ALBKK FP Equity_DX_UTILIZATION_QUANTITY,1,1741,0.22449433393100363,2.5032200288966475e-21,0.11638538340737534,1.1200446588346733e-06,0.09289682267762892,1.2244576847287612e-06,0.2266700561374615,0.06790991871104154,15.501406986987579,0.05039770596712534,0.049851643693386016,2.5032200289041523e-21,0.22449433393100363,0.11638538340737534,0.09289682267762892
ALBKK FP Equity_DX_BROKER_SI_MARKET_SHARE_2,1,1741,0.2208965902855146,1.1016300502664403e-20,0.27002461669459565,1.8128260524325718e-30,0.21919936329504128,1.7186605501154975e-29,0.0896746042407095,0.12701514955473742,15.51952923730038,0.04879530359976669,0.04824831987555733,1.1016300502670235e-20,0.2208965902855146,0.27002461669459565,0.21919936329504128
ALBKK FP Equity_DX_DEMAND_SUPPLY_RATIO,1,1741,0.185698424502162,5.683246031171312e-15,-0.3335022508476248,1.7048445949639252e-46,-0.2672289853312539,6.042471475549862e-49,0.7403190820858625,1.8258462718986923,15.547097239366174,0.03448390486258579,0.03392869146687716,5.683246031173405e-15,0.185698424502162,0.3335022508476248,0.2672289853312539
ALBKK FP Equity_DX_ACTIVE_UTILIZATION_MV,1,1741,0.13534881363503476,1.4319858813982297e-08,0.11106410088442142,3.396956720884835e-06,0.09260226937298155,1.7357876315721702e-06,0.14410363299916118,0.02373188386362999,15.543615703225516,0.018319301352411443,0.017754792612533654,1.4319858813974745e-08,0.13534881363503476,0.11106410088442142,0.09260226937298155
ALBKK FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,1741,0.13534708952906319,1.4325952008697288e-08,0.11021220747052068,4.0386854353837845e-06,0.09213553312418893,2.0127909969269357e-06,0.14229767831319773,0.02373151228834833,15.54361828286514,0.018318834643988424,0.017754325635733204,1.43259520086947e-08,0.13534708952906319,0.11021220747052068,0.09213553312418893
ALBKK FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,1,1741,0.12435351370212586,1.9381333032291108e-07,0.17233491194367137,4.493798447396384e-13,0.14026417161860147,3.7368233085729516e-13,0.16206006670841044,46.240142758990416,15.586819532601966,0.015463796370064342,0.01489764559166884,1.9381333032291617e-07,0.12435351370212586,0.17233491194367137,0.14026417161860147
ALBKK FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,1,1741,0.07878561128300836,0.0010014939837625695,0.21531521704302115,1.0427922339179425e-19,0.17484247008533688,2.7989446371613446e-19,0.1294495258696402,33.61910005707813,15.668835760945406,0.006207172545237505,0.005635698808920897,0.0010014939837627176,0.07878561128300836,0.21531521704302115,0.17484247008533688
ALBKK FP Equity_DX_SI_MV,1,1741,0.0686719302105224,0.0041479836357606395,0.2053975578260224,4.8615975352259136e-18,0.16690739133869986,1.2106153862057727e-17,0.11286154078015365,47.418093576104006,15.678928827745422,0.004715833998839236,0.004143502678539579,0.004147983635760821,0.0686719302105224,0.2053975578260224,0.16690739133869986
