feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALCAF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,1,4958,-0.3413860572978333,1.4660617965093573e-135,-0.27345834682360415,9.378722647612132e-86,-0.19629152622037963,4.418157969229334e-77,0.8676692538640554,-2.508259219832132e-05,10.71376282724263,0.11654444011735987,0.11636618031915924,1.4660617965110107e-135,0.3413860572978333,0.27345834682360415,0.19629152622037963
ALCAF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,4958,-0.2635281739713541,1.4884186882281103e-79,-0.1934469432759257,5.2494946605998224e-43,-0.11357062664580685,9.162968707470915e-28,1.1805117429640668,-3.0815627297452866e-06,10.525274008209646,0.0694470984766764,0.06925933558290664,1.4884186882238038e-79,0.2635281739713541,0.1934469432759257,0.11357062664580685
ALCAF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,4958,-0.25603762083711057,4.749903278699147e-75,-0.143138855043666,4.1294021517283465e-24,-0.07868711652681942,4.133307654855281e-14,1.0435275940537134,-2.9856723274468564,10.512472593257458,0.06555526328392758,0.06536671511267744,4.749903278704639e-75,0.25603762083711057,0.143138855043666,0.07868711652681942
ALCAF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,4958,0.09098480759838477,1.37877558301313e-10,0.11569677266015155,3.034054876351061e-16,0.09384618123503491,3.9004859555694414e-16,0.20509927494374125,0.011675979138914177,9.6581012708888,0.008278235213715068,0.008078129934299016,1.3787755830103025e-10,0.09098480759838477,0.11569677266015155,0.09384618123503491
ALCAF FP Equity_DX_ACTIVE_UTILIZATION_MV,1,4958,0.09098480759838477,1.37877558301313e-10,0.11569677266015155,3.034054876351061e-16,0.09384618123503491,3.9004859555694414e-16,0.20509927494374125,0.011675979138914177,9.6581012708888,0.008278235213715068,0.008078129934299016,1.3787755830103025e-10,0.09098480759838477,0.11569677266015155,0.09384618123503491
ALCAF FP Equity_DX_BROKER_SI_CON_RATIO,1,4958,0.07954684372733996,2.0395344020795568e-08,0.11366900974977558,9.923981895856485e-16,0.08848103164509252,2.4789722128718104e-15,0.2639720730667203,1.088324288469525,9.681373503019207,0.006327700346982046,0.0061272014971731625,2.0395344020800577e-08,0.07954684372733996,0.11366900974977558,0.08848103164509252
ALCAF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,4958,0.07431520414416301,1.6172321360149586e-07,0.11362914778528396,1.0155755878277934e-15,0.08841110598461704,2.627186376199937e-15,0.265646985569973,0.00986857616866631,9.694035475903569,0.005522749566988838,0.005322088297732841,1.6172321360147696e-07,0.07431520414416301,0.11362914778528396,0.08841110598461704
ALCAF FP Equity_DX_SI_MV,1,4958,0.06219189117222043,1.1745455465984158e-05,0.12406873035230738,1.822704217670841e-18,0.10409025804090466,8.191529646117643e-21,0.418838373479264,8.366692156464545,9.764998937987095,0.003867831327577842,0.003666836136158924,1.1745455465975794e-05,0.06219189117222043,0.12406873035230738,0.10409025804090466
ALCAF FP Equity_DX_SUPPLY_SI_QTY,1,4958,-0.05588238333632559,8.25291901558791e-05,0.09517623559034422,1.8779693249254052e-11,0.07765787030890946,2.1163653100486457e-12,0.46913185891042564,-0.00011785437954693908,10.006874583324631,0.003122840767348589,0.002921695254993417,8.252919015583161e-05,0.05588238333632559,0.09517623559034422,0.07765787030890946
ALCAF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,4958,0.05271008634884983,0.00020471633362272165,0.16363716749283524,4.240778621652904e-31,0.1375688821592489,1.1543970051339637e-35,0.5480909624789043,1.2456311113915479e-05,9.787151118814666,0.0027783532029034275,0.0025771381813544103,0.00020471633362255685,0.05271008634884983,0.16363716749283524,0.1375688821592489
ALCAF FP Equity_DX_SHORT_INTEREST_VALUE,1,4958,0.05025586794557888,0.00040010515790789227,0.11843028852801993,5.940791531383123e-17,0.10126173019574616,3.187614118706193e-20,0.5950915385916948,6.85266417834564e-06,9.789814646698261,0.00252565226296364,0.002324386252524402,0.00040010515790750016,0.05025586794557888,0.11843028852801993,0.10126173019574616
ALCAF FP Equity_DX_DEMAND_SUPPLY_RATIO,1,4958,0.036390904408888085,0.010389231019949942,0.11658919526415538,1.7891201762977e-16,0.09325308161670966,2.5370113604582546e-17,0.4758686474600249,0.3737683957177077,9.819600937518436,0.0013242979236961494,0.0011227895092337237,0.010389231019950994,0.036390904408888085,0.11658919526415538,0.09325308161670966
ALCAF FP Equity_DX_BROKER_SI_MV_RMV,1,4958,0.03623737206499467,0.010717442052753134,0.02249225268085371,0.11329628060773031,0.018387512606368332,0.11328733118646836,0.0,262.19463385113096,9.890268307444021,0.0013131471341768508,0.0011116364697568715,0.010717442052751764,0.03623737206499467,0.02249225268085371,0.018387512606368332
ALCAF FP Equity_DX_BROKER_SI_MV_NEW_y,1,4958,0.03596090048450509,0.01133176938034795,0.02243270998679453,0.11425434203723864,0.01833883619973334,0.11424511470946944,0.0,260.1942303812901,9.890288480936054,0.0012931863636559404,0.0010916716716389274,0.011331769380346763,0.03596090048450509,0.02243270998679453,0.01833883619973334
ALCAF FP Equity_DX_BROKER_SI_QTY_NEW,1,4958,0.03596090048450509,0.01133176938034795,0.02243270998679453,0.11425434203723864,0.01833883619973334,0.11424511470946944,0.0,0.0065048557595314745,9.89028848093605,0.0012931863636560514,0.0010916716716390384,0.011331769380348636,0.03596090048450509,0.02243270998679453,0.01833883619973334
ALCAF FP Equity_DX_BROKER_SI_MV_NEW_x,1,4958,0.03596090048450509,0.01133176938034795,0.02243270998679453,0.11425434203723864,0.01833883619973334,0.11424511470946944,0.0,260.1942303812901,9.890288480936054,0.0012931863636559404,0.0010916716716389274,0.011331769380346763,0.03596090048450509,0.02243270998679453,0.01833883619973334
ALCAF FP Equity_DX_SUPPLY_SI_MV,1,4958,0.030056544111702287,0.03431777780063957,0.07802040808310114,3.783787864000386e-08,0.06744638326898088,1.973021659622031e-09,0.30375400534135566,6.933219475417205,9.831075642355204,0.0009033958439391698,0.0007018025016962692,0.034317777800666735,0.030056544111702287,0.07802040808310114,0.06744638326898088
ALCAF FP Equity_DX_SI_QTY,1,4958,-0.024008555674133427,0.09096418740549489,0.10596615033322877,7.399002966573461e-14,0.08737882564687267,2.581584714946605e-15,0.45282295388234717,-3.163240839137855e-05,9.942186601570665,0.0005764107455576983,0.0003747514256920992,0.09096418740549445,0.024008555674133427,0.10596615033322877,0.08737882564687267
ALCAF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,1,4958,0.02363313119207644,0.09613360838219641,0.11208465070380129,2.4688431592653748e-15,0.09666390691158674,1.4771570285765097e-18,0.5765485288211094,5.493196262169494e-06,9.843675219417596,0.0005585248899425688,0.000356861961147259,0.09613360838216445,0.02363313119207644,0.11208465070380129,0.09666390691158674
ALCAF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,1,4958,-0.021774639742336167,0.12527232864066146,0.035259666311859755,0.013032233671485458,0.029507733286868367,0.00925722773539667,0.15221799376715905,-0.018078579468412095,9.919954781633727,0.00047413493590786615,0.00027245497927674833,0.12527232864074947,0.021774639742336167,0.035259666311859755,0.029507733286868367
ALCAF FP Equity_DX_UTILIZATION_QUANTITY,1,4958,0.02157489776710025,0.12877547056419822,0.10945979915327492,1.0865993641952845e-14,0.08318486387101803,4.484203718238367e-14,0.47407024592162195,0.003819992822679678,9.848811880318493,0.0004654762136605539,0.00026379450991032005,0.12877547056426927,0.02157489776710025,0.10945979915327492,0.08318486387101803
ALCAF FP Equity_DX_BROKER_SI_MV_ADD,1,4958,0.019955751320477305,0.16004172542241618,0.025273278082383745,0.07517346753773778,0.02065526448556093,0.07510556538878425,0.0,38.18360337869085,9.88875370193128,0.00039823201076583103,0.00019653673877451094,0.16004172542240097,0.019955751320477305,0.025273278082383745,0.02065526448556093
ALCAF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,1,4958,-0.01526458303591936,0.28254592529129413,0.11074655441575569,5.2780109490926015e-15,0.0906844815897242,4.601796273827812e-16,0.34958832913930027,-1.8649007770276067,9.92440664422358,0.00023300749526056208,3.1278884989327516e-05,0.28254592529129596,0.01526458303591936,0.11074655441575569,0.0906844815897242
ALCAF FP Equity_DX_BROKER_SI_QTY_INC,1,4958,-0.012821337463819768,0.3667386757374397,-0.019205591855486686,0.17634065996840878,-0.015698836178596416,0.17616894877803357,0.0,-0.003354297046575451,9.89479866481764,0.0001643866943611405,-3.735576191510326e-05,0.3667386757374341,0.012821337463819768,0.019205591855486686,0.015698836178596416
ALCAF FP Equity_DX_BROKER_SI_MV_DEC,1,4958,0.012609843888806415,0.3746972001971419,0.010487999978146804,0.4603161635067621,0.008580483460591832,0.45962656570268745,0.0,27.943091996957513,9.890038124865175,0.00015900816290159714,-4.273537863119792e-05,0.3746972001971386,0.012609843888806415,0.010487999978146804,0.008580483460591832
ALCAF FP Equity_DX_SUPPLY_SI_QTY_INC_y,1,4958,0.01139961906508847,0.42226042324673196,0.09146941843289923,1.0998490796330036e-10,0.0745303612455346,1.2466338004772072e-10,0.0,0.0007336249914463366,9.891136257685087,0.0001299513148294018,-7.179808966717438e-05,0.42226042324672874,0.01139961906508847,0.09146941843289923,0.0745303612455346
ALCAF FP Equity_DX_SUPPLY_SI_QTY_INC_x,1,4958,0.01139961906508847,0.42226042324673196,0.09146941843289923,1.0998490796330036e-10,0.0745303612455346,1.2466338004772072e-10,0.0,0.0007336249914463366,9.891136257685087,0.0001299513148294018,-7.179808966717438e-05,0.42226042324672874,0.01139961906508847,0.09146941843289923,0.0745303612455346
ALCAF FP Equity_DX_BROKER_SI_QTY_ADD,1,4958,0.010627670077975607,0.45436408716090987,0.012487408664979946,0.3793528545341758,0.010208655152591192,0.3787741584486004,0.0,0.0002411895963578592,9.890595137633703,0.00011294737128597632,-8.880546419187674e-05,0.4543640871609118,0.010627670077975607,0.012487408664979946,0.010208655152591192
ALCAF FP Equity_DX_SUPPLY_SI_QTY_DEC,1,4958,-0.008728459486642672,0.538915138737957,0.08015060301996041,1.5922021883413613e-08,0.06523039127064331,1.7208152373233994e-08,0.0004300685152260897,-0.000127740166574994,9.895211684644048,7.618600501013706e-05,-0.0001255742480155142,0.5389151387379609,0.008728459486642672,0.08015060301996041,0.06523039127064331
ALCAF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,1,4958,-0.007722044887244088,0.5867140980238142,0.10586068988931963,7.832587627402048e-14,0.08746765238008668,2.775484838948856e-15,0.4246648510172053,-0.2886516795793787,9.909082897136585,5.9629977239850085e-05,-0.00014213361638848454,0.5867140980238892,0.007722044887244088,0.10586068988931963,0.08746765238008668
ALCAF FP Equity_DX_BROKER_SI_MV_INC_x,1,4958,-0.0075582541356476445,0.5946752558029433,-0.010775957352654094,0.44809252549565426,-0.008809391148103267,0.44803701310812116,0.0,-193.36924939467923,9.893692493946727,5.712720557848883e-05,-0.00014463689304822225,0.5946752558029258,0.0075582541356476445,0.010775957352654094,0.008809391148103267
ALCAF FP Equity_DX_BROKER_SI_MV_INC_y,1,4958,-0.0075582541356476445,0.5946752558029433,-0.010775957352654094,0.44809252549565426,-0.008809391148103267,0.44803701310812116,0.0,-193.36924939467923,9.893692493946727,5.712720557848883e-05,-0.00014463689304822225,0.5946752558029258,0.0075582541356476445,0.010775957352654094,0.008809391148103267
ALCAF FP Equity_DX_BROKER_SI_QTY,1,4958,0.006038633131955446,0.6707671734335854,0.15838329825225322,3.240549009441247e-29,0.1267016150366153,3.467138788399592e-30,0.4362401681306962,1.4024917875376574e-05,9.88107713126371,3.646509010291066e-05,-0.00016530317763518987,0.6707671734335203,0.006038633131955446,0.15838329825225322,0.1267016150366153
ALCAF FP Equity_DX_BROKER_SI_QTY_DEC,1,4958,0.004823575492269924,0.7341885987721127,0.00875765291687529,0.5375582804356376,0.007152946475858594,0.5372370085363609,0.0,0.00011437297351834951,9.891753209955978,2.326688052944892e-05,-0.00017850405028552174,0.7341885987721177,0.004823575492269924,0.00875765291687529,0.007152946475858594
ALCAF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,1,4958,-0.004620422272103508,0.7449859622153542,0.10349470927013517,2.7692487126978877e-13,0.08178785945965217,1.0006647675460893e-13,0.3947014899341652,-0.006213364660943678,9.900384505658218,2.1348301972978767e-05,-0.00018042301596432608,0.7449859622151257,0.004620422272103508,0.10349470927013517,0.08178785945965217
ALCAF FP Equity_DX_SUPPLY_SI_QTY_ADD,1,4958,-0.004598155578608493,0.7461725077559964,-0.007452872923493629,0.5998233201561176,-0.0060866429234540205,0.5997392552456661,0.0,-6.7769030674009e-05,9.893970525438965,2.1143034724557808e-05,-0.00018062832463083822,0.7461725077559809,0.004598155578608493,0.007452872923493629,0.0060866429234540205
ALCAF FP Equity_DX_SUPPLY_SI_MV_DEC,1,4958,0.001176530996065492,0.9339928405292365,-0.0016562045283731264,0.9071856636047192,-0.0013511488966612656,0.9072878655631536,0.0,1.9888380557888947,9.89261963457428,1.3842251838092068e-06,-0.00020039112101777334,0.9339928405292779,0.001176530996065492,0.0016562045283731264,0.0013511488966612656
