feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALCAR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,1,3948,0.5932742302775651,0.0,0.3842131946735156,4.552555843559779e-139,0.23728067585851764,8.331217744443187e-110,1.7194240469250803,3.3120036230956144e-05,19.775826071973583,0.3519743123114376,0.35181008887309784,0.0,0.5932742302775651,0.3842131946735156,0.23728067585851764
ALCAR FP Equity_DX_SUPPLY_SI_MV,1,3948,0.5915258645996782,0.0,0.3826801204547644,6.935199124905473e-138,0.23510436658559894,1.8467737117931922e-106,1.6116075509429328,32.9740846730231,19.84297028735962,0.34990284849039643,0.34973810009923834,0.0,0.5915258645996782,0.3826801204547644,0.23510436658559894
ALCAR FP Equity_DX_SI_MV,1,3948,0.4659306337624854,5.3345070223399e-212,0.3593585241514852,1.1670144475769203e-120,0.2237705830955777,7.07932609642055e-98,1.533310216311699,19.906422735780513,21.79928190466284,0.21709135547831115,0.216892949841078,5.334507022342146e-212,0.4659306337624854,0.3593585241514852,0.2237705830955777
ALCAR FP Equity_DX_SHORT_INTEREST_VALUE,1,3948,0.46062019608932875,1.260041488619748e-206,0.3612065662615655,5.670544953086161e-122,0.22620151482300577,1.1874777444569991e-100,1.6299410643133396,1.997928148601362e-05,22.082933915903425,0.2121709650453718,0.21197131247695955,1.2600414886195333e-206,0.46062019608932875,0.3612065662615655,0.22620151482300577
ALCAR FP Equity_DX_BROKER_SI_QTY,1,3948,-0.44352825650338057,5.778696440205711e-190,-0.4802508214528394,5.685362472379138e-227,-0.3432279238185956,2.4728192017592766e-227,1.828121292869891,-0.00019183706972509783,52.72785249462564,0.19671731431692885,0.19651374546602074,5.778696440202213e-190,0.44352825650338057,0.4802508214528394,0.3432279238185956
ALCAR FP Equity_DX_SI_QTY,1,3948,-0.42354963931403977,1.158396952118666e-171,-0.4997573425041163,1.5056981025798492e-248,-0.3628464598202453,1.0381880311242065e-254,1.8023308790747037,-0.00013641697328109397,51.79957289193349,0.1793942969630531,0.17918633809254192,1.1583969521192208e-171,0.42354963931403977,0.4997573425041163,0.3628464598202453
ALCAR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,3948,0.4193170060798475,6.099652814454905e-168,0.3416795368071249,1.575296929787107e-108,0.21268445868949973,1.0281062522363536e-88,1.57250232238244,2.2862955606163602e-05,24.309978228218338,0.17582675158776684,0.1756178886256755,6.099652814457546e-168,0.4193170060798475,0.3416795368071249,0.21268445868949973
ALCAR FP Equity_DX_SUPPLY_SI_QTY,1,3948,-0.37908719654383627,3.875450083826473e-135,-0.4512203255437772,2.4055223627623512e-197,-0.3320487968843956,2.1004531494854186e-211,1.819801756668538,-0.0002515840175475265,51.2486055737306,0.1437071025834653,0.14349009982182903,3.875450083823874e-135,0.37908719654383627,0.4512203255437772,0.3320487968843956
ALCAR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,1,3948,0.31430946657425546,2.997518101136379e-91,0.1899010756802567,2.2434634066093642e-33,0.06495871679279208,1.0984540728136321e-09,1.7461893265723676,13.996875827346004,27.867043375709404,0.09879044077819321,0.09856205518285055,2.9975181011345423e-91,0.31430946657425546,0.1899010756802567,0.06495871679279208
ALCAR FP Equity_DX_DEMAND_SUPPLY_RATIO,1,3948,-0.288857781022827,9.69417940738605e-77,-0.36460973678725495,2.0512087713143233e-124,-0.222988696246012,1.0030721396100236e-97,1.648359815766304,-19.656051131040247,59.01939745634074,0.08343881765743111,0.08320654163554997,9.694179407386555e-77,0.288857781022827,0.36460973678725495,0.222988696246012
ALCAR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,3948,0.18707586351129596,2.0116435207421714e-32,0.1921716541492546,3.752478967413896e-34,0.15735010809555164,3.7113052229649576e-35,0.20666793252842353,2.7506384196812138e-05,40.043412746384995,0.03499737870849684,0.034752826599705244,2.0116435207443053e-32,0.18707586351129596,0.1921716541492546,0.15735010809555164
