feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALDLT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,4970,0.4773686448422241,2.4131045639862266e-281,0.5158783206965551,0.0,0.39045823911090033,1.7048065273084906e-291,0.4173000210122728,0.2732764563673208,39.38102912397251,0.22788082307850155,0.22772540456462853,2.4131045640052334e-281,0.4773686448422241,0.5158783206965551,0.39045823911090033
ALDLT FP Equity_DX_BROKER_SI_CON_RATIO,1,4970,0.4699311955364283,1.5436511186781596e-271,0.5174762879057996,0.0,0.39236513906943254,9.178094148782637e-294,0.41867054976198315,28.055041453087707,39.7078963664185,0.22083532853829657,0.22067849184919408,1.5436511186569923e-271,0.4699311955364283,0.5174762879057996,0.39236513906943254
ALDLT FP Equity_DX_ACTIVE_UTILIZATION_MV,1,4970,0.4034267142108917,6.54350438752031e-194,0.4918075927445691,4.348768251873902e-301,0.3854617505991832,1.3928832089517496e-266,0.29749822877158394,0.21598039656077814,41.89907695582405,0.16275311373899637,0.16258458578282475,6.543504387527426e-194,0.4034267142108917,0.4918075927445691,0.3854617505991832
ALDLT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,4970,0.40342521782851415,6.567010012606391e-194,0.4917353378796082,5.489711018985122e-301,0.38544355245962175,1.7547542882023996e-266,0.2974839200853203,0.21597993238005941,41.899068023798954,0.16275190637998405,0.16258337818078528,6.567010012681898e-194,0.40342521782851415,0.4917353378796082,0.38544355245962175
ALDLT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,4970,0.34599888557879716,9.080572005516459e-140,0.4888718974804366,5.3689828620839645e-297,0.3749471524506958,4.988253676204031e-268,0.510481490408031,7.173554051663972e-05,44.01065966594541,0.11971522882176944,0.11953803784528438,9.080572005480368e-140,0.34599888557879716,0.4888718974804366,0.3749471524506958
ALDLT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,4970,0.33903688043611335,6.248982094767085e-134,0.3029603867527577,5.15517304043246e-106,0.25230506111488626,1.331346897701936e-134,1.024061853545172,8.270017546157755,43.18958658944655,0.11494600629585161,0.11476785533093536,6.248982094767917e-134,0.33903688043611335,0.3029603867527577,0.25230506111488626
ALDLT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,4970,0.3388642163823554,8.683421534050317e-134,0.3178552374610367,4.4828645504007365e-117,0.26422884506246413,2.947511323816604e-146,1.1051333638707699,8.228222433795212e-06,43.23341160600492,0.11482895714442753,0.11465078261889305,8.683421534056613e-134,0.3388642163823554,0.3178552374610367,0.26422884506246413
ALDLT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,1,4970,0.3366875926356539,5.3956700012264775e-132,0.48972759142067296,3.4787350957792875e-298,0.36755193717477896,1.3234396516724004e-263,0.43677129951452587,5.512756814451145,43.646061070789,0.11335853503479199,0.11318006453057206,5.3956700011897005e-132,0.3366875926356539,0.48972759142067296,0.36755193717477896
ALDLT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,1,4970,0.31686240428859763,2.563684355291566e-116,0.35906512500227744,3.914063764853549e-151,0.27575256535017434,6.409243359951213e-141,0.3104516631349794,0.4316828652181757,42.97000446081629,0.1004017832515508,0.10022070470550648,2.5636843553031105e-116,0.31686240428859763,0.35906512500227744,0.27575256535017434
ALDLT FP Equity_DX_SUPPLY_SI_MV,1,4970,0.3119903268082559,1.2117700831251107e-112,0.4373129711639026,2.7114163881937336e-231,0.33880111927761863,1.2981551403212937e-215,0.3859373170887901,66.63858977132638,44.24843783946433,0.09733796402192219,0.09715626876508288,1.211770083122041e-112,0.3119903268082559,0.4373129711639026,0.33880111927761863
ALDLT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,1,4970,0.31072616754073434,1.0606652898119559e-111,0.47248443368915893,7.071971442637222e-275,0.3608357636445699,1.0185417360956334e-249,0.5325317333705151,6.625429043232593e-05,44.257983484970524,0.09655075119455236,0.09636889748102484,1.0606652898154552e-111,0.31072616754073434,0.47248443368915893,0.3608357636445699
ALDLT FP Equity_DX_SI_MV,1,4970,0.30365281761801854,1.6301042736519158e-106,0.47740868081020593,2.133687174178233e-281,0.3663023125648291,3.962358160376723e-257,0.4782051844424329,33.13812000365758,44.412564147140756,0.09220503364736155,0.09202230519197663,1.6301042736421488e-106,0.30365281761801854,0.47740868081020593,0.3663023125648291
ALDLT FP Equity_DX_SHORT_INTEREST_VALUE,1,4970,0.3022140953892526,1.7767856053257422e-105,0.5073134760400159,0.0,0.3838071596522025,2.9994774767530304e-288,0.5810264989923977,3.3513906887068475e-05,44.41755202228484,0.09133335945194432,0.09115045553879064,1.7767856053257457e-105,0.3022140953892526,0.5073134760400159,0.3838071596522025
ALDLT FP Equity_DX_BROKER_SI_QTY,1,4970,0.2726515433242194,1.9230077269789305e-85,0.47364938900625475,2.0730485826602324e-276,0.3584779852348548,2.8922810349603242e-244,0.4588051164975555,0.003925866572655997,44.33797399861161,0.07433886407707879,0.07415253937178035,1.9230077269804387e-85,0.2726515433242194,0.47364938900625475,0.3584779852348548
ALDLT FP Equity_DX_DEMAND_SUPPLY_RATIO,1,4970,0.2633151244623525,1.3035102293831812e-79,0.4917924116416235,4.566961765943561e-301,0.3669681622341857,1.9649821190317862e-263,0.5397897308980175,77.04614056374139,44.47673628915665,0.0693348547706244,0.06914752281707592,1.303510229383552e-79,0.2633151244623525,0.4917924116416235,0.3669681622341857
ALDLT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,1,4970,0.2438638258147303,3.337925465456099e-68,0.27284744810620126,1.4425124010983557e-85,0.21433368283769483,1.7275046150224305e-93,0.7303679972427117,0.00036862806346165474,43.966835316208865,0.05946956554099747,0.05928024782069585,3.3379254654631954e-68,0.2438638258147303,0.27284744810620126,0.21433368283769483
ALDLT FP Equity_DX_SUPPLY_SI_QTY,1,4970,0.22864140372933645,5.886736806436956e-60,0.4575999098151248,8.334842124892253e-256,0.3432677260195761,4.0240031003016137e-225,0.44958999752012474,0.003306248251242669,44.63380502355399,0.05227689149932102,0.052086125978286324,5.886736806447645e-60,0.22864140372933645,0.4575999098151248,0.3432677260195761
ALDLT FP Equity_DX_SI_QTY,1,4970,0.22716396692677832,3.4589992256376392e-59,0.48904234280800124,3.11480455749715e-297,0.36317371430900314,2.6599954447578877e-257,0.5370263450334791,0.0017354750614005968,44.718080560185726,0.051603467869910435,0.05141256679661543,3.458999225629964e-59,0.22716396692677832,0.48904234280800124,0.36317371430900314
ALDLT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,1,4970,0.22679074915471753,5.399570608500689e-59,0.4183723240031466,7.197290832524407e-210,0.32219385206507833,5.80668356207937e-191,0.31296033856339767,127.57509417734677,44.70301008762477,0.05143404390215811,0.05124310872581006,5.399570608502588e-59,0.22679074915471753,0.4183723240031466,0.32219385206507833
ALDLT FP Equity_DX_UTILIZATION_QUANTITY,1,4970,0.20792932680406093,1.1343819115178911e-49,0.45417364659682297,1.5082137657960628e-251,0.33851686018511845,1.0511781877253448e-219,0.4874406591327478,0.920881283989162,45.00227323508435,0.043234604945189714,0.04304201931816587,1.1343819115227828e-49,0.20792932680406093,0.45417364659682297,0.33851686018511845
ALDLT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,1,4970,0.20692913819159892,3.3464852683342796e-49,0.4492312596573088,1.71688775356361e-245,0.3380882737173475,7.034363884333133e-219,0.46633937117980695,33.15528443367887,44.8679507082316,0.042819668232717434,0.04262699908381107,3.34648526833153e-49,0.20692913819159892,0.4492312596573088,0.3380882737173475
ALDLT FP Equity_DX_BROKER_SI_MV_DEC,1,4970,0.12210429149717596,5.705034231539179e-18,0.18729226303039487,1.807772239759915e-40,0.15217699678499405,6.004537974788123e-40,0.018811603536068366,149.94243412533663,46.13874355690505,0.01490945800202681,0.01471117085589202,5.705034231536713e-18,0.12210429149717596,0.18729226303039487,0.15217699678499405
ALDLT FP Equity_DX_BROKER_SI_QTY_DEC,1,4970,0.11158654052239285,3.038295282928252e-15,0.2061528181193108,7.719186241496429e-49,0.1664266817382589,4.689235472851513e-48,0.022709846853235183,0.00987407001910881,46.14729058353858,0.012451556025755317,0.012252774132845978,3.0382952829281173e-15,0.11158654052239285,0.2061528181193108,0.1664266817382589
ALDLT FP Equity_DX_BROKER_SI_MV_ADD,1,4970,0.10788645541713879,2.418533999711919e-14,0.15131634461242865,7.629784545652173e-27,0.12322509141380096,1.2657341291267842e-26,0.005111219276009438,138.58234480831695,46.227758539958465,0.011639487262474546,0.011440541909669144,2.4185339997130426e-14,0.10788645541713879,0.15131634461242865,0.12322509141380096
ALDLT FP Equity_DX_SUPPLY_SI_MV_DEC,1,4970,0.0951651158588226,1.785768960804441e-11,0.1708392800331623,7.3149937549342245e-34,0.1385490445428076,2.046835265327545e-33,0.019235953410215334,113.82158731762723,46.206873923508745,0.00905639927642321,0.008856933978371062,1.785768960805009e-11,0.0951651158588226,0.1708392800331623,0.1385490445428076
ALDLT FP Equity_DX_BROKER_SI_QTY_ADD,1,4970,0.092852598938575,5.436296156048984e-11,0.16083434539349142,3.725676816163311e-30,0.13059672256853117,8.297749390569324e-30,0.00672467129512655,0.008318703221049875,46.25942022172462,0.008621605129648158,0.008422052312645367,5.4362961560465934e-11,0.092852598938575,0.16083434539349142,0.13059672256853117
ALDLT FP Equity_DX_SUPPLY_SI_QTY_DEC,1,4970,0.0673643161948761,2.001527197466219e-06,0.19665666856504707,1.6178442085569697e-44,0.15868740480082902,1.1125752272082553e-43,0.017128098247697565,0.004836740330698491,46.27752407725208,0.004537951096403869,0.004337576287848477,2.0015271974662528e-06,0.0673643161948761,0.19665666856504707,0.15868740480082902
ALDLT FP Equity_DX_BROKER_SI_MV_INC_x,1,4970,0.06401568041535712,6.287321914227803e-06,0.09604688284488275,1.1598804033624267e-11,0.0783113333087471,1.288309824863805e-11,0.0019715780188238607,178.61898891208978,46.346437176692866,0.004098007339041199,0.0038975439749791008,6.28732191422629e-06,0.06401568041535712,0.09604688284488275,0.0783113333087471
ALDLT FP Equity_DX_BROKER_SI_MV_INC_y,1,4970,0.06401568041535712,6.287321914227803e-06,0.09604688284488275,1.1598804033624267e-11,0.0783113333087471,1.288309824863805e-11,0.0019715780188238607,178.61898891208978,46.346437176692866,0.004098007339041199,0.0038975439749791008,6.28732191422629e-06,0.06401568041535712,0.09604688284488275,0.0783113333087471
ALDLT FP Equity_DX_SUPPLY_SI_QTY_ADD,1,4970,0.054138461333614295,0.00013426236160579496,0.14248706663311136,5.8666464066023456e-24,0.11576806970823722,1.0814989237190957e-23,0.010033679257158257,0.004432101970869694,46.34414802333856,0.0029309729955708796,0.002730274721214232,0.0001342623616057378,0.054138461333614295,0.14248706663311136,0.11576806970823722
ALDLT FP Equity_DX_BROKER_SI_QTY_INC,1,4970,0.05325815519085028,0.00017242538437815946,0.10007905380144093,1.5340058243974838e-12,0.08148072603167088,1.682610296813714e-12,0.0004155711073514645,0.01006330848947762,46.357508444845244,0.0028364310943327364,0.0026357137898027627,0.00017242538437821679,0.05325815519085028,0.10007905380144093,0.08148072603167088
ALDLT FP Equity_DX_SUPPLY_SI_QTY_INC_x,1,4970,0.049471145994188996,0.000485036076798855,0.10857850704928584,1.6494538770069388e-14,0.0882959127360955,1.9681582607037987e-14,0.00448479834928639,0.007385225874705042,46.34926854313004,0.0024473942859782882,0.0022465986729119924,0.00048503607679897153,0.049471145994188996,0.10857850704928584,0.0882959127360955
ALDLT FP Equity_DX_SUPPLY_SI_QTY_INC_y,1,4970,0.049471145994188996,0.000485036076798855,0.10857850704928584,1.6494538770069388e-14,0.0882959127360955,1.9681582607037987e-14,0.00448479834928639,0.007385225874705042,46.34926854313004,0.0024473942859782882,0.0022465986729119924,0.00048503607679897153,0.049471145994188996,0.10857850704928584,0.0882959127360955
ALDLT FP Equity_DX_BROKER_SI_QTY_NEW,1,4970,-0.0019343252783755784,0.8915585679600679,-0.00019564012316264433,0.988998467901971,-0.0001571542561712746,0.9891850434180338,0.0,-0.009775913788597471,46.43854947359984,3.741614282515293e-06,-0.0001975458773408878,0.8915585679600595,0.0019343252783755784,0.00019564012316264433,0.0001571542561712746
ALDLT FP Equity_DX_BROKER_SI_MV_NEW_y,1,4970,0.0001527888541164667,0.9914080392748056,-0.00018879678872111557,0.9893832695455315,-0.00015430467040206404,0.989381666954043,0.0,8.11709943637013,46.43765801127218,2.334443383045226e-08,-0.0002012648956335461,0.9914080392748279,0.0001527888541164667,0.00018879678872111557,0.00015430467040206404
