feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALITL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,4950,0.7515993633479218,0.0,0.5229905126334753,0.0,0.41714892041033497,5.197213528489002e-293,0.43587649279604834,0.18189920619835018,7.676697270028151,0.5649016029850016,0.5648136687899703,0.0,0.7515993633479218,0.5229905126334753,0.41714892041033497
ALITL FP Equity_DX_ACTIVE_UTILIZATION_MV,1,4950,0.7515532734534197,0.0,0.522869608700211,0.0,0.4169794669600025,6.58289811955825e-293,0.43645172541090904,0.1818919187043672,7.67601042362418,0.5648323228385509,0.5647443746418732,0.0,0.7515532734534197,0.522869608700211,0.4169794669600025
ALITL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,4950,0.5483035029908264,0.0,0.46655209008326765,4.2769948677978824e-266,0.3663979233897506,9.312994814052085e-236,0.4075606737134927,0.1287223197083778,8.138767095584832,0.3006367313920115,0.30049538877507387,0.0,0.5483035029908264,0.46655209008326765,0.3663979233897506
ALITL FP Equity_DX_UTILIZATION_QUANTITY,1,4950,0.5310657357921054,0.0,0.5111050345197031,0.0,0.39493362457295256,1.9609520590961302e-282,0.5655343760916147,0.2714902366015131,9.284976840459978,0.2820308157324103,0.28188571282532315,0.0,0.5310657357921054,0.5111050345197031,0.39493362457295256
ALITL FP Equity_DX_BROKER_SI_CON_RATIO,1,4950,0.5310168998013555,0.0,0.4664737871394616,5.389456827459629e-266,0.36634055841631374,1.2190815603655474e-235,0.40700483783554264,12.748755146732162,8.25469753813676,0.28197894787464295,0.28183383448496535,0.0,0.5310168998013555,0.4664737871394616,0.36634055841631374
ALITL FP Equity_DX_DEMAND_SUPPLY_RATIO,1,4950,0.5005235538939302,3.205442043755e-312,0.5267454814027742,0.0,0.4077911259893588,2.1634795472816733e-303,0.5623559460164205,14.562065494355583,9.486636985946248,0.2505238280026105,0.2503723574747211,0.0,0.5005235538939302,0.5267454814027742,0.4077911259893588
ALITL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,1,4950,0.4253864913466784,8.926449408275815e-217,0.42410577058126375,2.3892044673513935e-215,0.33699766664242037,4.9933801227879805e-194,0.2496149678220485,0.44768393691762615,9.948627582576062,0.18095366702023785,0.18078813623345946,8.926449408263129e-217,0.4253864913466784,0.42410577058126375,0.33699766664242037
ALITL FP Equity_DX_SHORT_INTEREST_VALUE,1,4950,0.4053986514514887,3.4456473156881036e-195,0.5303571589603578,0.0,0.41453731051962306,0.0,0.6557238362905764,0.0001336973485698224,10.038178370007525,0.1643480665986855,0.1641791797891865,3.44564731567547e-195,0.4053986514514887,0.5303571589603578,0.41453731051962306
ALITL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,1,4950,0.4040525056146793,8.685793583015488e-194,0.5081578406620029,0.0,0.395243982121414,3.0773899844772542e-279,0.4668905913368828,38.66439932102172,9.995232718167596,0.16325842729350037,0.16308932026587186,8.68579358297259e-194,0.4040525056146793,0.5081578406620029,0.395243982121414
ALITL FP Equity_DX_SI_MV,1,4950,0.4038137395949146,1.5371804573162372e-193,0.5090934541324557,0.0,0.4026828363542049,1.7156378383148677e-278,0.28542953441461316,132.47012199176544,10.051925898947522,0.16306553628562936,0.16289639027436953,1.5371804573181686e-193,0.4038137395949146,0.5090934541324557,0.4026828363542049
