feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALPRO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,1,4882,-0.21261495884554352,5.1150873273401984e-51,-0.05941503966058908,3.266938547986636e-05,-0.03746054097686872,0.0005244594273486572,0.4681066647864691,-0.5195677814542531,8.274971621263147,0.04520512072489202,0.0450094660365159,5.1150873273238287e-51,0.21261495884554352,0.05941503966058908,0.03746054097686872
ALPRO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,1,4882,-0.17783933743454206,5.6144022373563e-36,-0.21470330441121557,5.173277758961896e-52,-0.17075782386987715,2.9546148648535027e-50,0.20213196857860516,-0.06599390908812815,8.238919719571184,0.03162682993915722,0.03142839281414467,5.6144022373777e-36,0.17783933743454206,0.21470330441121557,0.17075782386987715
ALPRO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,1,4882,-0.16748167552323734,4.8057823272152893e-32,-0.14890511781740445,1.3200458588802955e-25,-0.11057650225149517,3.801725295132552e-23,0.4254669920764331,-3.227914688052076,8.228624386176545,0.028050111636071073,0.027850941576979982,4.805782327219283e-32,0.16748167552323734,0.14890511781740445,0.11057650225149517
ALPRO FP Equity_DX_BROKER_SI_QTY,1,4882,-0.16650745860526686,1.0938279077201422e-31,-0.06399761705462127,7.639702043714353e-06,-0.03966103917617403,0.00027468359682617123,0.5312228420194607,-5.8256200287915375e-05,8.226841546635239,0.027724733771184784,0.027525497036301694,1.0938279077239984e-31,0.16650745860526686,0.06399761705462127,0.03966103917617403
ALPRO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,4882,0.16525861787428744,3.1163353540342175e-31,0.3054938906781501,5.650359571710807e-106,0.24645721651568245,1.3738848470793275e-107,0.3569787340489148,3.594846630394544,7.964890207239585,0.027310410781719474,0.027111089144584488,3.1163353540366645e-31,0.16525861787428744,0.3054938906781501,0.24645721651568245
ALPRO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,1,4882,-0.16042076363902757,1.6651875658299633e-29,-0.14808406781069997,2.4387599747072676e-25,-0.11311786866866816,5.268809945001964e-24,0.3862128815593866,-3.1616389884123337,8.214552084948638,0.02573482140652894,0.02553517690271867,1.6651875658278628e-29,0.16042076363902757,0.14808406781069997,0.11311786866866816
ALPRO FP Equity_DX_SI_QTY,1,4882,-0.15985892019391768,2.622214755347907e-29,-0.059591985012230994,3.094384655680135e-05,-0.036117097626289243,0.0009075474050977206,0.5600295262917008,-4.036829005587301e-05,8.214948444485087,0.025554874365565472,0.025355192987361552,2.622214755352363e-29,0.15985892019391768,0.059591985012230994,0.036117097626289243
ALPRO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,4882,-0.14051005180270687,5.957904000866686e-23,-0.047808477091869424,0.0008332815081813781,-0.018810725426324146,0.08093638257188566,0.6391862334819725,-7.721995327505785e-06,8.211638819717248,0.019743074657599613,0.01954220233683257,5.957904000880174e-23,0.14051005180270687,0.047808477091869424,0.018810725426324146
ALPRO FP Equity_DX_SI_MV,1,4882,-0.13906537379010636,1.6444588546180061e-22,-0.12270882674071029,7.68748981368744e-18,-0.09236880486081962,2.4110778772507157e-16,0.34241319639744394,-5.460289550353765,8.203782466749908,0.019339178187381956,0.019138223100944818,1.644458854620189e-22,0.13906537379010636,0.12270882674071029,0.09236880486081962
ALPRO FP Equity_DX_SHORT_INTEREST_VALUE,1,4882,-0.13598764623003662,1.3800559735962074e-21,-0.0452599950148742,0.0015605244667758044,-0.017620796769341078,0.10173702289568413,0.6315510685589136,-5.445516776206086e-06,8.202718370235448,0.01849263992718564,0.018291511369793567,1.3800559735972454e-21,0.13598764623003662,0.0452599950148742,0.017620796769341078
