feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALQWA FP Equity_DX_BROKER_SI_CON_RATIO,1,3936,0.15494493001846243,1.4151154810564117e-22,0.15388632920749198,2.7530386105226116e-22,0.12618866708672646,4.76338707312153e-22,0.12973973564602526,0.6714179067460129,5.390075148809524,0.02400793133842616,0.023759839811059225,1.4151154810602695e-22,0.15494493001846243,0.15388632920749198,0.12618866708672646
ALQWA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,3936,0.15376043660968364,2.9788462065490095e-22,0.1528615952997887,5.219707410508363e-22,0.12534837278249816,8.899163367062829e-22,0.1298673579330647,0.006658066445561271,5.390727150937781,0.023642271866400555,0.023394087390515073,2.978846206560936e-22,0.15376043660968364,0.1528615952997887,0.12534837278249816
ALQWA FP Equity_DX_ACTIVE_UTILIZATION_MV,1,3936,0.14997142005581957,3.0973337019045263e-21,0.11311138697688834,1.1035991327581887e-12,0.0927527170766352,1.2895027344540632e-12,0.06793498121900643,0.014457020390315468,5.45086658841941,0.022491426833559203,0.02224294981953623,3.0973337019099482e-21,0.14997142005581957,0.11311138697688834,0.0927527170766352
ALQWA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,3936,0.14997142005581957,3.0973337019045263e-21,0.11311138697688834,1.1035991327581887e-12,0.0927527170766352,1.2895027344540632e-12,0.06793498121900643,0.014457020390315468,5.45086658841941,0.022491426833559203,0.02224294981953623,3.0973337019099482e-21,0.14997142005581957,0.11311138697688834,0.0927527170766352
ALQWA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,1,3936,-0.1303865483437857,2.1642344980038956e-16,-0.6466744180431618,0.0,-0.49691335575595696,0.0,0.5147806475056118,-4.251337707939259e-05,5.523498307585591,0.017000651989006577,0.016750779251840653,2.164234498011715e-16,0.1303865483437857,0.6466744180431618,0.49691335575595696
ALQWA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,3936,-0.10976311869218205,5.021993186103489e-12,-0.642650390584381,0.0,-0.4686784369391572,6.147043962774486e-309,0.6703559372019723,-7.755394738115194e-06,5.516659614223141,0.012047942225033914,0.011796810537750058,5.021993186103728e-12,0.10976311869218205,0.642650390584381,0.4686784369391572
ALQWA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,3936,-0.10451616335367658,4.930703232935699e-11,-0.23333256848061604,8.154087746110686e-50,-0.18619852119789035,9.065892382825748e-47,0.1490837111257901,-7.364199326225513,5.514749744534123,0.010923628402172314,0.010672210920830705,4.9307032329448e-11,0.10451616335367658,0.23333256848061604,0.18619852119789035
ALQWA FP Equity_DX_UTILIZATION_QUANTITY,1,3936,0.10401198765814573,6.10547950303846e-11,0.11248383384485952,1.4710849434334342e-12,0.09159435601911668,1.933821186634714e-12,0.09512992810798648,0.013487701623457561,5.46410681667208,0.010818493576598254,0.010567049370593384,6.105479503052173e-11,0.10401198765814573,0.11248383384485952,0.09159435601911668
ALQWA FP Equity_DX_DEMAND_SUPPLY_RATIO,1,3936,0.10398713264078466,6.169981005710382e-11,0.11242551350844758,1.5107873644720462e-12,0.09160932430233602,1.9215419871968826e-12,0.09403561881196043,0.6789414224223793,5.464166115570409,0.010813323754852222,0.010561878234708555,6.169981005726892e-11,0.10398713264078466,0.11242551350844758,0.09160932430233602
ALQWA FP Equity_DX_SUPPLY_SI_MV,1,3936,-0.1027625783672937,1.0323390441252088e-10,-0.09061979236594087,1.232430368707637e-08,-0.07430933513863595,1.3116417382130234e-08,0.01592821504892883,-221.3579290091916,5.499579290091927,0.010560147512694296,0.010308637636617268,1.0323390441251917e-10,0.1027625783672937,0.09061979236594087,0.07430933513863595
ALQWA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,3936,0.0882189314932858,2.9615888931540934e-08,0.15927013092499875,8.886074073671147e-24,0.13314243269498446,4.575623704715432e-26,0.4421945790681947,3.8600074900854683e-07,5.441082619583776,0.0077825798738172525,0.007530363956144148,2.961588893148386e-08,0.0882189314932858,0.15927013092499875,0.13314243269498446
ALQWA FP Equity_DX_SHORT_INTEREST_VALUE,1,3936,0.08817910335255712,3.004405136993721e-08,0.1601169123144039,5.1211801273547356e-24,0.13378869508240027,2.627271315270514e-26,0.44515319939662534,3.85856773395612e-07,5.441066955648022,0.007775554268060869,0.007523336564519423,3.004405136986337e-08,0.08817910335255712,0.1601169123144039,0.13378869508240027
ALQWA FP Equity_DX_SI_MV,1,3936,0.08780041332011321,3.4426631915508394e-08,0.10390224645465757,6.395332921872573e-11,0.09075709030887677,8.684659338137796e-13,0.34189377404410304,0.37034947673200724,5.441281236700947,0.007708912579182936,0.007456677935710476,3.44266319155938e-08,0.08780041332011321,0.10390224645465757,0.09075709030887677
ALQWA FP Equity_DX_BROKER_SI_QTY,1,3936,0.0832061465758511,1.7176346257417773e-07,0.14791413778437015,1.0770919143370642e-20,0.11787889395774268,4.498694842413002e-20,0.20225139306145623,2.0993533772361015e-06,5.4436249957593414,0.006923262828002041,0.006670828476916135,1.717634625742105e-07,0.0832061465758511,0.14791413778437015,0.11787889395774268
ALQWA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,1,3936,0.08307251563933414,1.7976232213282643e-07,0.14793626613819,1.0628489904992524e-20,0.11798134821041907,4.1340704848980693e-20,0.2084180135510585,0.1020074281679556,5.443651344979269,0.006901042854647765,0.006648602855373387,1.797623221330126e-07,0.08307251563933414,0.14793626613819,0.11798134821041907
ALQWA FP Equity_DX_SI_QTY,1,3936,0.08292488234731873,1.8901783052793864e-07,0.14891121477269278,5.90038758138502e-21,0.11861443315737549,2.6180212874892647e-20,0.20443790928258987,2.0924592348676286e-06,5.443728749672634,0.006876536112316645,0.006624089883570439,1.8901783052834503e-07,0.08292488234731873,0.14891121477269278,0.11861443315737549
ALQWA FP Equity_DX_DSS,1,3936,0.07973258210804568,5.482363542956737e-07,0.09632046636922606,1.403538106077772e-09,0.07898395735930487,1.520812960401508e-09,0.12334380165389636,0.40237522145481375,5.447030719139317,0.006357284649616268,0.0061047064301575915,5.482363542943566e-07,0.07973258210804568,0.09632046636922606,0.07898395735930487
ALQWA FP Equity_DX_SUPPLY_SI_QTY,1,3936,-0.07668737593342673,1.459197709883922e-06,0.1118950573331018,1.9236524879393024e-12,0.09188480803863035,1.7524844833673855e-12,0.08768527326577491,-0.0005037719289316621,5.498787255187549,0.005880953627554697,0.0056282543275109065,1.4591977098845737e-06,0.07668737593342673,0.1118950573331018,0.09188480803863035
ALQWA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,1,3936,0.06577601088708077,3.630985984214665e-05,0.14929736416222752,4.668454602267191e-21,0.1184646687728209,1.5334927914167056e-20,0.2538443195220146,0.038633456084462336,5.458756614195101,0.004326483608217524,0.0040733891709039405,3.630985984224786e-05,0.06577601088708077,0.14929736416222752,0.1184646687728209
ALQWA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,1,3936,0.05542174849545425,0.0005040518497326562,0.1462407897862859,2.9299946514444573e-20,0.11313279570313328,2.744268797021806e-19,0.29792981625095116,0.0011543888886842487,5.4647422182641225,0.003071570206293339,0.0028181567772659344,0.0005040518497331247,0.05542174849545425,0.1462407897862859,0.11313279570313328
ALQWA FP Equity_DX_SUPPLY_SI_QTY_DEC,1,3936,-0.04233895014838876,0.007893551029681489,-0.05325530090607307,0.000830519817916146,-0.04365906960434195,0.0008344130694671418,0.0017553620061485642,-0.0007903734708902233,5.490314791354676,0.001792586699667753,0.0015388481604455828,0.007893551029684125,0.04233895014838876,0.05325530090607307,0.04365906960434195
ALQWA FP Equity_DX_SUPPLY_SI_MV_DEC,1,3936,-0.03633556802085634,0.02262945582827991,-0.03445010149764606,0.03067449570687669,-0.02824950345737891,0.030692223338730833,0.0010514667458247917,-201.6535087719309,5.489868421052618,0.0013202735033982504,0.0010664149048988936,0.022629455828279132,0.03633556802085634,0.03445010149764606,0.02824950345737891
ALQWA FP Equity_DX_SUPPLY_SI_QTY_ADD,1,3936,-0.032282285013656015,0.04284724863058695,-0.031333255974629264,0.04934137951483289,-0.025680953445839486,0.04939405921220171,0.0013344284757508262,-0.000742777174198809,5.489629212049538,0.001042145925703064,0.0007882166287853654,0.04284724863058917,0.032282285013656015,0.031333255974629264,0.025680953445839486
ALQWA FP Equity_DX_BROKER_SI_MV_DEC,1,3936,0.023260364511408425,0.14455626728111462,-0.016984553110311953,0.2867367510421732,-0.013931820159314467,0.2864856971241906,0.001005725063334184,20.0752877827613,5.487617367812582,0.0005410445572037181,0.0002869878832223449,0.1445562672811053,0.023260364511408425,0.016984553110311953,0.013931820159314467
ALQWA FP Equity_DX_SUPPLY_SI_QTY_INC_x,1,3936,-0.022881234929662597,0.15121743189515363,-0.02001567914435714,0.2093112588906676,-0.016413101053677288,0.20927005909614715,0.0012621778537340589,-0.0006871531527954085,5.4888900889453565,0.0005235509119064785,0.00026948979114183036,0.15121743189516162,0.022881234929662597,0.02001567914435714,0.016413101053677288
ALQWA FP Equity_DX_SUPPLY_SI_QTY_INC_y,1,3936,-0.022881234929662597,0.15121743189515363,-0.02001567914435714,0.2093112588906676,-0.016413101053677288,0.20927005909614715,0.0012621778537340589,-0.0006871531527954085,5.4888900889453565,0.0005235509119064785,0.00026948979114183036,0.15121743189516162,0.022881234929662597,0.02001567914435714,0.016413101053677288
ALQWA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,1,3936,-0.021815900066656513,0.1711855891019922,0.11259443781762238,1.3985803374915407e-12,0.09286062930119209,8.747815691658723e-13,0.09886123810217562,-4.23238997710008e-05,5.492002793670292,0.00047593349571894983,0.0002218602708831119,0.17118558910201376,0.021815900066656513,0.11259443781762238,0.09286062930119209
ALQWA FP Equity_DX_BROKER_SI_MV_ADD,1,3936,0.012111654166614756,0.4474686063327007,0.008625833794981953,0.5885063132280846,0.007070606148322407,0.5884204996980573,0.0,0.5466239047447679,5.487703699174423,0.0001466921666518628,-0.00010746474942169293,0.44746860633269003,0.012111654166614756,0.008625833794981953,0.007070606148322407
ALQWA FP Equity_DX_BROKER_SI_QTY_DEC,1,3936,0.012093924364728705,0.4481338159126403,-0.03045923879320849,0.05603358879549216,-0.024970810330352766,0.05597933804665339,0.0023054908618629355,8.230646166588904e-05,5.487845723530205,0.00014626300653974855,-0.00010789401862387749,0.44813381591265733,0.012093924364728705,0.03045923879320849,0.024970810330352766
ALQWA FP Equity_DX_BROKER_SI_QTY_ADD,1,3936,0.011461729201132372,0.47221732285527884,-0.0032539641314657656,0.8382898651796225,-0.0026731880616710246,0.8378546728956588,0.0,3.1039708540985106e-06,5.487737423561363,0.0001313712362803754,-0.00012278957428479842,0.47221732285526785,0.011461729201132372,0.0032539641314657656,0.0026731880616710246
ALQWA FP Equity_DX_BROKER_SI_MV_INC_x,1,3936,0.004139976389214061,0.79513331348237,-0.011287939661002224,0.4789606091949957,-0.009255137354143761,0.4789156527083709,0.0012385360315974037,0.43242385503925185,5.488229254526116,1.7139404503319078e-05,-0.00023705044313149237,0.7951333134823645,0.004139976389214061,0.011287939661002224,0.009255137354143761
ALQWA FP Equity_DX_BROKER_SI_MV_INC_y,1,3936,0.004139976389214061,0.79513331348237,-0.011287939661002224,0.4789606091949957,-0.009255137354143761,0.4789156527083709,0.0012385360315974037,0.43242385503925185,5.488229254526116,1.7139404503319078e-05,-0.00023705044313149237,0.7951333134823645,0.004139976389214061,0.011287939661002224,0.009255137354143761
ALQWA FP Equity_DX_BROKER_SI_QTY_INC,1,3936,0.003918653320241171,0.8058606229651427,-0.011287939661002224,0.4789606091949957,-0.009255137354143761,0.4789156527083709,0.0011189938996272186,2.414025445787883e-06,5.488233808238284,1.5355843844155892e-05,-0.00023883445716155194,0.8058606229651328,0.003918653320241171,0.011287939661002224,0.009255137354143761
