feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALSTW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,4568,0.7870603356821759,0.0,0.6834375893712827,0.0,0.5433231918461899,0.0,0.6224682003038362,0.24127533577192045,9.527338158984051,0.6194639720041399,0.6193806307803125,0.0,0.7870603356821759,0.6834375893712827,0.5433231918461899
ALSTW FP Equity_DX_BROKER_SI_CON_RATIO,1,4568,0.7652342182454496,0.0,0.6826361155551793,0.0,0.5417486874492684,0.0,0.6251708383467427,24.850417411341077,9.725215386411183,0.5855834087737242,0.5854926473652209,0.0,0.7652342182454496,0.6826361155551793,0.5417486874492684
ALSTW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,4568,0.743890633104621,0.0,0.6697361000936094,0.0,0.547433387386785,0.0,0.5129019138792588,0.20652256172915773,10.423743620513491,0.553373274020794,0.55327545826828,0.0,0.743890633104621,0.6697361000936094,0.547433387386785
ALSTW FP Equity_DX_ACTIVE_UTILIZATION_MV,1,4568,0.7438904380740872,0.0,0.6697414259373277,0.0,0.5474445771168917,0.0,0.5130008260976915,0.20652246558486181,10.423748717214352,0.5533729838580576,0.553275168041995,0.0,0.7438904380740872,0.6697414259373277,0.5474445771168917
ALSTW FP Equity_DX_DEMAND_SUPPLY_RATIO,1,4568,0.6924026362816056,0.0,0.670545534013196,0.0,0.5396331881388553,0.0,0.689315525464147,18.799473588830587,11.256613858535406,0.47942141072971767,0.47930739877411754,0.0,0.6924026362816056,0.670545534013196,0.5396331881388553
ALSTW FP Equity_DX_UTILIZATION_QUANTITY,1,4568,0.6762635342849178,0.0,0.6698734213650825,0.0,0.5388956132520055,0.0,0.6894678738841209,0.322864796762323,11.34465090272592,0.45733236780352826,0.457213518124992,0.0,0.6762635342849178,0.6698734213650825,0.5388956132520055
ALSTW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,4568,0.5780310382179334,0.0,0.6771822999579198,0.0,0.5345878613483472,0.0,0.7600337878980836,0.0002482690754486463,11.5722237798023,0.33411988114330227,0.33397404668888775,0.0,0.5780310382179334,0.6771822999579198,0.5345878613483472
ALSTW FP Equity_DX_SHORT_INTEREST_VALUE,1,4568,0.5452757391811272,0.0,0.6807672818713114,0.0,0.5359014194358777,0.0,0.7555091790551125,0.00011713389663889432,11.764084076225524,0.29732563173952475,0.29717173897380844,0.0,0.5452757391811272,0.6807672818713114,0.5359014194358777
ALSTW FP Equity_DX_SI_MV,1,4568,0.5419263636996661,0.0,0.6511568515781478,0.0,0.5149852986669515,0.0,0.5490917527722314,115.59296657324427,11.792206473588024,0.29368418367274285,0.2935294933932143,0.0,0.5419263636996661,0.6511568515781478,0.5149852986669515
ALSTW FP Equity_DX_SUPPLY_SI_MV,1,4568,0.5292956229578549,0.0,0.6421930945583445,0.0,0.5140996498837975,0.0,0.49054736776438035,211.13597777307382,11.879415663007812,0.2801538564823437,0.2799962029248496,0.0,0.5292956229578549,0.6421930945583445,0.5140996498837975
