feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
BNP FP Equity_DX_SUPPLY_SI_MV,1,4999,0.3859411970717215,2.867677943140035e-177,0.29651088069258313,5.289960306790593e-102,0.2040997938197549,8.936154107776813e-104,0.515325321953326,0.003893511843474947,48.01044961959546,0.14895060759715328,0.14878029553143335,2.867677943148877e-177,0.3859411970717215,0.29651088069258313,0.2040997938197549
BNP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,4999,0.37399895990178994,9.571177762228899e-166,0.5057475480544018,0.0,0.3898415357050734,0.0,0.9327113703660563,0.0010975797088474707,38.83484690899536,0.1398752220076207,0.13970309377508272,9.571177762230937e-166,0.37399895990178994,0.5057475480544018,0.3898415357050734
BNP FP Equity_DX_SI_MV,1,4999,0.3588995639593947,7.42016995926485e-152,0.29797100366815626,4.877249363342596e-103,0.2060551960567765,9.781070045100696e-106,0.5162387766456664,0.002345246942995433,48.07557344235678,0.1288088970102439,0.1286345541839502,7.420169959266019e-152,0.3588995639593947,0.29797100366815626,0.2060551960567765
BNP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,1,4999,0.33415024885421624,1.1416165039774388e-130,0.3167974649832938,6.1806091982204076e-117,0.21540409337073368,2.2895289599758334e-115,0.4919403346071407,4.053670068918408e-09,48.59224806738739,0.1116563888093346,0.11147861342186405,1.1416165039778728e-130,0.33415024885421624,0.3167974649832938,0.21540409337073368
BNP FP Equity_DX_SHORT_INTEREST_VALUE,1,4999,0.3267984060063617,9.690067791816594e-125,0.3354788346413189,9.301782592707107e-132,0.2300559088369413,2.570332398963952e-131,0.450173483250496,2.6883018751122286e-09,48.28125537232292,0.1067971981682988,0.10661845035924711,9.690067791814827e-125,0.3267984060063617,0.3354788346413189,0.2300559088369413
BNP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,4999,0.29966880698779647,2.9974846279942146e-104,0.373312044088886,4.257637785354784e-165,0.3025704065094059,1.1907352027019418e-225,1.0040980120564633,8.003551890653448e-10,43.42680854406564,0.08980139388148922,0.08961924487085915,2.9974846280035305e-104,0.29966880698779647,0.373312044088886,0.3025704065094059
BNP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,4999,0.28244093539541354,2.4681138377319033e-92,0.3313017732455219,2.366372561378845e-128,0.22078948058944256,4.1586177554133765e-121,0.405127184810782,3.6377195407353463e-09,48.851501830934644,0.07977288198703625,0.07958872606988343,2.4681138377278017e-92,0.28244093539541354,0.3313017732455219,0.22078948058944256
BNP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,1,4999,0.24547557068297748,1.6710743203647173e-69,0.2753841754297614,1.0840386259471008e-87,0.18121074105639182,3.7183732508000096e-82,0.41813545571238997,0.4434631674127973,49.16112242752233,0.06025825580213362,0.060070194616582806,1.671074320364045e-69,0.24547557068297748,0.2753841754297614,0.18121074105639182
BNP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,4999,0.2223386057489828,4.9214300863336986e-57,0.10857772192146435,1.3855574290557643e-14,0.06788764747792873,6.352623095901785e-13,0.5491091955468699,0.22419197310688302,50.4965622201199,0.04943445560640136,0.04924422836117559,4.921430086327886e-57,0.2223386057489828,0.10857772192146435,0.06788764747792873
BNP FP Equity_DX_ACTIVE_UTILIZATION_MV,1,4999,0.22117174096249828,1.927305222882325e-56,0.10579269240379945,6.425441536989819e-14,0.06590142848851502,2.904899328829576e-12,0.5460531230397727,0.22276609724302662,50.50419624211226,0.04891693900038241,0.0487266081896961,1.9273052228794948e-56,0.22117174096249828,0.10579269240379945,0.06590142848851502
BNP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,1,4999,0.2142656249890127,5.297550581623081e-53,0.13207515103400078,6.790385839894487e-21,0.08408546622737892,5.383239196139985e-19,0.4754320228063369,0.9281209510023961,49.83041149346873,0.04590975805193265,0.04571882544397832,5.29755058162101e-53,0.2142656249890127,0.13207515103400078,0.08408546622737892
BNP FP Equity_DX_DSS,1,4999,0.2091225937061918,1.6150181569701912e-50,0.17488884948112104,1.260149675429581e-35,0.13119000361163216,1.6076073708321413e-33,0.17815895085295352,3.637508486194349,49.162708896044386,0.043732259198404955,0.04354089082922319,1.6150181569640822e-50,0.2091225937061918,0.17488884948112104,0.13119000361163216
BNP FP Equity_DX_UTILIZATION_QUANTITY,1,4999,0.2040004348116088,4.143151998216338e-48,0.10792398618676596,1.993254939009935e-14,0.06777279896312767,6.945004306199295e-13,0.5232534902314407,0.2961626903657919,50.149331571084645,0.04161617740332557,0.04142438556370254,4.143151998209739e-48,0.2040004348116088,0.10792398618676596,0.06777279896312767
BNP FP Equity_DX_SUPPLY_SI_QTY,1,4999,0.18097997347344408,4.5366424276527e-38,0.1415444257689235,8.655884843171881e-24,0.09018917305265281,1.1889945813754724e-21,0.5055684819725093,1.1334893826181246e-07,50.36084347420453,0.03275375079844878,0.03256018540937511,4.536642427657145e-38,0.18097997347344408,0.1415444257689235,0.09018917305265281
BNP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,1,4999,0.17926840294562407,2.2506114944154543e-37,0.12705960448409834,1.917366800116332e-19,0.08070651335398514,1.2638676758747075e-17,0.4864518612094946,0.715279084183168,50.30515205637083,0.03213716029467428,0.03194347151346455,2.2506114944145485e-37,0.17926840294562407,0.12705960448409834,0.08070651335398514
BNP FP Equity_DX_DEMAND_SUPPLY_RATIO,1,4999,0.16224299114517948,7.836705045229013e-31,0.06960599573969288,8.38701120435866e-07,0.0402977459004036,1.95286254202786e-05,0.4411262591655811,14.28701644935521,50.6651433139242,0.026322788175734746,0.026127935821957715,7.8367050452331416e-31,0.16224299114517948,0.06960599573969288,0.0402977459004036
BNP FP Equity_DX_SI_QTY,1,4999,0.14706004682012702,1.4354722511829653e-25,0.11916598096695227,2.827114922201664e-17,0.07537471884672972,1.3618844328538522e-15,0.4597418144224781,5.919300935407923e-08,50.70669091806567,0.02162665737073799,0.021430865226925944,1.4354722511824106e-25,0.14706004682012702,0.11916598096695227,0.07537471884672972
BNP FP Equity_DX_BROKER_SI_QTY,1,4999,0.10236317640997059,4.025570947548908e-13,0.09140634385639884,9.500078988690391e-11,0.06036203930473422,1.5779948772368657e-10,0.409880478851143,6.279246020542085e-08,51.37682172223388,0.010478219884738738,0.010280196714813727,4.0255709475468153e-13,0.10236317640997059,0.09140634385639884,0.06036203930473422
