feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
CBDG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,1651,0.34511147890614396,2.210978218196763e-47,0.25719500693621267,2.36119166771154e-26,0.21135620090788884,3.0896694165514025e-30,1.146605992657505,0.013042465480351439,4181.23520132114,0.11910193287278537,0.11856773149793565,2.2109782182002004e-47,0.34511147890614396,0.25719500693621267,0.21135620090788884
CBDG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,1651,0.3426046332940674,1.1164034035424643e-46,0.25835270598577753,1.387668929542736e-26,0.2062018492265767,4.519871301476611e-28,0.7897479398902811,12915.737652065874,4185.805257064327,0.11737793475456226,0.1168426878987433,1.1164034035404478e-46,0.3426046332940674,0.25835270598577753,0.2062018492265767
CBDG FP Equity_DX_BROKER_SI_CON_RATIO,1,1651,-0.2635308988314688,1.2457590160841663e-27,-0.194149401377078,1.7393444924326896e-15,-0.15937303566102767,3.1106353790929563e-15,0.061232487218003895,-4816.710452356427,4931.926563467475,0.06944853463892176,0.06888422204622247,1.245759016083002e-27,0.2635308988314688,0.194149401377078,0.15937303566102767
CBDG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,1651,-0.2635308988314688,1.2457590160841663e-27,-0.194149401377078,1.7393444924326896e-15,-0.15937303566102767,3.1106353790929563e-15,0.061232487218003895,-48.167104523564305,4931.926563467475,0.06944853463892176,0.06888422204622247,1.2457590160828325e-27,0.2635308988314688,0.194149401377078,0.15937303566102767
CBDG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,1651,-0.25589574948777455,4.273817799866225e-26,-0.1872636321431231,1.7041633429042954e-14,-0.15372065693674142,2.8121624789110194e-14,0.05940619016437232,-48.09778917748881,4925.948917748911,0.06548263460590975,0.0649159169798369,4.273817799869562e-26,0.25589574948777455,0.1872636321431231,0.15372065693674142
CBDG FP Equity_DX_ACTIVE_UTILIZATION_MV,1,1651,-0.25589574948777455,4.273817799866225e-26,-0.1872636321431231,1.7041633429042954e-14,-0.15372065693674142,2.8121624789110194e-14,0.05940619016437232,-48.09778917748881,4925.948917748911,0.06548263460590975,0.0649159169798369,4.273817799869562e-26,0.25589574948777455,0.1872636321431231,0.15372065693674142
CBDG FP Equity_DX_UTILIZATION_QUANTITY,1,1651,-0.2524029298931331,2.0715918077582558e-25,-0.1872766258181558,1.6969774947899453e-14,-0.15378405403193945,2.6527819279708273e-14,0.05529898229691632,-48.55879568765572,4923.254473737317,0.06370723901863762,0.06313944474272415,2.0715918077608294e-25,0.2524029298931331,0.1872766258181558,0.15378405403193945
CBDG FP Equity_DX_DEMAND_SUPPLY_RATIO,1,1651,-0.24944216852671658,7.746934264385285e-25,-0.19415790064535338,1.7343594184698086e-15,-0.1592343456570849,2.885505484940203e-15,0.06016829780771493,-2518.149213364028,4920.991262832566,0.06222139543931049,0.0616527001060414,7.746934264390322e-25,0.24944216852671658,0.19415790064535338,0.1592343456570849
CBDG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,1,1651,-0.10492986534244696,1.936133720640443e-05,0.1570937296525101,1.3792685485998969e-10,0.12583439189972243,3.123441636344437e-11,0.7408499815211471,-10.087532712378943,4938.472207668538,0.011010276640784022,0.010410525444083496,1.936133720639891e-05,0.10492986534244696,0.1570937296525101,0.12583439189972243
CBDG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,1,1651,-0.09945898830331676,5.160257474486176e-05,-0.19408707139207343,1.7763362471617422e-15,-0.15828927461381168,3.7714950505145416e-15,0.05338802000591936,-14722.58788420016,4841.879544303717,0.00989209035431926,0.00929166105799073,5.1602574744866213e-05,0.09945898830331676,0.19408707139207343,0.15828927461381168
