feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
CNDF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,4999,0.2011386680212566,8.616002009617173e-47,0.2646811243121063,6.57487856015912e-81,0.19528925885473714,5.944955403913624e-86,1.0430175564345219,1.4687152054910873e-06,17.3764690348172,0.04045676377336527,0.040264739911803016,8.616002009573402e-47,0.2011386680212566,0.2646811243121063,0.19528925885473714
CNDF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,4999,0.1936965158952805,1.8591271169885307e-43,0.2622489010834535,2.0714052605393483e-79,0.19447880876137644,5.872905698494066e-85,1.048975978020998,1.3275941716826125,17.39939358752823,0.03751834026997036,0.03732572837088499,1.8591271169923776e-43,0.1936965158952805,0.2622489010834535,0.19447880876137644
CNDF FP Equity_DX_BROKER_SI_QTY,1,4999,-0.1853284760923183,7.21299895406918e-40,-0.22173410937854765,9.991936806932096e-57,-0.15734232976287962,2.500537352677586e-54,0.7697754292063537,-0.0001321650783159399,18.746131252087242,0.034346644050701314,0.03415339743154,7.212998954070937e-40,0.1853284760923183,0.22173410937854765,0.15734232976287962
CNDF FP Equity_DX_SUPPLY_SI_QTY,1,4999,-0.17848022525368637,4.680205216641792e-37,-0.18037972993318113,7.970064829773523e-38,-0.1376116087999276,3.471565341824862e-41,0.6968546716118751,-0.0001387866300730899,18.712607042732127,0.03185519080660637,0.03166144559764239,4.680205216631189e-37,0.17848022525368637,0.18037972993318113,0.1376116087999276
CNDF FP Equity_DX_SI_QTY,1,4999,-0.16631689544685138,2.459329455166623e-32,-0.21148030972522203,1.1954201037288364e-51,-0.15366599935508163,1.826248547911692e-53,0.8287226413676292,-9.841548034613429e-05,18.710959184784716,0.027661309711078386,0.027466725222327404,2.4593294551652252e-32,0.16631689544685138,0.21148030972522203,0.15366599935508163
CNDF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,1,4999,-0.16005085239696043,4.864293073638475e-30,-0.2590537821162447,1.8224122313834465e-77,-0.19352740189672726,1.9151821324244134e-75,0.41480322568852745,-15.784764211133822,18.69642425857263,0.02561627535299349,0.025421281611819446,4.8642930736442265e-30,0.16005085239696043,0.2590537821162447,0.19352740189672726
CNDF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,1,4999,-0.1539878171983076,6.634479847627184e-28,-0.24752961339452298,1.1207181666378642e-70,-0.18500432144447868,2.1830465901399436e-69,0.42625985301110125,-15.090125368083786,18.688934104060305,0.023712247845499412,0.023516873070203337,6.634479847628386e-28,0.1539878171983076,0.24752961339452298,0.18500432144447868
CNDF FP Equity_DX_ACTIVE_UTILIZATION_MV,1,4999,-0.12862855753068667,6.838643854471906e-20,-0.14563667872614858,4.1985599738058815e-25,-0.11189684932515037,7.5748846070218065e-25,0.29361853549716455,-0.014691404632470335,18.84295881343244,0.016545305812424638,0.01634849678817263,6.838643854460598e-20,0.12862855753068667,0.14563667872614858,0.11189684932515037
CNDF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,4999,-0.12862271192872538,6.865125194527015e-20,-0.14553114853591345,4.544361193218875e-25,-0.111865537906343,7.993649233247989e-25,0.2944192693255432,-0.01469098672143325,18.842985713517045,0.016543802023900378,0.016346992698710094,6.865125194514604e-20,0.12862271192872538,0.14553114853591345,0.111865537906343
CNDF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,4999,-0.12070588106328344,1.0946006340797996e-17,-0.18981070598574484,9.052809017567725e-42,-0.13100867399993832,1.177750909078531e-38,0.9443695659877336,-6.778211012420283e-06,18.598127413343317,0.01456990972326333,0.014372705382603601,1.0946006340772689e-17,0.12070588106328344,0.18981070598574484,0.13100867399993832
CNDF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,1,4999,-0.11629084312869985,1.60901576265475e-16,-0.14721736084926992,1.2740727203784216e-25,-0.1086618968783785,1.0873617986833027e-26,0.887533513864553,-7.318578101261776e-06,18.57977558682767,0.01352356019558365,0.013326146459381127,1.6090157626565889e-16,0.11629084312869985,0.14721736084926992,0.1086618968783785
CNDF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,1,4999,-0.1138956698787278,6.631668312720739e-16,-0.18256014233928927,1.019464597314635e-38,-0.13304131189009444,2.9501779804231484e-35,0.4732240333245743,-0.049949940254580626,18.584264469177963,0.012972223617124579,0.012774699547406176,6.631668312727726e-16,0.1138956698787278,0.18256014233928927,0.13304131189009444
CNDF FP Equity_DX_SHORT_INTEREST_VALUE,1,4999,-0.09520790356489287,1.5283203231103592e-11,-0.16931625845725343,1.81620446733106e-33,-0.12011562002794711,1.143464097689872e-33,0.9373551533155111,-4.308353814462888e-06,18.539277433124628,0.009064544901221994,0.00886623882655746,1.5283203231098293e-11,0.09520790356489287,0.16931625845725343,0.12011562002794711
CNDF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,1,4999,-0.09411297007699616,2.6061544732456323e-11,-0.2209025770030543,2.6376799953131563e-56,-0.15573369903624434,4.390289611070208e-55,0.6323027336827458,-0.28426908236803244,18.523882527284943,0.008857251136713207,0.008658903578405597,2.6061544732498755e-11,0.09411297007699616,0.2209025770030543,0.15573369903624434
CNDF FP Equity_DX_SUPPLY_SI_MV,1,4999,-0.0915375285380048,8.930380901829602e-11,-0.16668833902006766,1.7857363807125478e-32,-0.1278106110660727,2.931041421922178e-34,0.5342796173650877,-4.314511818209938,18.505881995798752,0.008379119130846213,0.008180675888727174,8.930380901840238e-11,0.0915375285380048,0.16668833902006766,0.1278106110660727
CNDF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,4999,-0.08244516069172904,5.294149516403052e-09,-0.028270103308407454,0.04564105604634882,-0.02271776942647874,0.02912173536224411,0.4703702243057557,-0.009867089390441456,18.82580768821304,0.006797204521484912,0.006598444706500284,5.294149516399458e-09,0.08244516069172904,0.028270103308407454,0.02271776942647874
