feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
COMO FP Equity_DX_UTILIZATION_QUANTITY,1,4999,-0.15729969461696455,4.6373791090043925e-29,-0.1150977568617938,3.2698944683516693e-16,-0.07690347602142329,4.15559783952056e-15,0.7449688406955342,-0.0524578276761342,19.553423952283378,0.024743193926590412,0.02454802546429835,4.637379109011578e-29,0.15729969461696455,0.1150977568617938,0.07690347602142329
COMO FP Equity_DX_BROKER_SI_QTY,1,4999,-0.12511399565874187,6.764334262590155e-19,-0.12139287411299919,7.140010402808584e-18,-0.07994038330418433,1.8870457509272644e-16,0.7226386343112017,-1.2485395935459176e-05,19.508207568084543,0.01565351190969566,0.015456524419583562,6.764334262590987e-19,0.12511399565874187,0.12139287411299919,0.07994038330418433
COMO FP Equity_DX_SI_QTY,1,4999,-0.10294745440780868,2.9572651586869663e-13,-0.1016302401355084,5.912612601639584e-13,-0.06473158835788295,1.218506885929834e-11,0.7260918945525217,-8.20287819069377e-06,19.45243136870676,0.01059817836904775,0.010400179205223292,2.9572651586866134e-13,0.10294745440780868,0.1016302401355084,0.06473158835788295
COMO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,1,4999,-0.09149176945757817,9.125200756559698e-11,-0.07493289054951803,1.1319381727269023e-07,-0.050287024559171174,8.107299785463639e-07,0.5123800592744536,-0.028093028801078633,19.40616338606882,0.008370743878478693,0.008172298960303581,9.125200756556035e-11,0.09149176945757817,0.07493289054951803,0.050287024559171174
COMO FP Equity_DX_SUPPLY_SI_QTY,1,4999,-0.08256156841728644,5.037671927384106e-09,-0.06745971335469536,1.8070034979730625e-06,-0.050264585568953773,3.3503086958573226e-07,0.8140012787705908,-1.4562436259775526e-05,19.324934220098456,0.0068164125795223685,0.006617656608455702,5.037671927371881e-09,0.08256156841728644,0.06745971335469536,0.050264585568953773
COMO FP Equity_DX_DEMAND_SUPPLY_RATIO,1,4999,0.0642212142870962,5.513716490421524e-06,-0.12076143857571436,1.0575207677917058e-17,-0.08110855934574851,1.7796536357729457e-17,0.4802604594271296,0.09971840803822565,19.052954095766832,0.00412436436450947,0.003925069660560054,5.513716490425889e-06,0.0642212142870962,0.12076143857571436,0.08110855934574851
COMO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,1,4999,0.0585413584924448,3.448882645115578e-05,-0.013166195154039906,0.3520061706844875,-0.007191140051755005,0.4624819557475315,0.8737621440792585,5.23969516911612e-07,18.99540320810216,0.0034270906541410406,0.0032276564117265094,3.4488826451128317e-05,0.0585413584924448,0.013166195154039906,0.007191140051755005
COMO FP Equity_DX_SUPPLY_SI_MV,1,4999,0.05635896182969305,6.692690337600431e-05,-0.018119250640232027,0.20023541880639092,-0.01736117663598019,0.08119077030071768,0.7514243416327706,0.50922724706655,19.0011989662528,0.003176332578521124,0.002976848154382372,6.692690337604323e-05,0.05635896182969305,0.018119250640232027,0.01736117663598019
COMO FP Equity_DX_SHORT_INTEREST_VALUE,1,4999,0.05385925052372565,0.00013904760458681453,-0.0019396049393276798,0.8909494613090616,0.0017401051877982622,0.8550520549487833,0.751574509129763,2.298984684720935e-07,18.957872315309864,0.0029008188669775725,0.0027012793070150254,0.0001390476045868173,0.05385925052372565,0.0019396049393276798,0.0017401051877982622
COMO FP Equity_DX_BROKER_SI_MV_ADD,1,4999,0.05359877629511387,0.00014979778653208882,0.029841576223357993,0.03487134095702798,0.023995611879465792,0.03531643577394152,0.005093874832816425,1.1089117715540087,19.090114169308272,0.002872828820333684,0.002673283659000991,0.00014979778653214108,0.05359877629511387,0.029841576223357993,0.023995611879465792
COMO FP Equity_DX_SI_MV,1,4999,0.0520221640070663,0.00023348430341073458,-0.004618628182924084,0.7440659486208933,-0.0015994918439626664,0.8674938874605516,0.733309200601254,0.2224288569732794,18.964512552321064,0.0027063055479782383,0.0025067270619962834,0.00023348430341073352,0.0520221640070663,0.004618628182924084,0.0015994918439626664
COMO FP Equity_DX_DSS,1,4999,0.0487774874165158,0.000560720824242867,0.061490235128241116,1.3575855852572645e-05,0.05022898013663869,1.3792008209436938e-05,0.019284568998262475,2.1386448842547097,19.101938449078762,0.0023792432786685636,0.00217959934096168,0.000560720824242266,0.0487774874165158,0.061490235128241116,0.05022898013663869
COMO FP Equity_DX_BROKER_SI_QTY_INC,1,4999,-0.041764452432554514,0.0031424601352009907,-0.08688658873864119,7.588800539274238e-10,-0.06999068912543516,7.750403084290247e-10,0.013051182597564548,-1.717423354238327e-05,19.160282632048037,0.0017442694869910236,0.001544498478283196,0.003142460135201064,0.041764452432554514,0.08688658873864119,0.06999068912543516
COMO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,1,4999,0.04135370250083393,0.0034514796905239856,-0.05671301430191016,6.019603638912165e-05,-0.040527523582948956,3.484956951346264e-05,0.5172784505438686,0.8111472189162774,19.0184618570106,0.0017101287105274476,0.0015103508695650802,0.0034514796905194675,0.04135370250083393,0.05671301430191016,0.040527523582948956
