feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
DKUPL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,4908,0.7632654275482961,0.0,0.6013012250965409,0.0,0.48803161799258493,0.0,0.4536200450120518,0.1553678864452404,13.942176131022507,0.5825741128904831,0.5824890281193642,0.0,0.7632654275482961,0.6013012250965409,0.48803161799258493
DKUPL FP Equity_DX_ACTIVE_UTILIZATION_MV,1,4908,0.7632646916648492,0.0,0.6013044239914404,0.0,0.4880435772137361,0.0,0.4532501938524285,0.15536768883298535,13.94217232761539,0.5825729895422372,0.5824879045421438,0.0,0.7632646916648492,0.6013044239914404,0.4880435772137361
DKUPL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,4908,0.7460278105289504,0.0,0.6089075384467819,0.0,0.4644514487687151,0.0,0.6020768909178826,0.18521369925569234,13.963437210462173,0.5565574940826193,0.5564671062909525,0.0,0.7460278105289504,0.6089075384467819,0.4644514487687151
DKUPL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,1,4908,0.7456256250538223,0.0,0.5977950978639418,0.0,0.4740003559654137,0.0,0.5030399936306971,0.583730628548684,14.472192323633447,0.5559575727369034,0.5558670626620433,0.0,0.7456256250538223,0.5977950978639418,0.4740003559654137
DKUPL FP Equity_DX_DEMAND_SUPPLY_RATIO,1,4908,0.717391550903178,0.0,0.6102539792169824,0.0,0.4851139584899757,0.0,0.6475057415944683,15.977153713627871,14.647705179287868,0.5146506373072668,0.5145517075553929,0.0,0.717391550903178,0.6102539792169824,0.4851139584899757
DKUPL FP Equity_DX_UTILIZATION_QUANTITY,1,4908,0.714033029698269,0.0,0.6109655130310987,0.0,0.4837702367709411,0.0,0.6352573756679036,0.2557749960791477,14.65617039302847,0.509843167500089,0.5097432578318255,0.0,0.714033029698269,0.6109655130310987,0.4837702367709411
DKUPL FP Equity_DX_BROKER_SI_CON_RATIO,1,4908,0.7096619306442847,0.0,0.6089522281965338,0.0,0.46431734714950124,0.0,0.6049412453600458,19.079081834890772,14.159242262928093,0.503620055805774,0.5035188776679438,0.0,0.7096619306442847,0.6089522281965338,0.46431734714950124
DKUPL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,1,4908,0.6936717933865023,0.0,0.5897586789990851,0.0,0.4627741641790557,0.0,0.5799176009073699,47.87749261493683,14.637659248844843,0.481180556940046,0.48107480491333177,0.0,0.6936717933865023,0.5897586789990851,0.4627741641790557
DKUPL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,1,4908,0.6922482167225316,0.0,0.6111131431337091,0.0,0.48118435721314096,0.0,0.5617156657341096,3.8808469681694424,14.77827942244571,0.4792075935555249,0.4791014393756544,0.0,0.6922482167225316,0.6111131431337091,0.48118435721314096
DKUPL FP Equity_DX_SHORT_INTEREST_VALUE,1,4908,0.6919756833322583,0.0,0.6146671837287361,0.0,0.48467932603521485,0.0,0.6696075348050425,0.0001566572948595248,14.738735581274009,0.4788303463231456,0.47872411524820124,0.0,0.6919756833322583,0.6146671837287361,0.48467932603521485
DKUPL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,1,4908,0.6852787475050459,0.0,0.6170711552973146,0.0,0.48813126301801624,0.0,0.6969886769760241,0.00025547895090858853,14.770787194741143,0.4696069617820845,0.4694988506858313,0.0,0.6852787475050459,0.6170711552973146,0.48813126301801624
DKUPL FP Equity_DX_SUPPLY_SI_MV,1,4908,0.6791320546242762,0.0,0.6213344390969631,0.0,0.49729987917241486,0.0,0.4850471062129169,252.69617687613436,14.812442623692743,0.46122034761819086,0.4611105270612439,0.0,0.6791320546242762,0.6213344390969631,0.49729987917241486
