feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ECN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,4187,0.5023569937983666,1.2253640515186737e-266,0.5332385891583664,2.1549525223284755e-306,0.43101973479106737,1.326804400211071e-285,0.46572218867401904,0.8129757654512475,137.92904718310012,0.25236254921813217,0.2521839022764877,1.2253640515223394e-266,0.5023569937983666,0.5332385891583664,0.43101973479106737
ECN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,4187,0.49768260878835874,5.709751000441269e-261,0.5597176352738433,0.0,0.4473519834088482,9.165626006436188e-295,0.44416417943333575,0.7717557838215392,139.9283509876726,0.24768797909038665,0.2475082151666328,5.709751000360976e-261,0.49768260878835874,0.5597176352738433,0.4473519834088482
ECN FP Equity_DX_ACTIVE_UTILIZATION_MV,1,4187,0.4974712527438126,1.025268719047743e-260,0.5597832602173933,0.0,0.4474972688819402,5.714037303844195e-295,0.4396472212946878,0.7726908757016127,139.9557057065818,0.24747764730649813,0.24729783312425357,1.0252687190343929e-260,0.4974712527438126,0.5597832602173933,0.4474972688819402
ECN FP Equity_DX_BROKER_SI_CON_RATIO,1,4187,0.49361864459816607,4.1075438274279476e-256,0.5301084180533141,3.5707798376767856e-302,0.4270214116438967,6.206977588425243e-280,0.4772763256535275,82.73846211672135,138.50927847742767,0.24365936629493068,0.24347863973968453,4.1075438274635083e-256,0.49361864459816607,0.5301084180533141,0.4270214116438967
ECN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,1,4187,0.28625489428074763,8.689965302134739e-80,0.3745636482793662,1.3805221684896448e-139,0.28502025205502457,2.6460886304776555e-122,0.3507065805289169,1.1057101766832593,147.7803658394029,0.08194186449968244,0.0817224957695748,8.689965302051216e-80,0.28625489428074763,0.3745636482793662,0.28502025205502457
ECN FP Equity_DX_UTILIZATION_QUANTITY,1,4187,0.2805900543293053,1.3202918626708905e-76,0.5506388296759962,0.0,0.41845666274117393,2.6395577667455745e-272,0.5782750010642341,1.8598689361700327,149.646962522304,0.07873077858852262,0.07851064257384843,1.320291862668973e-76,0.2805900543293053,0.5506388296759962,0.41845666274117393
ECN FP Equity_DX_SHORT_INTEREST_VALUE,1,4187,0.246830953568109,3.7317562493883044e-59,0.5127080886331482,1.6497563857695338e-279,0.38267212734133205,6.729344358407598e-231,0.5840478272456586,1.045707035018578e-05,150.17352867174694,0.06092551963934212,0.06070112908250558,3.7317562493822723e-59,0.246830953568109,0.5127080886331482,0.38267212734133205
ECN FP Equity_DX_SI_MV,1,4187,0.24675688165452364,4.04969888245399e-59,0.48643749917589235,1.0890992015146582e-247,0.36808910933697025,7.935287574371392e-212,0.5608879817048968,10.494535497558937,150.16744080596698,0.06088895864386479,0.060664559350828595,4.049698882458678e-59,0.24675688165452364,0.48643749917589235,0.36808910933697025
ECN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,4187,0.24641839735900667,5.88216443189662e-59,0.5200592676342407,6.352567257700001e-289,0.4013509818812563,1.649403474852564e-250,0.6765228476026317,2.055639162280639,149.20295966168496,0.060722026556981334,0.06049758737575239,5.882164431948716e-59,0.24641839735900667,0.5200592676342407,0.4013509818812563
ECN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,4187,0.24525946381653804,2.1023747884347363e-58,0.5214678662680305,9.384858226663223e-291,0.4033108879629647,2.7263569052560286e-253,0.713928851542007,2.0345802792970495e-06,149.23966229327846,0.060152204591575775,0.0599276292521711,2.102374788453739e-58,0.24525946381653804,0.5214678662680305,0.4033108879629647
