feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
EMBI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,1,1133,-0.14401474948382412,1.129673592258132e-06,-0.17049210913276888,7.705823212654564e-09,-0.14254989190841078,7.610697686268885e-10,0.29927136264435683,-0.09152393173711326,8.91457967414803,0.020740248068888967,0.019874412744458336,1.1296735922580023e-06,0.14401474948382412,0.17049210913276888,0.14254989190841078
EMBI FP Equity_DX_BROKER_SI_CON_RATIO,1,1133,-0.12383863736697495,2.9161847943321096e-05,-0.1744573831840214,3.3972489042825482e-09,-0.14070031766386595,5.152669588318742e-09,0.2101443237463989,-0.5076396168650714,8.94365146536947,0.015336008104909093,0.014465394495806527,2.9161847943314767e-05,0.12383863736697495,0.1744573831840214,0.14070031766386595
EMBI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,1133,-0.12341542446250414,3.106441908273148e-05,-0.1744571790928358,3.3973937780287354e-09,-0.14069569517670397,5.156308622208793e-09,0.21122377238355794,-0.005042508877155468,8.94363272856685,0.015231366995260065,0.014360660865282537,3.106441908274468e-05,0.12341542446250414,0.1744571790928358,0.14069569517670397
EMBI FP Equity_DX_SUPPLY_SI_QTY_ADD,1,1133,-0.11543154860862932,9.853623520017161e-05,-0.061575173745717394,0.038237177646794955,-0.050182343241989995,0.03807105313389347,0.0,-2.010644252482424e-05,8.870091086563644,0.013324442414186066,0.012452050232412692,9.853623520018923e-05,0.11543154860862932,0.061575173745717394,0.050182343241989995
EMBI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,1,1133,-0.10993710952921129,0.00020919234302991393,-0.15293089843580718,2.310614886445778e-07,-0.1167485469567437,4.601848475315432e-07,0.2141099707240124,-0.009131940879705642,8.909560354988066,0.012086168051638091,0.011212681020737802,0.0002091923430299033,0.10993710952921129,0.15293089843580718,0.1167485469567437
EMBI FP Equity_DX_UTILIZATION_QUANTITY,1,1133,-0.10185535983648386,0.000595607280256985,-0.12068144297162718,4.6500391138083116e-05,-0.09560081796805997,4.15043361672446e-05,0.2690616828966481,-0.03499727795793112,8.904181317191995,0.01037451432741976,0.009499513898001077,0.0005956072802568955,0.10185535983648386,0.12068144297162718,0.09560081796805997
EMBI FP Equity_DX_ACTIVE_UTILIZATION_MV,1,1133,-0.10166865181628688,0.0006096600441749885,-0.12059953488618809,4.705964073880199e-05,-0.09555863948158945,4.1810856249297276e-05,0.27162931381203004,-0.03492932367295569,8.90418545256183,0.010336514762141369,0.009461480734521799,0.0006096600441750054,0.10166865181628688,0.12059953488618809,0.09555863948158945
EMBI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,1133,-0.1016656361359077,0.0006098895304839714,-0.12059534393762085,4.708842616602551e-05,-0.09552706284900801,4.207502349057515e-05,0.27210224212213263,-0.03492830806085754,8.904184336127038,0.010335901570919015,0.009460867001132134,0.0006098895304841463,0.1016656361359077,0.12059534393762085,0.09552706284900801
EMBI FP Equity_DX_DEMAND_SUPPLY_RATIO,1,1133,-0.09273984119181741,0.001778534719075291,-0.16165107648819702,4.4699672970895784e-08,-0.12682415144513892,4.4281922599505e-08,0.31533859464158165,-1.273555149733843,8.898963641850871,0.008600678144283669,0.007724109336276985,0.001778534719075463,0.09273984119181741,0.16165107648819702,0.12682415144513892
EMBI FP Equity_DX_SUPPLY_SI_QTY,1,1133,-0.08801491957070508,0.0030261057658507984,-0.11333176105339805,0.00013190937702256647,-0.08527771812606187,0.00025583981961663303,0.2402075158342929,-3.6174410304806415e-06,8.900491231009989,0.007746626067037576,0.006869302128989063,0.0030261057658497077,0.08801491957070508,0.11333176105339805,0.08527771812606187
EMBI FP Equity_DX_SI_QTY,1,1133,-0.0875054483083816,0.0031999851295560554,-0.15455910938754056,1.7119317547111328e-07,-0.1182032919268984,3.3811653742801734e-07,0.24493664460263465,-1.4710833606352385e-06,8.898917350988123,0.007657203483650954,0.006779800480541942,0.0031999851295552552,0.0875054483083816,0.15455910938754056,0.1182032919268984
EMBI FP Equity_DX_SUPPLY_SI_MV,1,1133,-0.08552408284752158,0.003966066650291748,-0.11257888690096901,0.00014627641832928984,-0.08418063012599837,0.00030635301853679394,0.24716895690443064,-0.3995636870486486,8.899737582157865,0.007314368746909938,0.0064366626184810816,0.0039660666502912695,0.08552408284752158,0.11257888690096901,0.08418063012599837
EMBI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,1,1133,-0.08530169559747146,0.004061700471372255,-0.11254320096815504,0.0001469926651670772,-0.08380348178502575,0.00032226294955430744,0.2567752099542069,-3.9810985616993997e-07,8.899568362216176,0.007276379271804023,0.0063986395540956975,0.004061700471372402,0.08530169559747146,0.11254320096815504,0.08380348178502575
EMBI FP Equity_DX_SI_MV,1,1133,-0.08523545784435843,0.004090586204433578,-0.1535632520415952,2.0573428783926795e-07,-0.11669716375996361,4.7218618324147974e-07,0.24668215774986413,-0.16357586877972913,8.898153234163756,0.007265083273937378,0.006387333568609432,0.004090586204432172,0.08523545784435843,0.1535632520415952,0.11669716375996361
EMBI FP Equity_DX_SHORT_INTEREST_VALUE,1,1133,-0.08502949021380521,0.004181600528431918,-0.15347837459301017,2.089711341649269e-07,-0.11639279384897581,4.984057684406488e-07,0.25470891377058846,-1.629908005671505e-07,8.898005396940686,0.007230014206019431,0.006352233493557957,0.0041816005284309,0.08502949021380521,0.15347837459301017,0.11639279384897581
EMBI FP Equity_DX_BROKER_SI_QTY,1,1133,-0.0810189913749257,0.0063607489232863105,-0.16954888029588344,9.337162393942374e-09,-0.13163486568561358,1.4409121936711967e-08,0.27637997902314493,-2.142546446813483e-06,8.892044661345215,0.006564076963410659,0.005685707447021238,0.00636074892328398,0.0810189913749257,0.16954888029588344,0.13163486568561358
EMBI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,1133,-0.07904433216294487,0.007770874852832659,-0.16815991197014252,1.2364437933361921e-08,-0.12963563901149885,2.2862255184421263e-08,0.2929025627850266,-2.3956066009246674e-07,8.891414241755605,0.0062480064470861185,0.005369357469585889,0.007770874852832687,0.07904433216294487,0.16815991197014252,0.12963563901149885
EMBI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,1,1133,-0.05814459496644162,0.050389100125358736,-0.6388455656793796,5.83153696165201e-131,-0.48983206907140564,9.194413095773972e-122,1.0603717815956726,-7.628110090428838e-08,8.913752393274155,0.0033807939238116314,0.0024996098335586803,0.05038910012535029,0.05814459496644162,0.6388455656793796,0.48983206907140564
EMBI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,1133,-0.04129775525459046,0.16478915940973216,-0.518438554388425,6.012426327435654e-79,-0.3558161997382632,5.744987254066693e-66,1.1572032837345163,-0.005790448185126195,8.894843980851313,0.001705504589068152,0.0008228392527190875,0.16478915940972597,0.04129775525459046,0.518438554388425,0.3558161997382632
EMBI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,1133,-0.0389178483729982,0.19052511989756352,-0.5254636224778457,1.9848536255739885e-81,-0.35955525646761816,3.2083244028079617e-68,1.2373891116058564,-5.451158695570561e-09,8.892447891601039,0.0015145989219838008,0.0006317647919414915,0.19052511989756332,0.0389178483729982,0.5254636224778457,0.35955525646761816
EMBI FP Equity_DX_SUPPLY_SI_QTY_DEC,1,1133,-0.030001508821917596,0.3129913421132702,-0.050521275380433904,0.08917648771095316,-0.04141710496359037,0.08574926763491637,0.005464022400540891,-2.427493082020598e-06,8.860243939027994,0.0009000905315916796,1.671306963912933e-05,0.3129913421132841,0.030001508821917596,0.050521275380433904,0.04141710496359037
EMBI FP Equity_DX_BROKER_SI_QTY_DEC,1,1133,-0.02936716676518821,0.32333749997436717,-0.08222396075024749,0.005617703102710012,-0.06702808108284045,0.005413773522106518,0.01247742611245517,-2.03354298737601e-06,8.860366115106684,0.0008624304838142915,-2.09802761468314e-05,0.32333749997434147,0.02936716676518821,0.08222396075024749,0.06702808108284045
EMBI FP Equity_DX_SUPPLY_SI_MV_DEC,1,1133,-0.028585915724276868,0.33638217793115405,-0.05033333906824831,0.09037426132796604,-0.04120739563506735,0.08738776346216424,0.004888629661774058,-0.27817186504732505,8.860194621400673,0.0008171545777954092,-6.629621391285312e-05,0.33638217793115577,0.028585915724276868,0.05033333906824831,0.04120739563506735
EMBI FP Equity_DX_BROKER_SI_MV_DEC,1,1133,-0.027555926168419825,0.35408937748640945,-0.08191349758790917,0.005801271380369521,-0.06663641837216275,0.005705379927272763,0.011036950166124937,-0.22444752978882002,8.86011874977206,0.0007593290669997144,-0.00012417285248123022,0.35408937748640235,0.027555926168419825,0.08191349758790917,0.06663641837216275
EMBI FP Equity_DX_BROKER_SI_QTY_INC,1,1133,-0.022380361523814677,0.45169804043258455,-0.07050406566052263,0.017620108449209197,-0.05809571149613039,0.015727524635508625,0.03659195454867059,-1.7255957219065712e-06,8.858211863213333,0.0005008805819365358,-0.0003828498507938427,0.4516980404325889,0.022380361523814677,0.07050406566052263,0.05809571149613039
EMBI FP Equity_DX_BROKER_SI_MV_INC_x,1,1133,-0.020567402582168267,0.48918285072933343,-0.06921302965557345,0.01980942954152147,-0.05634724306165863,0.019423060384366957,0.02981480468951414,-0.18942836036377536,8.858031659923562,0.00042301804897693085,-0.0004607812277259704,0.48918285072934264,0.020567402582168267,0.06921302965557345,0.05634724306165863
EMBI FP Equity_DX_BROKER_SI_MV_INC_y,1,1133,-0.020567402582168267,0.48918285072933343,-0.06921302965557345,0.01980942954152147,-0.05634724306165863,0.019423060384366957,0.02981480468951414,-0.18942836036377536,8.858031659923562,0.00042301804897693085,-0.0004607812277259704,0.48918285072934264,0.020567402582168267,0.06921302965557345,0.05634724306165863
EMBI FP Equity_DX_SUPPLY_SI_QTY_INC_x,1,1133,-0.017218800373511534,0.5625965236156608,-0.047227122529541754,0.1121055822716453,-0.03880565539544948,0.10693321893932242,0.01739024476246076,-1.7767916917494343e-06,8.857571001592952,0.00029648708630258813,-0.0005874240656988938,0.5625965236156633,0.017218800373511534,0.047227122529541754,0.03880565539544948
EMBI FP Equity_DX_SUPPLY_SI_QTY_INC_y,1,1133,-0.017218800373511534,0.5625965236156608,-0.047227122529541754,0.1121055822716453,-0.03880565539544948,0.10693321893932242,0.01739024476246076,-1.7767916917494343e-06,8.857571001592952,0.00029648708630258813,-0.0005874240656988938,0.5625965236156633,0.017218800373511534,0.047227122529541754,0.03880565539544948
EMBI FP Equity_DX_BROKER_SI_QTY_ADD,1,1133,-0.0057104771878868105,0.8477387362662253,-0.06989508990244363,0.018624917657733008,-0.05685669114237857,0.01877317522740794,0.00466421123602645,-9.340129480168609e-07,8.855927494479648,3.2609549713291663e-05,-0.000851534915759844,0.8477387362662337,0.0057104771878868105,0.06989508990244363,0.05685669114237857
