feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
EXA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,4999,0.4965597260163041,1.39889830627503e-309,0.047914206828846825,0.0007019756408810136,0.03458435629665727,0.0006748214855483311,0.9478439843209583,8.915571213646361e-07,13.628674036183323,0.24657156150138704,0.24642078534799527,1.39889830626741e-309,0.4965597260163041,0.047914206828846825,0.03458435629665727
EXA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,4999,0.4956561834451862,2.7350014206534886e-308,0.046803557407243075,0.0009324041000080067,0.031241949000280725,0.0021825160876972234,0.879568690957719,0.8919521627548764,13.611970076895167,0.24567505218744812,0.24552409662454788,2.735001420665127e-308,0.4956561834451862,0.046803557407243075,0.031241949000280725
EXA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,1,4999,0.40435917323184767,5.227475307358704e-196,0.6628794982220014,0.0,0.48819572472845196,0.0,1.1315039599593946,4.969968425257475e-06,13.23297253977668,0.163506340976743,0.16333894180543562,5.22747530735014e-196,0.40435917323184767,0.6628794982220014,0.48819572472845196
EXA FP Equity_DX_SUPPLY_SI_MV,1,4999,0.40299705356286447,1.3974903184286784e-194,0.658493017416804,0.0,0.48460286630593713,0.0,1.0037448718142086,4.978428305333389,13.223191357679267,0.1624066251803502,0.16223900593383844,1.3974903184336027e-194,0.40299705356286447,0.658493017416804,0.48460286630593713
EXA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,4999,0.40164223326821924,3.6153074901324604e-193,0.6606584180861352,0.0,0.4902425633019538,0.0,1.0603940628702238,3.6945385569759785e-06,12.715943663017844,0.16131648354468264,0.1611486461389482,3.6153074901441787e-193,0.40164223326821924,0.6606584180861352,0.4902425633019538
EXA FP Equity_DX_BROKER_SI_MV_DEC,1,4999,0.3896975605828631,5.397052199957044e-181,0.34331142881460186,2.743738287256071e-138,0.26979700673136564,3.1755247000793064e-134,0.1219055943141063,35.827441931674244,14.689598506512887,0.15186418872423402,0.15169445972457907,5.397052199950513e-181,0.3896975605828631,0.34331142881460186,0.26979700673136564
EXA FP Equity_DX_SUPPLY_SI_MV_DEC,1,4999,0.3670932808573412,2.667854595011104e-159,0.31267170751729256,8.405458199109136e-114,0.2484313987030408,7.848375885153835e-112,0.10755764511921484,33.71704956435556,14.875230146699344,0.13475747685060624,0.13458432445453872,2.6678545950101137e-159,0.3670932808573412,0.31267170751729256,0.2484313987030408
EXA FP Equity_DX_SHORT_INTEREST_VALUE,1,4999,0.3616629083307104,2.422282782209477e-154,0.6764789739327065,0.0,0.49951122476461257,0.0,1.1553503746129614,2.4112847411418286e-06,13.16997071171264,0.13080005926222782,0.13062611490746745,2.4222827822040924e-154,0.3616629083307104,0.6764789739327065,0.49951122476461257
EXA FP Equity_DX_SI_MV,1,4999,0.3577761937341168,7.482822333564999e-151,0.6688064942522649,0.0,0.48893414473361535,0.0,1.0915808415163601,2.3792483296186924,13.172815757820349,0.1280038048028722,0.12782930086146804,7.482822333529347e-151,0.3577761937341168,0.6688064942522649,0.48893414473361535
EXA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,1,4999,0.2969928511292094,2.4120562429267212e-102,0.5112961570978034,0.0,0.357095202646492,2.8081750176721525e-294,0.8443328205316192,0.2581924009442786,11.438389631672484,0.08820475362185654,0.0880222850914627,2.4120562429291303e-102,0.2969928511292094,0.5112961570978034,0.357095202646492
