feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
FIPP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,3522,-0.1236415037669058,1.7935540798474694e-13,-0.2051729257273146,8.719846646310602e-35,-0.17207623179077486,1.464063765260988e-35,0.22060275098338167,-0.0271591507764596,2.808990064894481,0.015287221453741506,0.015007473505290858,1.7935540798469564e-13,0.1236415037669058,0.2051729257273146,0.17207623179077486
FIPP FP Equity_DX_BROKER_SI_CON_RATIO,1,3522,-0.12292465297077122,2.473656282926922e-13,-0.20517249599053614,8.722690350400092e-35,-0.17207593419053407,1.4644114568795762e-35,0.2217505297952269,-2.7131770966174362,2.800933444376947,0.015110470307984736,0.014830672146140422,2.47365628292574e-13,0.12292465297077122,0.20517249599053614,0.17207593419053407
FIPP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,3522,-0.07806333680905148,3.5143003680175836e-06,-0.2056286188522155,6.168332362263237e-35,-0.16834653266004648,6.405613397679993e-35,0.24470603521482603,-0.026172524657208714,2.4008322758260103,0.0060938845537641395,0.005811524861876083,3.5143003680178496e-06,0.07806333680905148,0.2056286188522155,0.16834653266004648
FIPP FP Equity_DX_ACTIVE_UTILIZATION_MV,1,3522,-0.07781449779437818,3.77527107133195e-06,-0.2052325462657026,8.334112947079799e-35,-0.16708901537531468,8.38184742950555e-35,0.162748002786004,-0.026584661511196594,2.399135300663115,0.006055096066991172,0.005772725355646657,3.775271071331992e-06,0.07781449779437818,0.2052325462657026,0.16708901537531468
FIPP FP Equity_DX_UTILIZATION_QUANTITY,1,3522,-0.06492683214478516,0.0001153153072846554,-0.20611192995114186,4.2689698279596635e-35,-0.1632262008393237,3.5859231122641935e-33,0.28681270756491717,-0.030239365120467838,2.317420526730654,0.004215493532356396,0.003932600206655423,0.00011531530728469051,0.06492683214478516,0.20611192995114186,0.1632262008393237
FIPP FP Equity_DX_BROKER_SI_QTY,1,3522,-0.05973827191880274,0.00038940303463892814,-0.18327767833511144,5.566492094720549e-28,-0.1410104083147422,4.6815020643728055e-26,0.4340658503896302,-4.470828570602261e-05,2.289919351354292,0.0035686611318442862,0.003285584046938572,0.0003894030346389186,0.05973827191880274,0.18327767833511144,0.1410104083147422
FIPP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,3522,-0.058302184550530364,0.00053668807510328,-0.17703687400497514,3.4421245091232427e-26,-0.1283744110691118,1.2287241268298274e-22,0.5878509158386298,-0.0003218611921181737,2.282524894149267,0.00339914472336289,0.0031160194803866448,0.000536688075103283,0.058302184550530364,0.17703687400497514,0.1283744110691118
FIPP FP Equity_DX_SI_QTY,1,3522,-0.057431570028695075,0.0006497145291751903,-0.18559411182828472,1.15903204050376e-28,-0.14352201775710138,6.011423535143524e-27,0.42815657008747676,-2.1716824068548585e-05,2.2778613384454984,0.0032983852359609322,0.003015231368130311,0.0006497145291752013,0.057431570028695075,0.18559411182828472,0.14352201775710138
FIPP FP Equity_DX_SHORT_INTEREST_VALUE,1,3522,-0.056168445229550494,0.0008534640609225983,-0.17761524453529295,2.363518782717008e-26,-0.12922774755708197,6.298156217075177e-23,0.5810024659086737,-0.0001569666680103948,2.271614181873947,0.0031548942395052126,0.002871699607186917,0.0008534640609226597,0.056168445229550494,0.17761524453529295,0.12922774755708197
FIPP FP Equity_DX_SUPPLY_SI_QTY,1,3522,-0.05490249071781757,0.001115814978260821,-0.19985076692814827,4.6762319076890916e-33,-0.15733052925024732,6.500963519844518e-31,0.2891223558418341,-4.177316346145259e-05,2.2651991817714228,0.003014283487021596,0.00273104890846676,0.0011158149782608804,0.05490249071781757,0.19985076692814827,0.15733052925024732
