feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
GEMU FP Equity_DX_BROKER_SI_CON_RATIO,1,1160,-0.25051774437788465,4.651406524763429e-18,-0.3012285923150794,9.293790767659268e-26,-0.24562056027191118,1.0498907186251891e-24,0.10305565727228916,-0.47772912848419924,9.491682073575314,0.0627591402481833,0.0619497785385531,4.651406524753132e-18,0.25051774437788465,0.3012285923150794,0.24562056027191118
GEMU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,1160,-0.2505019703692094,4.674458226252562e-18,-0.3012278204932557,9.296566414422328e-26,-0.24559835343338624,1.0559258049392528e-24,0.10305565727228916,-0.0047768749898648545,9.491680326681465,0.06275123715885644,0.06194186862445139,4.6744582262451194e-18,0.2505019703692094,0.3012278204932557,0.24559835343338624
GEMU FP Equity_DX_BROKER_SI_QTY,1,1160,-0.23223358403042318,1.1393489442184539e-15,-0.306746132368995,1.0740904118779421e-26,-0.2448746738678455,9.972204655915975e-26,0.2360117103740702,-9.863080556139525e-06,9.482914463421933,0.05393243755161592,0.053115453473508545,1.1393489442164728e-15,0.23223358403042318,0.306746132368995,0.2448746738678455
GEMU FP Equity_DX_SI_QTY,1,1160,-0.23210288480743413,1.183106627117165e-15,-0.306746132368995,1.0740904118779421e-26,-0.2448746738678455,9.972204655915975e-26,0.24090111360489352,-9.858321170281267e-06,9.48294149983461,0.053871749135932956,0.053054712649867386,1.1831066271158914e-15,0.23210288480743413,0.306746132368995,0.2448746738678455
GEMU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,1160,-0.2311802806604724,1.5426779799210794e-15,-0.3064205996048229,1.2214992815185138e-26,-0.2438574024764154,1.3803227603883944e-25,0.23881164044048853,-1.0813063387452296e-06,9.482871150606861,0.053444322166255165,0.05262691657227103,1.5426779799199086e-15,0.2311802806604724,0.3064205996048229,0.2438574024764154
GEMU FP Equity_DX_SHORT_INTEREST_VALUE,1,1160,-0.23103953267206306,1.6062522922804277e-15,-0.3064205996048229,1.2214992815185138e-26,-0.2438574024764154,1.3803227603883944e-25,0.2428841048143413,-1.080738480297735e-06,9.482899389001702,0.053379265657325425,0.05256180388328169,1.6062522922800478e-15,0.23103953267206306,0.3064205996048229,0.2438574024764154
GEMU FP Equity_DX_SI_MV,1,1160,-0.22248795837043503,1.7775182801015205e-14,-0.3067799488567057,1.0598266204818057e-26,-0.24495183131254555,1.0201626875196517e-25,0.2250720707989422,-0.9335989999359593,9.479762386893732,0.04950089161984461,0.048680080645423174,1.777518280101137e-14,0.22248795837043503,0.3067799488567057,0.24495183131254555
GEMU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,1,1160,-0.20475584892544524,1.909461221140121e-12,-0.3064015003607412,1.2307445581507677e-26,-0.24506549595889002,8.043075399487289e-26,0.17848411083635263,-0.06272795697217946,9.474856900685346,0.04192495766918003,0.04109760443746091,1.9094612211414627e-12,0.20475584892544524,0.3064015003607412,0.24506549595889002
GEMU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,1,1160,-0.1942847301902585,2.4951046859480175e-11,-0.31339360329384774,7.499241161813528e-28,-0.24828355298545768,4.556216388977111e-26,0.1253001505315945,-7.300857173962826,9.475311298186146,0.03774655638510194,0.036915594862118484,2.4951046859430244e-11,0.1942847301902585,0.31339360329384774,0.24828355298545768
GEMU FP Equity_DX_BROKER_SI_QTY_ADD,1,1160,-0.13498912852555872,3.954878387094075e-06,-0.09426682390890188,0.0013075805806137342,-0.07674121120097692,0.001324562205504139,0.0016142850977285406,-1.5598002355963903e-05,9.448021632464311,0.01822206482008981,0.017374242768984582,3.954878387094329e-06,0.13498912852555872,0.09426682390890188,0.07674121120097692
