feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
GLE FP Equity_DX_SUPPLY_SI_MV,1,4999,0.7411274596939433,0.0,0.43221012427647293,1.0893293277658617e-226,0.299051359735844,1.7073594876845423e-220,0.6512233448578684,0.02626652197030381,27.828474960667023,0.5492699115123972,0.5491797113746171,0.0,0.7411274596939433,0.43221012427647293,0.299051359735844
GLE FP Equity_DX_SI_MV,1,4999,0.7162079162893313,0.0,0.5522516268936825,0.0,0.39626798586440215,0.0,0.7177434750509555,0.015087257954138525,27.234872816018264,0.5129537793555055,0.5128563116307417,0.0,0.7162079162893313,0.5522516268936825,0.39626798586440215
GLE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,1,4999,0.7086470757879254,0.0,0.420784661482279,9.458744929067398e-214,0.2902642236077902,7.489401706467972e-208,0.6535717934614524,3.166568123914232e-08,27.733216353176296,0.5021806780227775,0.5020810543841989,0.0,0.7086470757879254,0.420784661482279,0.2902642236077902
GLE FP Equity_DX_SHORT_INTEREST_VALUE,1,4999,0.6947386352604331,0.0,0.5477559630620704,0.0,0.3931123363708404,0.0,0.7150778004867782,1.8841927802985395e-08,26.778810971115284,0.4826617713235295,0.4825582415599361,0.0,0.6947386352604331,0.5477559630620704,0.3931123363708404
GLE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,4999,0.6085154609243574,0.0,0.5388533667657299,0.0,0.3835231050682482,0.0,0.6587749180398079,2.6545023491214332e-08,27.792393738804574,0.37029106618398333,0.3701650487867818,0.0,0.6085154609243574,0.5388533667657299,0.3835231050682482
GLE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,1,4999,-0.5946672788850983,0.0,-0.48991107179278576,3.6022479973578886e-300,-0.34530184085383125,2.9032717727967996e-293,1.261845468473867,-2.8375339542756075e-07,83.2949682728723,0.3536291725766073,0.3534998208000567,0.0,0.5946672788850983,0.48991107179278576,0.34530184085383125
GLE FP Equity_DX_UTILIZATION_QUANTITY,1,4999,0.540324571683861,0.0,0.25393122074780816,2.0963926855849765e-74,0.15904954187636733,1.0703829575262521e-63,0.6632650917938321,1.4082339783101756,29.58809733598241,0.291950642765348,0.2918089478769681,0.0,0.540324571683861,0.25393122074780816,0.15904954187636733
GLE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,4999,0.5293981888843623,0.0,0.25429948831932747,1.2698065181882597e-74,0.15933134399469576,6.456419529732218e-64,0.6769007029603431,1.0170120301730732,31.57712193995547,0.2802624423940431,0.28011840846216285,0.0,0.5293981888843623,0.25429948831932747,0.15933134399469576
GLE FP Equity_DX_ACTIVE_UTILIZATION_MV,1,4999,0.524740669643773,0.0,0.254071228508929,1.7327516267882968e-74,0.15921735900221193,7.937025186019353e-64,0.6793237952579352,0.9302671321921693,32.14007245245118,0.27535277037819506,0.27520775392239727,0.0,0.524740669643773,0.254071228508929,0.15921735900221193
GLE FP Equity_DX_DEMAND_SUPPLY_RATIO,1,4999,0.500543895437484,2.545762903e-315,0.3405680551675391,5.586399519437036e-136,0.22826830979548401,2.967168051755778e-129,0.6287247017541198,74.34211912734241,29.89234932003952,0.25054419125973093,0.25039421010929264,0.0,0.500543895437484,0.3405680551675391,0.22826830979548401
GLE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,1,4999,0.49651824510699305,1.60379134604648e-309,0.38695621129418706,2.8555812623857743e-178,0.26783772235595066,5.065841158094367e-177,0.5340001019889868,2.932060981645333,28.044212774169875,0.24653036772412795,0.24637958332703458,1.603791346046637e-309,0.49651824510699305,0.38695621129418706,0.26783772235595066
GLE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,1,4999,0.45690381441334393,2.0607772466166444e-256,0.30737548067308695,7.485349409884117e-110,0.20398579407345926,2.1429927275770316e-103,0.6139710619069545,4.197542114693453,29.656759935535046,0.20876109562546308,0.20860275283891627,2.060777246617015e-256,0.45690381441334393,0.30737548067308695,0.20398579407345926
GLE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,1,4999,0.4460006712160229,5.516900130969003e-243,0.304848130527235,5.374444625705954e-108,0.20198268330523553,1.9883910541982662e-101,0.6130249099586331,3.6769099519944137,30.239005699054818,0.198916598725143,0.19875628585716731,5.516900130967993e-243,0.4460006712160229,0.304848130527235,0.20198268330523553
GLE FP Equity_DX_DSS,1,4999,0.41165808488782807,9.053934491134062e-204,0.2644657217501055,8.937699877902445e-81,0.20304399365662198,2.2369145714716924e-76,0.24451421793143324,13.821148623088355,28.64333027735937,0.16946237885351445,0.16929617160493604,9.053934491191036e-204,0.41165808488782807,0.2644657217501055,0.20304399365662198
GLE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,4999,-0.34883159530352653,5.2658984737236e-143,-0.36029001643159747,4.1928277466371066e-153,-0.24218925251873008,2.692673205445664e-145,0.36933713274456803,-0.648556652754108,64.35219797671644,0.12168348188200317,0.12150771311712072,5.2658984737346155e-143,0.34883159530352653,0.36029001643159747,0.24218925251873008
GLE FP Equity_DX_BROKER_SI_CON_RATIO,1,4999,-0.3142040721886562,5.841873246572568e-115,-0.36052616646494656,2.5700749517018835e-153,-0.23705925976646675,2.8012482296572505e-139,0.3903454932876551,-70.29285427116858,57.15842931397328,0.09872419897993412,0.09854383560170321,5.841873246579331e-115,0.3142040721886562,0.36052616646494656,0.23705925976646675
GLE FP Equity_DX_SUPPLY_SI_QTY,1,4999,0.2694490214213476,6.832278847682584e-84,0.17673056457056865,2.3487395968587916e-36,0.10809065850693128,2.1741122894928076e-30,0.5935082748548464,6.462025797075979e-07,34.36084048769538,0.07260277514492164,0.07241718434547095,6.832278847687388e-84,0.2694490214213476,0.17673056457056865,0.10809065850693128
GLE FP Equity_DX_SI_QTY,1,4999,0.26184789290912686,3.645772910136592e-79,0.264835270406922,5.2770625850954895e-81,0.1707829827800246,3.0856935798466064e-73,0.5282733859802606,3.738182106883026e-07,33.96441400585063,0.06856431902094962,0.06837792004536847,3.645772910137738e-79,0.26184789290912686,0.264835270406922,0.1707829827800246
GLE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,4999,0.2380633426500052,2.3268984710807767e-65,0.518593482959991,0.0,0.3938389215447719,0.0,0.9570188041348135,0.00317012653046112,24.112131215699115,0.05667415511369389,0.056485376677655075,2.326898471080594e-65,0.2380633426500052,0.518593482959991,0.3938389215447719
GLE FP Equity_DX_BROKER_SI_QTY,1,4999,0.18544485958787757,6.4469801425835515e-40,0.23378920527523248,4.919789761003622e-63,0.14989620111417365,7.706283491281288e-57,0.5052677414786979,3.8929156177828845e-07,35.84653363801112,0.03438979594756808,0.03419655796396748,6.446980142581336e-40,0.18544485958787757,0.23378920527523248,0.14989620111417365
