feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
INEA FP Equity_DX_SHORT_INTEREST_VALUE,1,4812,-0.2568463696646918,2.3314380247606355e-73,-0.20553158165702265,4.62138277856433e-47,-0.1607953949302433,2.159989024438859e-45,0.3596131366076909,-2.8681374835445247e-05,37.232272171615975,0.06597005760993147,0.06577587259072348,2.3314380247391464e-73,0.2568463696646918,0.20553158165702265,0.1607953949302433
INEA FP Equity_DX_SI_MV,1,4812,-0.2564650179461001,3.864932742902516e-73,-0.2944981088868388,6.805520252760132e-97,-0.23992175318881528,1.6471094352461466e-94,0.1834961129652004,-22.13696092094425,37.22385172027031,0.065774305430093,0.06558007971396607,3.864932742936902e-73,0.2564650179461001,0.2944981088868388,0.23992175318881528
INEA FP Equity_DX_SI_QTY,1,4812,-0.250336847255248,1.1590831135668099e-69,-0.20680656372907386,1.226389128913372e-47,-0.16473517674042565,3.087454352523891e-47,0.30365688782437594,-0.0005446656742440687,37.20697772034912,0.06266853709369757,0.06247366568768786,1.1590831135481174e-69,0.250336847255248,0.20680656372907386,0.16473517674042565
INEA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,4812,-0.24968274269123272,2.6892542862383613e-69,-0.20210840170087058,1.558343181768152e-45,-0.15833028987465095,5.045089567770535e-44,0.3600831494211669,-2.819890601278975e-05,37.210260055170316,0.06234147199781692,0.06214653259490577,2.6892542862170143e-69,0.24968274269123272,0.20210840170087058,0.15833028987465095
INEA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,1,4812,-0.2455655500670996,5.077635388945129e-67,-0.27441152290064763,7.103982302656411e-84,-0.22370607657111574,3.869378029922918e-82,0.16685565258538393,-11.726970281471608,37.191052991745316,0.060302439379757655,0.06010707606154131,5.077635388931818e-67,0.2455655500670996,0.27441152290064763,0.22370607657111574
INEA FP Equity_DX_BROKER_SI_QTY,1,4812,-0.24511909830457204,8.910705221853935e-67,-0.20266520195242804,8.831279818711528e-46,-0.16135580012525017,2.4121636688516882e-45,0.30462950422015544,-0.0005348844044677248,37.193693788910146,0.060083372353645914,0.05988796349134928,8.910705221761219e-67,0.24511909830457204,0.20266520195242804,0.16135580012525017
INEA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,1,4812,-0.24061178557869636,2.4433346274693612e-64,-0.2215680852972661,1.3684995634988843e-54,-0.1813102445467909,3.2215007948737254e-54,0.1369573526704051,-14.493529693798806,37.18225673100042,0.0578940313593691,0.05769816733262456,2.4433346275037038e-64,0.24061178557869636,0.2215680852972661,0.1813102445467909
INEA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,4812,-0.2053370502501853,5.653788224659111e-47,-0.18557180733230294,1.5393279111224597e-38,-0.15211413586138856,2.0684804062676864e-38,0.11648531485460079,-0.027827491385766068,37.45315897235932,0.042163304205447116,0.04196416975725692,5.653788224622062e-47,0.2053370502501853,0.18557180733230294,0.15211413586138856
INEA FP Equity_DX_BROKER_SI_CON_RATIO,1,4812,-0.20487945593722293,9.077607755499339e-47,-0.18557175756362626,1.5393991420106187e-38,-0.15211412507780045,2.0692616455757198e-38,0.11588466831382371,-2.783336734499539,37.45178505009103,0.0419755914651323,0.0417764179914244,9.077607755490778e-47,0.20487945593722293,0.18557175756362626,0.15211412507780045
INEA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,1,4812,-0.18783559999847324,1.8506376568376685e-39,-0.20217886553512873,1.450410295998367e-45,-0.16068114217516588,2.885107832914624e-45,0.2453303214691207,-0.06037496892757809,37.13041741855306,0.035282212626786214,0.035081647598226184,1.8506376568311474e-39,0.18783559999847324,0.20217886553512873,0.16068114217516588
INEA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,1,4812,-0.1476680781907569,7.2420264270274e-25,-0.11556808336936174,8.862366970350134e-16,-0.0888657442719327,1.8253284005402037e-14,0.1811871494443087,-0.0006506966698842275,37.19777193027064,0.02180586131655171,0.02160249455175256,7.242026427048253e-25,0.1476680781907569,0.11556808336936174,0.0888657442719327
INEA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,4812,-0.14717357581908194,1.0398200559408152e-24,-0.11467895765377771,1.470625618397354e-15,-0.08519530731099359,1.539326843743609e-13,0.2630354640611159,-2.2737205790341625e-05,37.199896446483365,0.021660061419374377,0.02145666434274629,1.0398200559339814e-24,0.14717357581908194,0.11467895765377771,0.08519530731099359
INEA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,4812,-0.1434035329320703,1.5736490261587466e-23,-0.2265369098862543,4.7661985099679305e-57,-0.1803723330286867,6.565608039591956e-54,0.14777220601346963,-18.276583223677168,37.19238524587855,0.020564573257399243,0.020360948428554515,1.573649026170225e-23,0.1434035329320703,0.2265369098862543,0.1803723330286867
INEA FP Equity_DX_SUPPLY_SI_QTY,1,4812,-0.12699775501099933,9.302233634783267e-19,-0.12719705093287098,8.206173860686859e-19,-0.1005318345148709,2.2818638228132676e-18,0.2405145386032259,-0.005316329539612918,37.168690168136045,0.01612842977783413,0.015923882673837708,9.302233634789442e-19,0.12699775501099933,0.12719705093287098,0.1005318345148709
INEA FP Equity_DX_SUPPLY_SI_MV,1,4812,-0.11759548620045547,2.752115157325039e-16,-0.19398369015008582,5.115060538870659e-42,-0.15669939116949105,1.2530371976052553e-40,0.07154980182234727,-133.67298209720207,37.13677018685169,0.01382869837472156,0.013623673156088367,2.7521151573311877e-16,0.11759548620045547,0.19398369015008582,0.15669939116949105
INEA FP Equity_DX_DEMAND_SUPPLY_RATIO,1,4812,-0.1158454436803464,7.561175198560663e-16,-0.11486800292008424,1.3209240953482306e-15,-0.09199903523165169,1.1875636396549742e-15,0.2254236504281235,-1.6516426464303677,37.19840638414534,0.013420166821496493,0.013215056669068415,7.56117519863309e-16,0.1158454436803464,0.11486800292008424,0.09199903523165169
INEA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,1,4812,-0.11452311702873554,1.6064955835026146e-15,-0.12629333188018654,1.4465778244544561e-18,-0.09720998566968246,2.134564262285713e-17,0.28768466165719,-0.00013588730543337966,37.155122536212836,0.013115544333977547,0.012910370850470976,1.6064955834998449e-15,0.11452311702873554,0.12629333188018654,0.09720998566968246
