feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
INFL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,1,2429,-0.14346584613180194,1.2134165077075967e-12,-0.25326465051372804,7.344201642964116e-37,-0.1974044310697064,1.6602911285025922e-37,0.38964885702670604,-0.11914320363493591,103.5410708794056,0.020582449006313785,0.020178898305451165,1.2134165077068736e-12,0.14346584613180194,0.25326465051372804,0.1974044310697064
INFL FP Equity_DX_BROKER_SI_QTY,1,2429,-0.11148148425658683,3.6148748514456804e-08,-0.17814371008791377,9.061496362199723e-19,-0.13744372680050324,6.809210551173587e-20,0.6036838824273363,-8.065612071813163e-05,103.0135787680688,0.01242812133205129,0.012021210792839132,3.614874851443281e-08,0.11148148425658683,0.17814371008791377,0.13744372680050324
INFL FP Equity_DX_SI_QTY,1,2429,-0.11001656722047537,5.4529556155527654e-08,-0.19801425435608871,6.733429297124257e-23,-0.14882112682255838,4.414281961731084e-24,0.7366508853585443,-7.785926371289919e-05,103.03904749187478,0.012103645062977453,0.011696600829381731,5.452955615553533e-08,0.11001656722047537,0.19801425435608871,0.14882112682255838
INFL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,2429,-0.10470023503198894,2.3197088860331745e-07,-0.17326508390535061,7.966308555447702e-18,-0.13236286840340925,1.3606152936154871e-18,0.6056941795664645,-7.615957625967665e-07,102.96774021175258,0.010962139215754063,0.010554624646003763,2.3197088860326822e-07,0.10470023503198894,0.17326508390535061,0.13236286840340925
INFL FP Equity_DX_SHORT_INTEREST_VALUE,1,2429,-0.10267868451802069,3.9508485154309183e-07,-0.19195272841002983,1.369195526773498e-21,-0.14071328370639136,8.420911019693379e-22,0.7288143013501465,-7.295384394059896e-07,102.98777648909073,0.010542912254350889,0.01013522494996466,3.9508485154302936e-07,0.10267868451802069,0.19195272841002983,0.14071328370639136
INFL FP Equity_DX_SI_MV,1,2429,-0.10266248558253159,3.9675833244879993e-07,-0.1862862421886812,2.0924242234052744e-20,-0.14036729561255065,1.5790707284370364e-21,0.72680188138298,-0.7297316695661663,102.98770526774179,0.010539585945983476,0.010131897271054013,3.9675833244918903e-07,0.10266248558253159,0.1862862421886812,0.14036729561255065
INFL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,1,2429,-0.07277478524803692,0.00033117163759794206,-0.10614598277767785,1.57542693494592e-07,-0.08380818465287644,2.3067086358222097e-08,0.48551906268759915,-5.551355319428189,102.74355855710743,0.005296169367898007,0.004886320241143993,0.0003311716375977578,0.07277478524803692,0.10614598277767785,0.08380818465287644
INFL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,2429,-0.06682711853037569,0.000982271546720661,0.04411259738755019,0.029703369326837897,0.03264853503924803,0.026844341960886812,0.8674612969871989,-0.07580918151770884,102.54030547606224,0.004465863771072942,0.004055672532412569,0.0009822715467209422,0.06682711853037569,0.04411259738755019,0.03264853503924803
INFL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,1,2429,-0.05491922801505918,0.006782517422786076,0.06821235528452037,0.000768142231186973,0.04458993989327145,0.0024766427051473,0.8960358164336504,-6.239126433142477e-06,102.50372762189745,0.003016121605769695,0.002605333027939416,0.006782517422784424,0.05491922801505918,0.06821235528452037,0.04458993989327145
INFL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,2429,-0.04962175896106863,0.014451084946180137,0.07634774963404459,0.00016565063928237686,0.054842327089389784,0.00018912205395277748,0.937362110856363,-5.5755212897542706e-08,102.47859468398099,0.00246231896239002,0.0020513022005286263,0.014451084946175113,0.04962175896106863,0.07634774963404459,0.054842327089389784
INFL FP Equity_DX_DEMAND_SUPPLY_RATIO,1,2429,-0.04222755469248937,0.03743050235380553,-0.18051496906982945,3.0795635576152456e-19,-0.13743659897688842,7.995135985883131e-21,0.3810719603182764,-0.023941572031159077,102.2905855211439,0.001783166375307066,0.0013718697813126512,0.037430502353803206,0.04222755469248937,0.18051496906982945,0.13743659897688842
INFL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,1,2429,-0.039090043166709866,0.0540678148473581,-0.16243630984686738,7.942338120840493e-16,-0.1243343341680953,2.451587763474529e-17,0.5085877609437284,-0.10422340438279008,102.49956760982347,0.0015280314747748713,0.001116629757212051,0.05406781484735727,0.039090043166709866,0.16243630984686738,0.1243343341680953
INFL FP Equity_DX_BROKER_SI_QTY_ADD,1,2429,-0.032422749413916103,0.11014338859093684,0.0030079765727225325,0.8822071790473203,0.0017413252643221117,0.9153095756017678,0.016315001205890578,-0.00012032060178194101,102.28794445988586,0.0010512346795573668,0.0006396365067842247,0.11014338859093643,0.032422749413916103,0.0030079765727225325,0.0017413252643221117
