feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
IPN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,4999,0.9178570108014938,0.0,0.8530972418989664,0.0,0.68411736945692,0.0,1.9841040125951497,6.850990773738198e-08,24.45684252623605,0.8424614922774533,0.8424299656599382,0.0,0.9178570108014938,0.8530972418989664,0.68411736945692
IPN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,4999,0.9170509291881017,0.0,0.8584613007122446,0.0,0.6914420693350365,0.0,1.9264377437093758,0.06938251370167982,23.431373917019116,0.8409824067247611,0.8409505841125388,0.0,0.9170509291881017,0.8584613007122446,0.6914420693350365
IPN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,1,4999,0.762918658916649,0.0,0.725875115042086,0.0,0.48953186449370334,0.0,1.7827861923863622,8.087580336516075e-06,4.004584543615465,0.5820448801231785,0.5819612389144779,0.0,0.762918658916649,0.725875115042086,0.48953186449370334
IPN FP Equity_DX_UTILIZATION_QUANTITY,1,4999,-0.3966437051146291,5.1748864390215784e-188,-0.5408967312901176,0.0,-0.36116930183324997,0.0,0.9010538535946573,-1.8462885317176978,73.64420547871974,0.15732622880706093,0.15715759287126085,5.174886439025154e-188,0.3966437051146291,0.5408967312901176,0.36116930183324997
IPN FP Equity_DX_DEMAND_SUPPLY_RATIO,1,4999,-0.35111708005347286,5.502045073681763e-145,-0.5887222036301498,0.0,-0.39402010104811547,0.0,0.9131798812483138,-84.74665920672554,71.29181313661346,0.12328320390527692,0.123107755276881,5.502045073682517e-145,0.35111708005347286,0.5887222036301498,0.39402010104811547
IPN FP Equity_DX_BROKER_SI_CON_RATIO,1,4999,0.3449724105598089,1.069301151524635e-139,0.3498092015252204,7.518830288397319e-144,0.23287942737927061,1.8073988954503044e-134,0.5864898467939703,70.39507997644439,39.198833108049186,0.11900596404744535,0.1188296594575009,1.0693011515258849e-139,0.3449724105598089,0.3498092015252204,0.23287942737927061
IPN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,1,4999,-0.32742860077598573,3.0515256578381884e-125,-0.49300420504435466,1.600719857384388e-304,-0.3289189984734235,3.18178496049134e-265,0.839869090763913,-4.176901925430632,71.43054342780349,0.1072094886061199,0.1070308233046603,3.0515256578368895e-125,0.32742860077598573,0.49300420504435466,0.3289189984734235
IPN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,4999,-0.2998103713887658,2.3734338292274533e-104,-0.5451782836792125,0.0,-0.36369778341902953,0.0,0.9293032610572576,-0.7557554956736793,69.3183950363451,0.08988625879226941,0.08970412676481143,2.373433829227238e-104,0.2998103713887658,0.5451782836792125,0.36369778341902953
IPN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,4999,0.2987250417029258,1.4163335119943249e-103,0.2805329762899962,4.582644662415686e-91,0.18760935164261255,5.842063341306189e-88,0.5099399727392502,0.5836611420904129,35.479027916274326,0.08923665054041474,0.0890543885133066,1.416333511994887e-103,0.2987250417029258,0.2805329762899962,0.18760935164261255
IPN FP Equity_DX_ACTIVE_UTILIZATION_MV,1,4999,-0.29576995208674006,1.763945033650082e-101,-0.5446397633760834,0.0,-0.3633060050397842,0.0,0.9240431545759589,-0.7269412186496503,69.15645627584368,0.08747986455739254,0.08729725096214691,1.7639450336518932e-101,0.29576995208674006,0.5446397633760834,0.3633060050397842
