feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
MIVU FP Equity_DX_BROKER_SI_CON_RATIO,1,2131,-0.18411838501838018,1.0550811390623584e-17,-0.17876287021265028,9.221648602429553e-17,-0.14463533544142126,1.2212691211848457e-16,0.1855125163800091,-12.90658770930977,68.64495538331944,0.033899579701776705,0.03344579838646511,1.0550811390622103e-17,0.18411838501838018,0.17876287021265028,0.14463533544142126
MIVU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,2131,-0.1838904129655888,1.1586563975912159e-17,-0.17852957711729522,1.0119650364755844e-16,-0.14412881947234996,1.4459934796716534e-16,0.17681800737944187,-0.12868638475126812,68.64485893173759,0.03381568398065471,0.03336186325918,1.1586563975918422e-17,0.1838904129655888,0.17852957711729522,0.14412881947234996
MIVU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,1,2131,-0.16645916169144878,1.0444917957630338e-14,-0.17921593375600348,7.696221722081379e-17,-0.14222694258397958,1.7408912176066444e-16,0.2781287934321728,-10.008066728005513,68.39886946430859,0.02770865251101995,0.027251963291908043,1.04449179576211e-14,0.16645916169144878,0.17921593375600348,0.14222694258397958
MIVU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,1,2131,-0.1648362875158634,1.8993172069446656e-14,-0.13934854959847742,1.0437008645266413e-10,-0.11364057221696233,1.125580908507832e-10,0.0979529216248709,-0.23436557045682485,68.35452486094246,0.027171001682012585,0.0267140599261092,1.8993172069449683e-14,0.1648362875158634,0.13934854959847742,0.11364057221696233
MIVU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,1,2131,-0.15442196097301122,7.643990456914195e-13,-0.18092926090481484,3.867519538961978e-17,-0.1455864108236912,3.27154296408486e-17,0.24500204688869642,-2.088142677629115,68.12295825766068,0.023846142030750306,0.023387638574681957,7.64399045692034e-13,0.15442196097301122,0.18092926090481484,0.1455864108236912
MIVU FP Equity_DX_SI_QTY,1,2131,-0.08267302132719763,0.00013306424443773919,-0.17536368888655648,3.5271454919688885e-16,-0.13559643586734413,4.315818793886909e-15,0.27916886749843317,-0.00010090168670810556,67.97609895981816,0.006834828455367203,0.006368334715797008,0.00013306424443773344,0.08267302132719763,0.17536368888655648,0.13559643586734413
MIVU FP Equity_DX_BROKER_SI_QTY,1,2131,-0.08174061870059168,0.00015842281213788385,-0.17539281853942845,3.4872238042539235e-16,-0.13574353608143666,4.044204346778832e-15,0.27662705670439003,-0.00010103483329395144,67.96991628587999,0.006681528745555498,0.006214963000485185,0.00015842281213788913,0.08174061870059168,0.17539281853942845,0.13574353608143666
MIVU FP Equity_DX_SI_MV,1,2131,-0.07926041503227117,0.0002497703291682095,-0.17466399308770714,4.633535576466125e-16,-0.13380811813231,9.059884923875314e-15,0.2910801900908211,-1.5499410938745777,67.96154807071977,0.006282213391088032,0.005815460085964008,0.0002497703291683355,0.07926041503227117,0.17466399308770714,0.13380811813231
MIVU FP Equity_DX_SHORT_INTEREST_VALUE,1,2131,-0.07919632411253553,0.0002526837542163976,-0.17463144332254027,4.69259067924979e-16,-0.13353014617447687,9.958077363719822e-15,0.2938582860984458,-1.5519346541781942e-06,67.96131691545949,0.006272057752938043,0.0058052996776691845,0.00025268375421628954,0.07919632411253553,0.17463144332254027,0.13353014617447687
MIVU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,2131,-0.07833648726253128,0.00029497936792892096,-0.17464750069058746,4.663365713258452e-16,-0.1335944230302188,9.670449348529496e-15,0.29241464935837613,-1.5551997343479034e-06,67.95569673573615,0.00613660523663262,0.005669783538763351,0.0002949793679291153,0.07833648726253128,0.17464750069058746,0.1335944230302188
