feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
MTF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,4439,-0.1777760278774082,7.652209364304836e-33,-0.16367122464305175,4.9990392033355985e-28,-0.1325521647607724,5.566255529981603e-28,0.16616658306073773,-0.2646473467184877,188.83005882571587,0.031604316087868733,0.03138606148252443,7.652209364341148e-33,0.1777760278774082,0.16367122464305175,0.1325521647607724
MTF FP Equity_DX_BROKER_SI_CON_RATIO,1,4439,-0.17731321098218997,1.1178844179483888e-32,-0.16356317031582407,5.422176839225193e-28,-0.13249830071125637,6.126644822449425e-28,0.15203630604864093,-26.463900717300394,188.80697018595228,0.03143997478881455,0.031221683144637913,1.1178844179487113e-32,0.17731321098218997,0.16356317031582407,0.13249830071125637
MTF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,1,4439,-0.11865628660821897,2.167254046543789e-15,-0.15873786062093198,1.928998055560413e-26,-0.12325040678563447,6.285158940044234e-26,0.31693687533584325,-1.2129522075556003,185.72845398116522,0.014079314351651884,0.013857110005100481,2.167254046544922e-15,0.11865628660821897,0.15873786062093198,0.12325040678563447
MTF FP Equity_DX_BROKER_SI_QTY,1,4439,-0.11397392519181258,2.610574714369047e-14,-0.16496604888731742,1.8799819658785594e-28,-0.13069740696027268,8.054361330344079e-29,0.3940610178214994,-0.004312568202209071,186.0133516998172,0.01299005562362876,0.01276760578266034,2.6105747143703125e-14,0.11397392519181258,0.16496604888731742,0.13069740696027268
MTF FP Equity_DX_SI_QTY,1,4439,-0.09280102885532869,5.844277408794063e-10,-0.1629798228769369,8.399598162390149e-28,-0.1274987713574138,1.5582467597831036e-27,0.40249327524617096,-0.002660576168347676,185.63729238115522,0.008612030956607342,0.008388594407352512,5.844277408787364e-10,0.09280102885532869,0.1629798228769369,0.1274987713574138
MTF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,4439,-0.0777720452639115,2.1253492618013075e-07,-0.15340620492680648,8.778541422685891e-25,-0.11681894123233545,1.8560122469066326e-23,0.4858547566097351,-1.8790376277370015e-05,185.53126046739422,0.006048491024531644,0.005824476711036919,2.1253492618003046e-07,0.0777720452639115,0.15340620492680648,0.11681894123233545
MTF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,4439,0.07590728391482768,4.121325697917508e-07,0.5174224219053615,1.389060402670353e-302,0.38647964336507695,1.2465159429795598e-256,0.8952112223671171,1.712286312401036e-05,183.2792313110276,0.005761915751326341,0.00553783685021092,4.121325697911455e-07,0.07590728391482768,0.5174224219053615,0.38647964336507695
MTF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,1,4439,-0.06654112437770864,9.121011658956269e-06,-0.15191123842702528,2.4995484819577307e-24,-0.11879312185009798,4.114710948905403e-24,0.4026790191095799,-13.039623943237128,185.4008875691304,0.0044277212334497,0.004203341634899549,9.121011658950936e-06,0.06654112437770864,0.15191123842702528,0.11879312185009798
MTF FP Equity_DX_DEMAND_SUPPLY_RATIO,1,4439,0.0633114828781043,2.4297651898709698e-05,0.01907906231930573,0.2037585832839358,0.014616187476277069,0.2230800614241002,0.1783101443472923,1.1818943371379291,183.64034176355085,0.0040083438642243285,0.003783869747448043,2.4297651898684375e-05,0.0633114828781043,0.01907906231930573,0.014616187476277069
MTF FP Equity_DX_SHORT_INTEREST_VALUE,1,4439,-0.06087380523491234,4.941243920600705e-05,-0.15216373401738834,2.096184465051236e-24,-0.11463830538058424,1.1345629081440985e-22,0.49307777134091957,-1.0246444874979305e-05,185.16363993893466,0.0037056201637780672,0.0034810778198888226,4.941243920602336e-05,0.06087380523491234,0.15216373401738834,0.11463830538058424
MTF FP Equity_DX_SI_MV,1,4439,-0.06043538997902993,5.59892581843603e-05,-0.1480771748613321,3.4868578329492246e-23,-0.113422574070146,3.968884266385113e-22,0.41002725884104785,-10.17002638973464,185.15600315093084,0.003652436361917477,0.003427882031595497,5.598925818442429e-05,0.06043538997902993,0.1480771748613321,0.113422574070146
MTF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,1,4439,-0.046016061325526034,0.002164947415073541,-0.055270726963388576,0.00022938898701616126,-0.044325396573401364,0.000269411017870728,0.07054126158185903,-0.33064390404972693,184.6752263788347,0.002117477899914677,0.0018925776244806958,0.0021649474150729747,0.046016061325526034,0.055270726963388576,0.044325396573401364
MTF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,1,4439,0.04585278260996871,0.002245162783389144,0.5106732368825757,1.7182942979471153e-293,0.3751457444274928,1.9585776952405134e-240,0.7270513895218402,0.001865630615163398,183.72901203701437,0.002102477673077141,0.0018775740169294508,0.002245162783387635,0.04585278260996871,0.5106732368825757,0.3751457444274928
MTF FP Equity_DX_UTILIZATION_QUANTITY,1,4439,-0.029587755511741642,0.048702736817776544,-0.025852056316963995,0.08503018033369723,-0.021845220983789704,0.07095266164278864,0.11284275503476637,-0.09401270320308519,184.6144809746425,0.0008754352762225803,0.0006502550723180844,0.04870273681773775,0.029587755511741642,0.025852056316963995,0.021845220983789704
MTF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,4439,-0.029340126908355833,0.05062081861012455,-0.02546595500543269,0.08979361049016132,-0.02075052449382187,0.09040492721083924,0.08437083014434354,-0.0715678575708065,184.64793303725213,0.0008608430469981831,0.0006356595543334231,0.05062081861013911,0.029340126908355833,0.02546595500543269,0.02075052449382187
