feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
SESG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,4999,0.8114230796749872,0.0,0.8090369688234319,0.0,0.6430050788560541,0.0,1.6744517631396008,0.010880520779303057,5.722782862747612,0.6584074142292409,0.658339054696367,0.0,0.8114230796749872,0.8090369688234319,0.6430050788560541
SESG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,4999,0.737130206383589,0.0,0.7247796243506276,0.0,0.5528580459308575,0.0,1.7823450413898332,1.0857460926167383e-08,6.8684578652434585,0.5433609411631124,0.5432695585217602,0.0,0.737130206383589,0.7247796243506276,0.5528580459308575
SESG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,4999,0.31534642476652985,7.921339121817545e-116,0.45818713292684277,5.0250584571118e-258,0.29223652204622,1.269935715125468e-210,1.0978225595180398,2.1544504791933675e-08,12.995777040122446,0.09944336761303274,0.09926314815488047,7.921339121810752e-116,0.31534642476652985,0.45818713292684277,0.29223652204622
SESG FP Equity_DX_SI_MV,1,4999,0.2859564921263109,1.0671921273345162e-94,0.4542058321712024,4.8131231105707595e-253,0.29827684022402373,2.5386464940227957e-219,1.0767021558874457,0.01082949187069603,13.357250861980996,0.08177111538918491,0.08158735935864447,1.0671921273352292e-94,0.2859564921263109,0.4542058321712024,0.29827684022402373
SESG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,1,4999,-0.2672643204771288,1.618624890938067e-82,-0.31999395660343943,2.1321843103515498e-119,-0.19818587676298877,6.500827998455142e-98,0.6129114682235457,-0.2595591955263345,19.805935266696245,0.07143021700010144,0.07124439154823037,1.6186248909380735e-82,0.2672643204771288,0.31999395660343943,0.19818587676298877
SESG FP Equity_DX_SHORT_INTEREST_VALUE,1,4999,0.2602097663612207,3.633385325278995e-78,0.41048240554083704,1.6601829887212648e-202,0.27482296329993827,1.6414710303769602e-186,1.0753816479903366,1.0990508782101886e-08,13.539873800777238,0.06770912250976091,0.0675225523921924,3.6333853252774316e-78,0.2602097663612207,0.41048240554083704,0.27482296329993827
SESG FP Equity_DX_SUPPLY_SI_MV,1,4999,0.2424518221025336,8.522393124143842e-68,0.3474988713253123,7.396202476584375e-142,0.2234030483503337,6.356334339510434e-124,1.0522553008909759,0.01351121373627689,13.733342107975991,0.05878288604083837,0.05859452960418454,8.52239312413973e-68,0.2424518221025336,0.3474988713253123,0.2234030483503337
SESG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,1,4999,0.21182414572824182,8.156116946891824e-52,0.29979494777779014,2.4345873190929176e-104,0.1964352556610731,2.9132266741639452e-96,1.065712028766773,1.2787591711157382e-08,13.914129181914367,0.044869468713499505,0.044678327922767824,8.15611694689005e-52,0.21182414572824182,0.29979494777779014,0.1964352556610731
SESG FP Equity_DX_UTILIZATION_QUANTITY,1,4999,-0.19077014681893853,3.4955696981727925e-42,-0.09385055705007775,2.959108647404645e-11,-0.07433857955697905,3.3736894089901278e-15,0.9904309193586647,-0.1310819657529841,16.27547985968362,0.03639324891731943,0.03620041186487144,3.49556969817012e-42,0.19077014681893853,0.09385055705007775,0.07433857955697905
SESG FP Equity_DX_SUPPLY_SI_QTY,1,4999,-0.16592584438157137,3.441945895856743e-32,-0.01316935802392953,0.3518904875320762,-0.0125771326799647,0.18255517683381017,1.1076032680368542,-1.4849913014806936e-07,15.955965564145602,0.027531385833737043,0.02733677534461032,3.4419458958586423e-32,0.16592584438157137,0.01316935802392953,0.0125771326799647
SESG FP Equity_DX_BROKER_SI_CON_RATIO,1,4999,-0.158396982177569,1.8958806784945005e-29,-0.21318102014438858,1.7922374536917966e-52,-0.1263040106775122,7.432429112237682e-41,0.814312998381828,-6.197951255488814,16.888575074901237,0.025089603962961338,0.024894504824270802,1.8958806784938074e-29,0.158396982177569,0.21318102014438858,0.1263040106775122
SESG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,4999,-0.1577232214759463,3.2859962540166266e-29,-0.09475115016638062,1.9108337043768348e-11,-0.0746697610565132,2.5458901366414152e-15,0.989625521538839,-0.08673358065324085,15.91022438545036,0.024876614592750146,0.024681472830611506,3.285996254017008e-29,0.1577232214759463,0.09475115016638062,0.0746697610565132
SESG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,4999,-0.12814261393133303,9.424059931504768e-20,-0.12994878338696203,2.8438813516029635e-20,-0.07560850395279113,1.1227494506840444e-15,0.7815071154497,-0.04621972447200517,17.00510616233654,0.01642052950515427,0.01622369551065861,9.424059931505399e-20,0.12814261393133303,0.12994878338696203,0.07560850395279113
SESG FP Equity_DX_BROKER_SI_MV_INC_x,1,4999,0.11064432929261098,4.326302512806556e-15,0.163515554556197,2.683555669078439e-31,0.1112899381291895,7.586554297490566e-29,0.09145943854300098,0.04975101274470073,14.819347158785915,0.012242167604612053,0.012044497436031865,4.326302512807746e-15,0.11064432929261098,0.163515554556197,0.1112899381291895
SESG FP Equity_DX_BROKER_SI_MV_INC_y,1,4999,0.11064432929261098,4.326302512806556e-15,0.163515554556197,2.683555669078439e-31,0.1112899381291895,7.586554297490566e-29,0.09145943854300098,0.04975101274470073,14.819347158785915,0.012242167604612053,0.012044497436031865,4.326302512807746e-15,0.11064432929261098,0.163515554556197,0.1112899381291895
SESG FP Equity_DX_ACTIVE_UTILIZATION_MV,1,4999,-0.10654120247787222,4.270889397722757e-14,-0.09498962486329689,1.7007124086225642e-11,-0.07493499796583436,2.0300684525306285e-15,0.9660423620288263,-0.030715596563533988,15.335058318788098,0.01135102782543096,0.011153179321893969,4.270889397722106e-14,0.10654120247787222,0.09498962486329689,0.07493499796583436
SESG FP Equity_DX_DEMAND_SUPPLY_RATIO,1,4999,-0.10172458871584121,5.628005871505967e-13,-0.079065691292873,2.1734466487679922e-08,-0.07682843806366232,3.9151223117978124e-16,0.9898121807865117,-4.943989075873234,15.780991380788578,0.010347891949407217,0.01014984269824648,5.628005871505168e-13,0.10172458871584121,0.079065691292873,0.07682843806366232
SESG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,1,4999,0.08885305064224562,3.1116799374118717e-10,0.12809360776839646,9.733147323092327e-20,0.10571148136484901,3.9085298452257345e-29,1.3784033898557082,3.45559706168845e-08,13.075444072582094,0.007894864608433583,0.007696324457264647,3.1116799374123887e-10,0.08885305064224562,0.12809360776839646,0.10571148136484901
SESG FP Equity_DX_SUPPLY_SI_MV_DEC,1,4999,0.0844641363706153,2.216143938538894e-09,0.1520231533847803,3.128191661580004e-27,0.0994947116644228,4.94443503456441e-25,0.09393488647191095,0.03187681416148207,14.84964282248884,0.007134190332833357,0.006935497955473546,2.2161439385389095e-09,0.0844641363706153,0.1520231533847803,0.0994947116644228
SESG FP Equity_DX_SI_QTY,1,4999,-0.08264942070720228,4.8521532527993804e-09,0.020296407790058202,0.1513389245091244,0.018274805115060834,0.05276768681153559,1.0634348972562035,-5.6306674205878555e-08,15.540840348516326,0.006830926743235932,0.006632173676744735,4.852153252800142e-09,0.08264942070720228,0.020296407790058202,0.018274805115060834
SESG FP Equity_DX_BROKER_SI_MV_DEC,1,4999,0.08175189017226535,7.106063182771666e-09,0.16923193726421693,1.9555439853716146e-33,0.11417031283128977,2.299170159895348e-31,0.06290874662116241,0.03009867879232326,14.865065387238385,0.006683371546737704,0.006484588951489956,7.1060631827707364e-09,0.08175189017226535,0.16923193726421693,0.11417031283128977
SESG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,1,4999,-0.07841737099565284,2.8314050314031024e-08,0.06691113129260491,2.190745460748855e-06,0.05058555410270414,8.327916540006403e-08,0.9316287907399898,-0.038455935701341905,15.488463247064528,0.006149284073869832,0.005950394596998532,2.8314050314036374e-08,0.07841737099565284,0.06691113129260491,0.05058555410270414
SESG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,1,4999,0.06906559008786657,1.019679344001492e-06,0.060985954669901234,1.597003838624138e-05,0.07785533495979836,4.214565984274615e-13,0.6009878055222027,0.16911283669351787,14.8067021765407,0.004770055734185319,0.004570890246039294,1.0196793440000646e-06,0.06906559008786657,0.060985954669901234,0.07785533495979836
SESG FP Equity_DX_SUPPLY_SI_QTY_INC_y,1,4999,-0.060464745881268316,1.8864715220294062e-05,-0.07140993198960349,4.323569134920983e-07,-0.04831227591952404,1.0874106796509826e-06,0.10761172624557824,-9.190295730694332e-07,15.085410869134098,0.0036559854944868686,0.003456597058524191,1.8864715220293436e-05,0.060464745881268316,0.07140993198960349,0.04831227591952404
