feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
SRP FP Equity_DX_SHORT_INTEREST_VALUE,1,2566,0.6501300687190733,3.394676203342857e-308,0.758587303563335,0.0,0.5902131318197525,0.0,1.5668326640782704,1.089858380684296e-06,1.4471117099190642,0.42266910625266674,0.422443938197383,3.3946762033486344e-308,0.6501300687190733,0.758587303563335,0.5902131318197525
SRP FP Equity_DX_SI_MV,1,2566,0.6472596667146894,1.2958593080303081e-304,0.757863042608127,0.0,0.5892723876828808,0.0,1.5430238772040683,1.078618339781316,1.4615902042614455,0.41894507615561094,0.41871845567049226,1.295859308032279e-304,0.6472596667146894,0.757863042608127,0.5892723876828808
SRP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,2566,0.6348798289754811,1.3368024473490576e-289,0.7592908385020689,0.0,0.5815128290781243,0.0,1.6663802695300465,1.1515426299611919e-06,1.7196494495008956,0.40307239723993615,0.40283958616241666,1.336802447347279e-289,0.6348798289754811,0.7592908385020689,0.5815128290781243
SRP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,2566,0.44833247023114725,4.062029250657234e-127,0.6102384918281849,1.1198143851299772e-261,0.47175457731403475,5.73738885229978e-224,0.7242665792445244,1.6044533394084872e-06,4.3400942467832415,0.20100200386356226,0.20069038218020174,4.062029250650007e-127,0.44833247023114725,0.6102384918281849,0.47175457731403475
SRP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,2566,0.44614468268223917,9.393689742692185e-126,0.6102878797608924,9.899957954126215e-262,0.4716457382569583,1.115124000657259e-223,0.7087280162748666,1.5928358497695116,4.347334491922712,0.19904507788563586,0.1987326929706147,9.393689742708594e-126,0.44614468268223917,0.6102878797608924,0.4716457382569583
SRP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,1,2566,0.4175648394708049,7.968199544752804e-109,0.6803211550615228,0.0,0.5117547445897256,0.0,1.597655794522629,1.1012548212627897e-06,3.4788230639772544,0.17436039516227908,0.17403838283589934,7.968199544747861e-109,0.4175648394708049,0.6803211550615228,0.5117547445897256
SRP FP Equity_DX_ACTIVE_UTILIZATION_MV,1,2566,-0.41229391781062746,7.058795224416987e-106,-0.552955458550044,1.8617593678504917e-205,-0.4121533336083835,3.569822213696225e-173,0.8010961740582307,-0.1033295584892082,14.230726784184537,0.1699862746636367,0.16966255636202343,7.058795224415224e-106,0.41229391781062746,0.552955458550044,0.4121533336083835
SRP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,2566,-0.41218920876856047,8.067654822824642e-106,-0.5528191711658547,2.4596756065102143e-205,-0.41197820640257427,5.25562118484949e-173,0.806648597505017,-0.10324532295060516,14.224276457259236,0.16989994382525142,0.16957619185326445,8.067654822831098e-106,0.41218920876856047,0.5528191711658547,0.41197820640257427
SRP FP Equity_DX_SUPPLY_SI_MV,1,2566,0.4120926457851108,9.12498488964503e-106,0.680646650344109,0.0,0.5108514955708803,0.0,1.5479414697046545,1.078270884345567,3.507268436925342,0.16982034871017282,0.16949656569484917,9.12498488964037e-106,0.4120926457851108,0.680646650344109,0.5108514955708803
SRP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,2566,-0.30926544097082637,5.3948353813097436e-58,-0.4227607702348944,8.786730441105195e-112,-0.29280043024303815,2.371361095484114e-109,1.0634397257982728,-0.11318631454879519,11.121734776917737,0.09564511297887968,0.09529240046444087,5.394835381313726e-58,0.30926544097082637,0.4227607702348944,0.29280043024303815
