feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
SW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,4999,0.7789272957489979,0.0,0.8309289227268519,0.0,0.6798948420293384,0.0,1.421650850500626,3.763492231008214e-08,27.143440249185876,0.6067277320628468,0.6066490303882546,0.0,0.7789272957489979,0.8309289227268519,0.6798948420293384
SW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,4999,0.7377453096611394,0.0,0.7885115268679558,0.0,0.6251341699316993,0.0,1.2811975035223941,0.036987979150613165,25.014759239634838,0.5442681419270105,0.5441769408347406,0.0,0.7377453096611394,0.7885115268679558,0.6251341699316993
SW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,4999,0.26114236984035255,9.833727559850648e-79,0.17708683823909666,1.6934436018855352e-36,0.11830231540295973,4.589952397448181e-36,0.6037437069732094,2.8570822723187335e-08,65.44202458577678,0.0681953373258356,0.06800886450961108,9.833727559853422e-79,0.26114236984035255,0.17708683823909666,0.11830231540295973
SW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,1,4999,0.26031551452384744,3.1337781016211256e-78,0.1456824094854198,4.056928527990171e-25,0.09949464624385497,5.344386330260747e-26,0.6201866395889084,3.24671917284363e-08,65.2450036571827,0.06776416710181565,0.06757760799977486,3.133778101622059e-78,0.26031551452384744,0.1456824094854198,0.09949464624385497
SW FP Equity_DX_SHORT_INTEREST_VALUE,1,4999,0.2334823439117352,7.195877237078201e-63,0.1144219294430569,4.870559240427578e-16,0.07480744373848178,2.2147816325950733e-15,0.5610642187431862,1.969302382829762e-08,65.8129632262062,0.05451400491851777,0.05432479419306624,7.195877237082867e-63,0.2334823439117352,0.1144219294430569,0.07480744373848178
SW FP Equity_DX_SUPPLY_SI_MV,1,4999,0.21323709929111367,1.6830568362646088e-52,0.05780903721479912,4.319212343490802e-05,0.03894370622121053,3.6673955898100745e-05,0.611168647133848,0.026256784218723846,65.99153979675091,0.045470060514088084,0.045279039913830754,1.68305683626412e-52,0.21323709929111367,0.05780903721479912,0.03894370622121053
SW FP Equity_DX_BROKER_SI_CON_RATIO,1,4999,0.20602565741304085,4.7043387161366665e-49,0.2679537014797791,5.981185000087069e-83,0.18282948562306142,1.2924486207851407e-83,0.38415056937725023,45.28943617507004,61.313737568546564,0.04244657151247544,0.04225494585138134,4.704338716135297e-49,0.20602565741304085,0.2679537014797791,0.18282948562306142
SW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,4999,0.19236940025100663,7.075040099172453e-43,0.2208657190009141,2.7533938394582243e-56,0.1480879086894916,1.671401014500955e-55,0.3737996006144684,0.3258870587335424,59.65090706527633,0.037005986152931936,0.036813271721503726,7.075040099169519e-43,0.19236940025100663,0.2208657190009141,0.1480879086894916
SW FP Equity_DX_DSS,1,4999,-0.1842161981161875,2.1012380750253628e-39,-0.22717677863962804,1.5753102258886128e-59,-0.18163387411330284,1.8934549104092963e-60,0.19369851476410394,-6.415294680684751,76.19613706152549,0.03393560764838255,0.03374227877258684,2.1012380750305067e-39,0.1842161981161875,0.22717677863962804,0.18163387411330284
SW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,1,4999,0.18305318823974495,6.380428940252469e-39,0.19675494174809782,8.231074768644304e-45,0.13162629164321726,3.277911937033275e-44,0.2535599619279276,0.7512129472434523,57.39784729524206,0.03350846972473587,0.03331505537006807,6.380428940252665e-39,0.18305318823974495,0.19675494174809782,0.13162629164321726
