feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
URW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,4745,0.6447743310164052,0.0,0.5919751875148568,0.0,0.45897933302263677,0.0,1.5980228929882276,0.017747019358614797,89.88280949317956,0.4157339379376527,0.41561075302049855,0.0,0.6447743310164052,0.5919751875148568,0.45897933302263677
URW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,4745,0.6231273231001129,0.0,0.565120642281223,0.0,0.4248418778473661,0.0,1.5987417576644245,1.8257924120257638e-08,92.22338166292177,0.3882876607939123,0.3881586891853932,0.0,0.6231273231001129,0.565120642281223,0.4248418778473661
URW FP Equity_DX_SUPPLY_SI_QTY,1,4745,-0.5711094155783877,0.0,-0.51068982588185,0.0,-0.34242345358393006,7.48794906132966e-270,1.0425260161814869,-7.045371200743255e-06,162.35204246503383,0.3261659645622871,0.326023895400272,0.0,0.5711094155783877,0.51068982588185,0.34242345358393006
URW FP Equity_DX_UTILIZATION_QUANTITY,1,4745,-0.5404093901495031,0.0,-0.5228898013161655,0.0,-0.35840216594757013,2.574906214002944e-295,1.0317911627022376,-1.9526696407884767,165.18186867879,0.29204230896175787,0.29189304526978277,0.0,0.5404093901495031,0.5228898013161655,0.35840216594757013
URW FP Equity_DX_BROKER_SI_QTY,1,4745,-0.5299098805038853,0.0,-0.44256584110213454,8.049868292263281e-227,-0.2918309386746494,3.4972937961834052e-196,1.0505184569877786,-7.4732762931658494e-06,163.37822322813508,0.28080448145564174,0.2806528484135704,0.0,0.5299098805038853,0.44256584110213454,0.2918309386746494
URW FP Equity_DX_SI_QTY,1,4745,-0.5082354532132287,3.9753737176662e-310,-0.44870783905715894,7.320405118840004e-234,-0.29439359661576503,2.1840218058326637e-200,1.017826919820291,-4.8958456227308305e-06,161.3696900605448,0.25830327590285573,0.2581468987735922,3.97537371767065e-310,0.5082354532132287,0.44870783905715894,0.29439359661576503
URW FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,1,4745,-0.4901537372564185,2.4150436617936258e-285,-0.42841528762467357,3.8520804956059785e-211,-0.27988795212801837,1.1683299898908902e-180,0.9682125793883376,-5.327373142565356,161.61938944669674,0.24025068614643408,0.24009050286288924,2.415043661790205e-285,0.4901537372564185,0.42841528762467357,0.27988795212801837
URW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,1,4745,-0.45502021551139843,2.988889773772423e-241,-0.5099748672154917,0.0,-0.3478453001134875,2.659234382181362e-278,1.0546417424989842,-1.3266266866703815,158.98155638874474,0.20704339652403936,0.2068762119144092,2.9888897737722633e-241,0.45502021551139843,0.5099748672154917,0.3478453001134875
URW FP Equity_DX_ACTIVE_UTILIZATION_MV,1,4745,-0.4500019538567775,2.3034614843171962e-235,-0.506970309437971,2.412259768249282e-308,-0.3450454820899151,7.063644476029004e-274,1.0475660847180461,-1.3167495743465398,158.7418017477253,0.20250175847491714,0.20233361631984126,2.303461484318178e-235,0.4500019538567775,0.506970309437971,0.3450454820899151
URW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,1,4745,-0.427839704581836,1.6135930971064848e-210,-0.39658935761010816,1.6565231930743657e-178,-0.2576646252617016,2.0914346445638784e-153,0.9581559205372123,-5.1911258633158175,158.23281421629878,0.18304681281667234,0.18287456883877162,1.613593097107353e-210,0.427839704581836,0.39658935761010816,0.2576646252617016
URW FP Equity_DX_DSS,1,4745,-0.4157286146313791,1.0478583972923884e-197,-0.456638483441382,3.5973848305840665e-243,-0.35637261918527696,8.563517611233112e-234,0.31021654537619003,-22.909093872493322,166.5353553417768,0.17283028102332543,0.1726558830222762,1.0478583972920654e-197,0.4157286146313791,0.456638483441382,0.35637261918527696
URW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,1,4745,-0.303398522803076,1.3307615480960233e-101,-0.346767179197741,3.7511256826296653e-134,-0.2173387842680521,6.324976828889896e-110,0.9121624589175905,-5.6790930251168615e-08,153.56856614227522,0.09205066363908843,0.09185923430399234,1.330761548099521e-101,0.303398522803076,0.346767179197741,0.2173387842680521
URW FP Equity_DX_SUPPLY_SI_MV,1,4745,-0.2738318099239694,2.2303582639196265e-82,-0.3346172368004739,1.7229608318852297e-124,-0.20968872680403025,1.8431315689874975e-102,0.8885309185747028,-0.04757117039589211,152.11534318691847,0.07498386012623648,0.07478883247709589,2.23035826391765e-82,0.2738318099239694,0.3346172368004739,0.20968872680403025
URW FP Equity_DX_DEMAND_SUPPLY_RATIO,1,4745,-0.2297479475254542,7.075312126206365e-58,-0.44485768829301225,1.9739130401936387e-229,-0.29991444322536737,1.8935242576940843e-207,0.944648593308103,-34.853432655901145,146.00550529314782,0.052784119392158546,0.05258441121577073,7.0753121262034e-58,0.2297479475254542,0.44485768829301225,0.29991444322536737
URW FP Equity_DX_SUPPLY_SI_QTY_INC_x,1,4745,-0.20994213866962777,2.0613924200027073e-48,-0.470674453057756,2.9180582787466676e-260,-0.331513117188355,5.024548192714681e-252,0.2007401355998879,-7.433569112550719e-05,144.03907612811477,0.044075701589177174,0.04387415735590483,2.0613924200028167e-48,0.20994213866962777,0.470674453057756,0.331513117188355
URW FP Equity_DX_SUPPLY_SI_QTY_INC_y,1,4745,-0.20994213866962777,2.0613924200027073e-48,-0.470674453057756,2.9180582787466676e-260,-0.331513117188355,5.024548192714681e-252,0.2007401355998879,-7.433569112550719e-05,144.03907612811477,0.044075701589177174,0.04387415735590483,2.0613924200028167e-48,0.20994213866962777,0.470674453057756,0.331513117188355
URW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,1,4745,0.19337009167931818,3.3542434354915095e-41,0.18659346900087465,1.9596572996015264e-38,0.11715795015392065,1.1396712738775909e-33,0.5782284076896413,0.663455817814899,112.47257865866513,0.037391992356067716,0.03718903894943826,3.3542434354927997e-41,0.19337009167931818,0.18659346900087465,0.11715795015392065
URW FP Equity_DX_SUPPLY_SI_QTY_DEC,1,4745,-0.1799272933656961,8.159910277228981e-36,-0.43139297474926513,2.228372942099093e-214,-0.3008882211896335,3.979872208084599e-211,0.16610933908208647,-3.6699553978575234e-05,143.65594627758352,0.03237383089790502,0.032169819477052886,8.159910277231689e-36,0.1799272933656961,0.43139297474926513,0.3008882211896335
URW FP Equity_DX_BROKER_SI_CON_RATIO,1,4745,0.17004632862959387,4.074374552276114e-32,0.1841160495468421,1.8943539414406576e-37,0.11817421582773656,8.860594295005867e-34,0.7502040048620602,55.98544561989193,124.95976861108473,0.02891575388040335,0.028711013368887595,4.0743745522788824e-32,0.17004632862959387,0.1841160495468421,0.11817421582773656
URW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,1,4745,0.14938485183048336,4.381261401414182e-25,0.24784526805208434,2.3769231149174818e-67,0.15175894375009827,2.5657710812671196e-55,1.2576608585493,8.018630372316309e-07,123.12813445002827,0.022315833956415343,0.022109701937430892,4.381261401416961e-25,0.14938485183048336,0.24784526805208434,0.15175894375009827
URW FP Equity_DX_SHORT_INTEREST_VALUE,1,4745,-0.11861590020886402,2.453678804277062e-16,-0.24400335030053794,2.84603631509185e-65,-0.14878148082477463,1.330055393100547e-52,0.9127173616771063,-1.4276066811411127e-08,143.98590691132048,0.014069731782358708,0.013861861179740642,2.4536788042786742e-16,0.11861590020886402,0.24400335030053794,0.14878148082477463
URW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,4745,-0.10855367146118867,6.489691445272556e-14,-0.23642017023379264,2.8174641794779573e-61,-0.14710277613241693,2.8735645017251986e-51,0.9286798711906172,-1.859813024448755e-08,143.58807977297087,0.011783899587703206,0.011575547047030232,6.489691445269313e-14,0.10855367146118867,0.23642017023379264,0.14710277613241693
URW FP Equity_DX_BROKER_SI_MV_DEC,1,4745,0.10058802073002197,3.792797913011196e-12,-0.115863729697252,1.1847539442056737e-15,-0.07958203001087671,5.477782431674856e-16,0.06800997993003666,0.10174960076122236,136.07241698535384,0.010117949914382862,0.009909246129840343,3.792797913011933e-12,0.10058802073002197,0.115863729697252,0.07958203001087671
URW FP Equity_DX_SI_MV,1,4745,-0.09231396890808487,1.879423765940119e-10,-0.21997734726391158,4.317245613764853e-53,-0.1338721379615106,6.332052526388529e-43,0.8855003980139751,-0.009931447518579838,142.6320422238684,0.008521868855562276,0.00831282855804083,1.8794237659410797e-10,0.09231396890808487,0.21997734726391158,0.1338721379615106
URW FP Equity_DX_BROKER_SI_MV_ADD,1,4745,0.09198669973271913,2.178470766121395e-10,0.0718171386159114,7.340149674781472e-07,0.05592041936073458,6.56522085934286e-07,0.003004020524284945,0.25943921839998707,137.3004744321798,0.008461552927716998,0.008252499913364852,2.178470766121563e-10,0.09198669973271913,0.0718171386159114,0.05592041936073458
