feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
VIL FP Equity_DX_DSS,1,4999,-0.18345949354971766,4.3320801271145834e-39,-0.19948288809610093,4.883494803799167e-46,-0.1631984058252365,3.6525977668359476e-45,0.12217333966385047,-1.8223950250537089,4.821195984286325,0.03365738577351873,0.03346400121994131,4.3320801271123237e-39,0.18345949354971766,0.19948288809610093,0.1631984058252365
VIL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,1,4999,-0.1754187879458063,7.785966917808927e-36,-0.052875074281453896,0.0001839178816456533,-0.04381544029628805,2.070297618134711e-05,0.8066261536563224,-0.5446668729082477,4.841409803164323,0.030771751164375694,0.030577789137392397,7.785966917804817e-36,0.1754187879458063,0.052875074281453896,0.04381544029628805
VIL FP Equity_DX_SI_QTY,1,4999,-0.17512830237692664,1.0139538970374296e-35,-0.13573920109527304,5.445520291580279e-22,-0.08209172162257328,1.8895821140170727e-17,1.3107635545994358,-6.838215416899903e-07,4.8384345088325125,0.030669922293424356,0.030475939888440107,1.0139538970386027e-35,0.17512830237692664,0.13573920109527304,0.08209172162257328
VIL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,4999,0.17402859437451285,2.7444627264733004e-35,0.3061753845228522,5.726344104534762e-109,0.26392733448248606,1.547436107144809e-154,1.285480105422236,3.45705043540141e-07,4.209023732864025,0.030285951659969057,0.030091892414753962,2.744462726469459e-35,0.17402859437451285,0.3061753845228522,0.26392733448248606
VIL FP Equity_DX_BROKER_SI_QTY,1,4999,-0.17273785226692562,8.757301827060118e-35,-0.14666936088547017,1.9292767409991393e-25,-0.09524753375400985,2.0928633813992524e-22,1.121902057665606,-6.749046898956838e-07,4.81953254601435,0.029838365605790673,0.029644216789622146,8.757301827079449e-35,0.17273785226692562,0.14666936088547017,0.09524753375400985
VIL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,1,4999,-0.16973840224290485,1.2537020044581483e-33,-0.06072741393441147,1.7348546546744295e-05,-0.04368951071165227,1.1304629894364885e-05,1.0632063406722891,-0.17980528264877946,4.848528839216123,0.028811125195974285,0.028616770808380987,1.2537020044568555e-33,0.16973840224290485,0.06072741393441147,0.04368951071165227
VIL FP Equity_DX_DEMAND_SUPPLY_RATIO,1,4999,-0.1661044228668367,2.9524429176231115e-32,-0.11198840221260369,2.0056781324317918e-15,-0.06855129733805133,1.3069221992706597e-12,1.2206503805440447,-0.2436179311914437,4.811648072507848,0.027590679295924847,0.027396080672610124,2.952442917615873e-32,0.1661044228668367,0.11198840221260369,0.06855129733805133
VIL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,4999,-0.1583762905633425,1.928244578790602e-29,-0.051961425582909955,0.00023745440325228557,-0.026480595081021647,0.006527384144998228,1.3335740529219695,-2.0983366971469965e-07,4.806104155655816,0.02508304941260453,0.02488794896221691,1.9282445787933008e-29,0.1583762905633425,0.051961425582909955,0.026480595081021647
VIL FP Equity_DX_SI_MV,1,4999,-0.15726945688739064,4.752671213224139e-29,0.015610369963588175,0.2698097980803626,0.012736375699530449,0.20072855973358006,1.0559799531838978,-0.19116736647444796,4.8300020193497195,0.024733682069655094,0.024538511703849575,4.7526712132148017e-29,0.15726945688739064,0.015610369963588175,0.012736375699530449
VIL FP Equity_DX_SHORT_INTEREST_VALUE,1,4999,-0.156659328545439,7.79261400238813e-29,-0.022575385588958004,0.11049651928396968,-0.0017428687101188724,0.8563072241141045,1.4484527205182092,-2.075567850674349e-07,4.82083231704737,0.024542145220307954,0.024346936524134333,7.792614002405962e-29,0.156659328545439,0.022575385588958004,0.0017428687101188724
