feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
VIRI FP Equity_DX_SHORT_INTEREST_VALUE,1,4999,0.5900072253841842,0.0,0.5566189536745015,0.0,0.39211813078091867,0.0,1.289770951698908,2.784405915940161e-07,4.018459335306016,0.34810852600554365,0.34797806943680354,0.0,0.5900072253841842,0.5566189536745015,0.39211813078091867
VIRI FP Equity_DX_SI_MV,1,4999,0.5827424198326326,0.0,0.5552205374112053,0.0,0.389903916248052,0.0,1.3123249016364902,0.2751444624912937,3.7894582704507207,0.339588727872392,0.3394565663210357,0.0,0.5827424198326326,0.5552205374112053,0.389903916248052
VIRI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,1,4999,0.5471579198796872,0.0,0.5491884443155124,0.0,0.37894736588636263,0.0,1.1701123502194344,3.1167637465925106e-07,7.889211377806204,0.29938178928706616,0.2992415815202635,0.0,0.5471579198796872,0.5491884443155124,0.37894736588636263
VIRI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,1,4999,0.4474572344011744,9.464640290123899e-245,0.5132665155750687,0.0,0.353210529941927,9.532259592293661e-307,1.213349046495889,4.2856284933325403e-07,6.158783307931628,0.20021797661794727,0.20005792418180923,9.464640290145838e-245,0.4474572344011744,0.5132665155750687,0.353210529941927
VIRI FP Equity_DX_SUPPLY_SI_MV,1,4999,0.44233494091650466,1.4034396695980918e-238,0.511631224715909,0.0,0.3516246595406711,5.613460535727652e-304,1.2175139137288697,0.4244592480289831,6.331069813279019,0.19566019995560768,0.19549923541687564,1.4034396695977617e-238,0.44233494091650466,0.511631224715909,0.3516246595406711
VIRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,1,4999,-0.3670765498144288,2.764306548142731e-159,-0.46439794015438973,6.265788342487111e-266,-0.2771226426358063,1.610324081107086e-187,1.6938016756569083,-3.33940084155213e-07,41.37413278655011,0.13474519342366487,0.1345720385694371,2.764306548145862e-159,0.3670765498144288,0.46439794015438973,0.2771226426358063
VIRI FP Equity_DX_SI_QTY,1,4999,-0.34962740873986436,1.080369257509382e-143,-0.6995929724099634,0.0,-0.5191228078713148,0.0,1.3155176739314225,-1.215974520827116e-06,40.66195674153221,0.1222393249421524,0.1220636674126232,1.080369257507443e-143,0.34962740873986436,0.6995929724099634,0.5191228078713148
VIRI FP Equity_DX_SUPPLY_SI_QTY,1,4999,-0.33941293417296076,5.155726638751121e-135,-0.7067456083165288,0.0,-0.5265650809741997,0.0,1.3836854939499572,-1.5951012665611745e-06,39.20112120431541,0.11520113988389835,0.1150240738722682,5.155726638750401e-135,0.33941293417296076,0.7067456083165288,0.5265650809741997
VIRI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,1,4999,0.33613640936602135,2.676684017801922e-132,0.47812028857217287,5.524497512740064e-284,0.3673291942879129,0.0,1.662890848434385,5.634921446572734e-08,11.651015523702352,0.11298768570148132,0.11281017673324067,2.6766840178022934e-132,0.33613640936602135,0.47812028857217287,0.3673291942879129
VIRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,1,4999,0.32542151185900525,1.19829570799585e-123,0.43531497782010137,2.7162675975844043e-230,0.35022578966959234,4.24380679773881e-298,1.6686753735426114,0.053506143983106935,12.323650519931624,0.10589916038060077,0.10572023285616228,1.1982957079968415e-123,0.32542151185900525,0.43531497782010137,0.35022578966959234
