feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALBFR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,4333,0.7582275232842844,0.0,0.650186470718583,0.0,0.5052478539175851,0.0,0.4904161944873173,1.2755643862259844,48.9110541055832,0.57490897706582,0.5748108262870313,0.0,0.7582275232842844,0.650186470718583,0.5052478539175851
ALBFR FP Equity_DX_BROKER_SI_CON_RATIO,10,4333,0.7430000756037808,0.0,0.6490503127188114,0.0,0.5043911087101706,0.0,0.48619349781301024,128.25216629502867,49.77815430638382,0.552049112347224,0.5519456833729334,0.0,0.7430000756037808,0.6490503127188114,0.5043911087101706
ALBFR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,4333,0.7357892506109921,0.0,0.6183167592593752,0.0,0.5045441065111221,0.0,0.36601929948555934,1.237516733739702,52.261436898346425,0.5413858213146852,0.5412799302551873,0.0,0.7357892506109921,0.6183167592593752,0.5045441065111221
ALBFR FP Equity_DX_ACTIVE_UTILIZATION_MV,10,4333,0.735729114496341,0.0,0.6183166276174752,0.0,0.5045386079056314,0.0,0.36626864429581385,1.2374795277905042,52.265149293312035,0.5412973299175705,0.5411914184259792,0.0,0.735729114496341,0.6183166276174752,0.5045386079056314
ALBFR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,10,4333,0.4240119475650306,1.1612866173892152e-188,0.4010192070823495,3.910539326974912e-167,0.3201538866198191,4.3099472213404985e-153,0.21179156640358587,3.4935995242895164,67.4538585609837,0.17978613167789015,0.17959674957945515,1.1612866173911846e-188,0.4240119475650306,0.4010192070823495,0.3201538866198191
ALBFR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,4333,0.3285929496926231,1.286331476642838e-109,0.17064648334546076,1.1351084122125839e-29,0.1337142308377457,1.1581676384099285e-28,0.3971973637806707,12.079197483666839,68.778598166375,0.10797332658769887,0.10776736337518167,1.2863314766415863e-109,0.3285929496926231,0.17064648334546076,0.1337142308377457
ALBFR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,4333,0.32411290655192254,1.5602066466298494e-106,0.1717276644884371,4.93964350983454e-30,0.13608454924351032,1.1022917472391251e-29,0.40640997304276527,1.0767467343863936e-05,69.08615640522005,0.10504917619353538,0.10484253781352926,1.560206646628896e-106,0.32411290655192254,0.1717276644884371,0.13608454924351032
ALBFR FP Equity_DX_SI_MV,10,4333,0.30751654215279767,1.4714837033130823e-95,0.6066520825413574,0.0,0.4755513037267418,0.0,0.45816494457660273,149.66923515997436,70.40654591975543,0.09456642369761348,0.09435736491758528,1.4714837033142315e-95,0.30751654215279767,0.6066520825413574,0.4755513037267418
ALBFR FP Equity_DX_SHORT_INTEREST_VALUE,10,4333,0.3058712747685229,1.6509065786217627e-94,0.6506104399282185,0.0,0.5041137484434455,0.0,0.5611424442596038,0.00014726392514196376,70.4573796088157,0.09355723672852145,0.09334794493372311,1.650906578624139e-94,0.3058712747685229,0.6506104399282185,0.5041137484434455
ALBFR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,4333,0.29856023445512764,6.33754914947918e-90,0.615432967392258,0.0,0.4832347506810563,0.0,0.4905978673723399,0.00022430398445577774,70.90965556606459,0.08913821359790042,0.08892790147912832,6.337549149495195e-90,0.29856023445512764,0.615432967392258,0.4832347506810563
