feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALCAT FP Equity_DX_SUPPLY_SI_MV,10,4964,0.45422905113378426,2.5783091242412666e-251,0.5505425240196697,0.0,0.4380398143879598,0.0,0.6378652724116178,2.8104933104481447,2.43632158211589,0.20632403089389795,0.20616408007384435,2.5783091242422807e-251,0.45422905113378426,0.5505425240196697,0.4380398143879598
ALCAT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,4964,0.453780171573619,9.224784846547152e-251,0.5606871253992917,0.0,0.4445397074490576,0.0,0.7750070422315893,2.8004489098604683e-06,2.4370365439613573,0.20591644411338283,0.20575641115169674,9.224784846548231e-251,0.453780171573619,0.5606871253992917,0.4445397074490576
ALCAT FP Equity_DX_SHORT_INTEREST_VALUE,10,4964,0.4476941871913843,2.452444565968463e-243,0.5237775312268294,0.0,0.40642975542394527,0.0,1.0650827904894147,2.2710506403639453e-06,2.3391755025691983,0.20043008524495443,0.20026894660836536,2.452444565968732e-243,0.4476941871913843,0.5237775312268294,0.40642975542394527
ALCAT FP Equity_DX_SI_MV,10,4964,0.44483569654782995,6.682941021757711e-240,0.514521446360115,0.0,0.4041197526835815,0.0,0.9426862775296483,2.2247008241239996,2.3462586138400736,0.19787879692319277,0.19771714412128294,6.682941021750922e-240,0.44483569654782995,0.514521446360115,0.4041197526835815
ALCAT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,4964,0.4274862703156743,9.607118266184166e-220,0.504707309042699,0.0,0.389515774718481,0.0,1.0236853602877898,2.5480393497102984e-06,2.377352590473057,0.1827445113084054,0.18257980846908828,9.607118266196405e-220,0.4274862703156743,0.504707309042699,0.389515774718481
ALCAT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,4964,0.40557649411657654,6.377733636867289e-196,0.478256178608464,3.425669378830323e-282,0.3845354915789744,7.703758840262833e-245,0.32558417474026236,0.018065847743385436,2.0776671433068032,0.1644922925798934,0.16432391134099378,6.377733636928111e-196,0.40557649411657654,0.478256178608464,0.3845354915789744
ALCAT FP Equity_DX_ACTIVE_UTILIZATION_MV,10,4964,0.4055723417518358,6.441907320467337e-196,0.4782574035130826,3.4127739810058318e-282,0.3845312078531358,7.752486496065919e-245,0.3256095903724425,0.018065634697369035,2.077678971621642,0.16448892439406837,0.16432054247637273,6.441907320449717e-196,0.4055723417518358,0.4782574035130826,0.3845312078531358
ALCAT FP Equity_DX_SUPPLY_SI_QTY,10,4964,0.3957382602188972,8.597264841156688e-186,0.5344105157977543,0.0,0.40970254504648923,0.0,0.7961777918395372,1.255777323493842e-05,2.4722387717814156,0.15660877060107947,0.1564388005830628,8.597264841150723e-186,0.3957382602188972,0.5344105157977543,0.40970254504648923
ALCAT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,4964,0.3224929013293449,1.6556981543497897e-120,0.45962900908647664,4.851565941225567e-258,0.343993972193274,8.444734362630963e-263,0.8176235534552756,0.4151200667820714,2.5049311692691756,0.10400167140781824,0.10382109939480089,1.6556981543539712e-120,0.3224929013293449,0.45962900908647664,0.343993972193274
ALCAT FP Equity_DX_SUPPLY_SI_MV_DEC,10,4964,0.2866352780040338,1.663114888504159e-94,0.37683960031113783,2.8132929273527526e-167,0.3005292437880615,1.357210638271956e-156,0.12865740757679367,20.937247789090595,2.685871352362717,0.08215978259644963,0.08197480875174923,1.663114888499349e-94,0.2866352780040338,0.37683960031113783,0.3005292437880615
ALCAT FP Equity_DX_SI_QTY,10,4964,0.2865057375798421,2.0336340343544472e-94,0.4003700112691623,1.6148815222549715e-190,0.2964330601671932,4.2142944268065515e-197,1.1392799416551878,7.121066221059715e-06,2.4337893001800297,0.08208553766616888,0.08190054885876585,2.0336340343540464e-94,0.2865057375798421,0.4003700112691623,0.2964330601671932
