feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALCRB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,3010,0.7005476275898903,0.0,0.6481371243726433,0.0,0.4662268682099019,1.0553595191899088e-270,0.7842562312959123,0.3282896485906285,10.5131441229619,0.4907669785218237,0.49059768562904504,0.0,0.7005476275898903,0.6481371243726433,0.4662268682099019
ALCRB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,10,3010,0.6766453750261948,0.0,0.604119988761603,6.211972925651205e-299,0.4355261690090873,3.867173816856085e-235,0.7135356605763321,0.6228375279203123,10.933388488563336,0.4578489635443397,0.45766872716253926,0.0,0.6766453750261948,0.604119988761603,0.4355261690090873
ALCRB FP Equity_DX_BROKER_SI_CON_RATIO,10,3010,0.6619090778223022,0.0,0.6615271141796771,0.0,0.47652801198919004,1.0754555882043545e-282,0.8011503157403137,39.11740698953713,11.375885821092767,0.43812362730357035,0.43793683329668986,0.0,0.6619090778223022,0.6615271141796771,0.47652801198919004
ALCRB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,3010,0.6411075049515251,0.0,0.5536559840112304,2.0900935870395772e-241,0.44548673100921293,2.38774862529658e-230,0.706179488980532,0.18582619481579274,11.356018283871695,0.4110188329051695,0.410823027995896,0.0,0.6411075049515251,0.5536559840112304,0.44548673100921293
ALCRB FP Equity_DX_ACTIVE_UTILIZATION_MV,10,3010,0.6399949002297146,0.0,0.5536624489174758,2.0578693835955065e-241,0.44535102655473413,3.244228131171986e-230,0.6997664485691379,0.18570498105707717,11.372206120655711,0.4095934723200423,0.40939719355419124,0.0,0.6399949002297146,0.5536624489174758,0.44535102655473413
ALCRB FP Equity_DX_SHORT_INTEREST_VALUE,10,3010,0.5075033928619956,8.548091152736679e-197,0.518281993023509,1.3254747995923035e-206,0.37115496228508427,1.2014710427977862e-172,0.7235389293543872,3.4052041196056606e-06,12.954620749136067,0.2575596937664374,0.2573128718561204,8.548091152688271e-197,0.5075033928619956,0.518281993023509,0.37115496228508427
ALCRB FP Equity_DX_SI_MV,10,3010,0.47219568127510253,5.100513299120438e-167,0.4952331639598223,4.76774448875624e-186,0.3572216204463123,5.6696745902954665e-160,0.7704391373902881,3.0620131640934165,13.28067409496374,0.22296876141485844,0.2227104398594777,5.100513299156085e-167,0.47219568127510253,0.4952331639598223,0.3572216204463123
ALCRB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,3010,0.4608435139860739,3.645426937531872e-158,0.4854811486135272,8.163081821622613e-178,0.3493929975306397,5.538195780393684e-153,0.7217326899051626,4.6036475948801756e-06,13.325376679783664,0.21237674438303278,0.21211490154539414,3.64542693752798e-158,0.4608435139860739,0.4854811486135272,0.3493929975306397
ALCRB FP Equity_DX_DEMAND_SUPPLY_RATIO,10,3010,0.37855731902881046,3.580448859067281e-103,0.4943241118823448,2.8651768845838237e-185,0.39469030106156044,6.137229940824083e-195,0.8925466641432793,20.53045825904501,14.744311980482816,0.14330564379028043,0.14302083848568947,3.580448859066494e-103,0.37855731902881046,0.4943241118823448,0.39469030106156044
ALCRB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,3010,0.36326836117042405,1.4535285674499703e-94,0.4741355086895086,1.44841239154225e-168,0.33245440415235405,1.6746550164498854e-138,0.7375053896573647,3.5728578482955752e-06,14.485998205048608,0.13196390222744547,0.13167532639706891,1.4535285674531726e-94,0.36326836117042405,0.4741355086895086,0.33245440415235405
ALCRB FP Equity_DX_SUPPLY_SI_MV,10,3010,0.3607718516272698,3.3431059714994938e-93,0.473126922802346,9.25409356681562e-168,0.3314579975347374,1.5021404963295165e-137,0.7573325834688398,3.5421625312953435,14.509493897211385,0.13015632892656903,0.12986715217421752,3.3431059714914088e-93,0.3607718516272698,0.473126922802346,0.3314579975347374
ALCRB FP Equity_DX_SUPPLY_SI_MV_DEC,10,3010,0.2604316297820455,7.405151495541056e-48,0.40768665090373984,6.640746887334508e-121,0.31191889294775493,6.323563119425248e-111,0.2048277065501929,34.25725954637597,16.65994318367882,0.0678246337909324,0.06751473506546402,7.405151495532088e-48,0.2604316297820455,0.40768665090373984,0.31191889294775493
ALCRB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,3010,0.23606566932007064,2.158086348052558e-39,0.4598990970935947,1.9203135679515573e-157,0.30909770804751174,2.565417027316433e-120,0.8179895390676526,0.8990492175711493,15.84066447274889,0.05572700023153265,0.05541307968639686,2.1580863480564867e-39,0.23606566932007064,0.4598990970935947,0.30909770804751174
ALCRB FP Equity_DX_BROKER_SI_MV_DEC,10,3010,0.23504723211172962,4.652968220828783e-39,0.3226818629020383,6.821904524892905e-74,0.2502433200111658,6.985580802052153e-71,0.14054210316967142,32.38348529853993,16.855988744654262,0.05524720132338523,0.054933121270633656,4.652968220822122e-39,0.23504723211172962,0.3226818629020383,0.2502433200111658
ALCRB FP Equity_DX_UTILIZATION_QUANTITY,10,3010,0.232765561143178,2.567263910665222e-38,0.46494584898293356,2.5158349636790638e-161,0.36513100945413957,1.2742855749860868e-166,0.8280362631170619,0.18621928299693788,15.991972306609624,0.05417980645429854,0.05386537154952942,2.567263910670123e-38,0.232765561143178,0.46494584898293356,0.36513100945413957
ALCRB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,3010,0.22009659816707858,2.4190722174748987e-34,0.24842250360322002,1.4380821969923947e-43,0.17616751814190101,4.3433426572759765e-37,0.5631968672901491,1.3609297960185325e-06,16.6488683291249,0.048442512524720205,0.04812617027489463,2.4190722174800017e-34,0.22009659816707858,0.24842250360322002,0.17616751814190101
ALCRB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,3010,0.21947190693520685,3.743949001544518e-34,0.24385657285665197,5.3531064546730576e-42,0.17170044636899748,4.0417595951268684e-35,0.5418437785162853,1.3503254462884817,16.649901427374356,0.04816791793377617,0.04785148439585518,3.743949001546438e-34,0.21947190693520685,0.24385657285665197,0.17170044636899748
ALCRB FP Equity_DX_BROKER_SI_MV_INC_y,10,3010,0.204238986920919,1.0431955407059228e-29,0.2892698847241647,4.177577636294526e-59,0.2272855517546572,6.2053633385680686e-58,0.12892447989573697,29.87811920826066,17.02462061870726,0.04171356377848334,0.041394984511122446,1.0431955407064361e-29,0.204238986920919,0.2892698847241647,0.2272855517546572
ALCRB FP Equity_DX_BROKER_SI_MV_INC_x,10,3010,0.204238986920919,1.0431955407059228e-29,0.2892698847241647,4.177577636294526e-59,0.2272855517546572,6.2053633385680686e-58,0.12892447989573697,29.87811920826066,17.02462061870726,0.04171356377848334,0.041394984511122446,1.0431955407064361e-29,0.204238986920919,0.2892698847241647,0.2272855517546572
ALCRB FP Equity_DX_DSS,10,3010,0.19323795349861694,1.0368018310549862e-26,0.3913839709492057,9.249165858516965e-111,0.3004775613349841,2.124541217388225e-99,0.6412840153938184,2.4916761344856777,16.148561468641756,0.037340906672333585,0.037020873729073034,1.0368018310531057e-26,0.19323795349861694,0.3913839709492057,0.3004775613349841
ALCRB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,10,3010,0.15635079563658297,6.271183844845499e-18,0.43633102123327755,3.745105919895125e-140,0.31388168995050675,7.162052704982262e-124,0.9121762009753636,1.9321599706392925,16.542583242352013,0.024445571296192403,0.024121251339841443,6.271183844842018e-18,0.15635079563658297,0.43633102123327755,0.31388168995050675
ALCRB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,3010,0.12667549923853136,3.0568599209142204e-12,0.43218170068035766,3.0099562542931486e-137,0.30774836722353865,3.96320075325807e-119,0.9224521423619554,1.7409032794875265,16.78912296731393,0.016046682107331067,0.015719569967074243,3.0568599209144087e-12,0.12667549923853136,0.43218170068035766,0.30774836722353865
ALCRB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,3010,0.12095197304060928,2.784436836265786e-11,0.23071322257915777,1.1744788139702694e-37,0.1585430026318146,3.729769445846443e-30,0.5578713257889343,1.661696849153975e-05,17.137692983235443,0.014629379782416185,0.014301796464524674,2.784436836265509e-11,0.12095197304060928,0.23071322257915777,0.1585430026318146
ALCRB FP Equity_DX_BROKER_SI_MV_ADD,10,3010,0.08584279520648022,2.400720957160574e-06,0.13935316902960138,1.594360421034662e-14,0.11276493036921591,2.2578801122890025e-14,0.016113658154249588,23.99387893327789,17.613496746154837,0.007368985488861335,0.007038988476058439,2.4007209571601564e-06,0.08584279520648022,0.13935316902960138,0.11276493036921591
