feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALCUR FP Equity_DX_DEMAND_SUPPLY_RATIO,10,1677,0.44418186573988894,5.0785147610671684e-82,0.23965847423983633,2.4625710080777305e-23,0.16503348806867177,8.544537668751514e-20,0.7210815937399717,0.9789369831523855,3.534895297412403,0.19729752985216886,0.19681830449685678,5.078514761069467e-82,0.44418186573988894,0.23965847423983633,0.16503348806867177
ALCUR FP Equity_DX_UTILIZATION_QUANTITY,10,1677,0.4243016073567303,2.924107861304069e-74,0.2360295830009071,1.1571665008047155e-22,0.15706234774801445,4.709794007709241e-18,0.7397243820150736,0.017667034671641105,3.540096062695244,0.1800318540055046,0.17954232078401533,2.9241078612935348e-74,0.4243016073567303,0.2360295830009071,0.15706234774801445
ALCUR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,1677,0.3389901089832219,2.279921673814049e-46,0.3041920024002456,3.073520217187418e-37,0.20986386166973808,6.074482677487137e-32,0.8054800421499335,1.2001527797134142e-05,3.61198249424421,0.11491429398845643,0.11438588461173316,2.279921673813125e-46,0.3389901089832219,0.3041920024002456,0.20986386166973808
ALCUR FP Equity_DX_SHORT_INTEREST_VALUE,10,1677,0.31893410688320856,5.843225160119985e-41,0.32451492876334365,2.005734354136207e-42,0.22428955829408695,3.0377634890777753e-36,0.7669908813653223,5.824502025842346e-06,3.6521739976493275,0.10171896453338958,0.10118267734803643,5.843225160110104e-41,0.31893410688320856,0.32451492876334365,0.22428955829408695
ALCUR FP Equity_DX_SI_MV,10,1677,0.31772647745266425,1.2007761534456558e-40,0.3684700315390497,4.4548589004005414e-55,0.26997235010470955,2.1622286012832118e-49,0.6241266222240212,5.801853259444928,3.652227363029792,0.1009501144744781,0.10041336827416436,1.20077615344554e-40,0.31772647745266425,0.3684700315390497,0.26997235010470955
ALCUR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,1677,-0.28037455020259494,1.1497826064093109e-31,-0.287893220008159,2.2842062271949768e-33,-0.2287006190378219,3.7819652937388385e-32,0.2514407686094222,-6.9368316500960295e-06,4.050958670437164,0.07860988840130756,0.07805980475259189,1.1497826064070014e-31,0.28037455020259494,0.287893220008159,0.2287006190378219
ALCUR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,1677,0.25046771542447516,2.101103931172281e-25,0.21811100826269586,1.6516718393467925e-19,0.16135731485949523,1.7585978800346183e-19,0.6183852332852782,0.07601488397620669,3.76144301920792,0.06273407646995566,0.06217451472456459,2.101103931174437e-25,0.25046771542447516,0.21811100826269586,0.16135731485949523
ALCUR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,1677,-0.24841552797062577,5.284957271104096e-25,-0.25839062279292035,5.5111614223525706e-27,-0.17989240641431548,3.2054460045844446e-21,0.3367818964989142,-1.9218622452621488,4.025583134090923,0.06171027453692446,0.061150101566498805,5.28495727109501e-25,0.24841552797062577,0.25839062279292035,0.17989240641431548
ALCUR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,1677,-0.24813935420768193,5.979589286410442e-25,-0.2588449267010168,4.455527169452901e-27,-0.1799167316808248,2.455178607388584e-21,0.3279302933979611,-1.9207330204372655e-06,4.025378759675007,0.061573139106605446,0.061012884264281086,5.979589286405782e-25,0.24813935420768193,0.2588449267010168,0.1799167316808248
ALCUR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,1677,0.2392871925341598,2.8884300850449695e-23,0.2971271851754533,1.572031227262096e-35,0.19859344136947307,2.6278638250574493e-28,0.7948898927181931,1.188072592085552,3.6993047996513138,0.05725836051087985,0.05669552968133407,2.8884300850470707e-23,0.2392871925341598,0.2971271851754533,0.19859344136947307
