feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALGBE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,3680,-0.6404430691066394,0.0,-0.7004956127276609,0.0,-0.5735197062796202,0.0,0.5068413943823042,-0.17010925153450263,22.362628698050987,0.410167324766732,0.4100069569920628,0.0,0.6404430691066394,0.7004956127276609,0.5735197062796202
ALGBE FP Equity_DX_ACTIVE_UTILIZATION_MV,10,3680,-0.6404427198475722,0.0,-0.7004956766412901,0.0,-0.5735198216400185,0.0,0.5068265920691921,-0.17010914284067544,22.36262127239463,0.41016687740575575,0.41000650950945494,0.0,0.6404427198475722,0.7004956766412901,0.5735198216400185
ALGBE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,10,3680,-0.5141747640629253,1.54236182827328e-247,-0.6335277719738429,0.0,-0.48774485252800925,0.0,1.0365154783465664,-0.42213862925064993,20.406694435777876,0.2643756879991649,0.26417568138905034,1.5423618282845263e-247,0.5141747640629253,0.6335277719738429,0.48774485252800925
ALGBE FP Equity_DX_BROKER_SI_QTY,10,3680,-0.5094551795471289,2.631297835645201e-242,-0.6999553092973363,0.0,-0.5152470713235988,0.0,1.4205270806870605,-0.00028776965261588283,18.943438892887187,0.25954457996739744,0.25934325984232054,2.6312978356489586e-242,0.5094551795471289,0.6999553092973363,0.5152470713235988
ALGBE FP Equity_DX_DSS,10,3680,-0.5062116390389189,9.298322180255378e-239,-0.586687974537263,0.0,-0.47250384872449414,3.91539843689054e-274,0.33069586230771586,-13.847252115896527,18.671636689827512,0.25625022349846893,0.2560480076810405,9.298322180290869e-239,0.5062116390389189,0.586687974537263,0.47250384872449414
ALGBE FP Equity_DX_SUPPLY_SI_QTY,10,3680,-0.50445258737878,7.528657525943944e-237,-0.7037088924383395,0.0,-0.5088233400832903,0.0,1.2077066057824997,-0.0002894551453821542,18.765910465484176,0.2544724129131457,0.2542697137323172,7.528657525994263e-237,0.50445258737878,0.7037088924383395,0.5088233400832903
ALGBE FP Equity_DX_SI_QTY,10,3680,-0.4935704633810769,2.735102012706341e-225,-0.7100202789735508,0.0,-0.5228393401419101,0.0,1.396410346475244,-0.0001612901298592207,18.655930332377952,0.2436118023222108,0.2434061502836904,2.735102012711188e-225,0.4935704633810769,0.7100202789735508,0.5228393401419101
ALGBE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,3680,-0.4524918122438807,3.093606384743364e-185,-0.6546706071132435,0.0,-0.4731918200835539,0.0,1.2570181045787336,-22.720703708736036,18.535681020289953,0.2047488401477513,0.2045326217791128,3.093606384753751e-185,0.4524918122438807,0.6546706071132435,0.4731918200835539
ALGBE FP Equity_DX_UTILIZATION_QUANTITY,10,3680,-0.4399166166433454,4.946660272378386e-174,-0.6434609718075907,0.0,-0.49640752558915596,0.0,1.2005713269695502,-0.15667003473141394,19.02707186904525,0.1935266295989283,0.19330736005830806,4.946660272364308e-174,0.4399166166433454,0.6434609718075907,0.49640752558915596
ALGBE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,3680,-0.4226973083762355,1.9392240639089417e-159,-0.4989947661220691,5.333214538918806e-231,-0.3538411199618175,2.58683453059151e-196,1.21838730358582,-0.15804999406330814,20.152343496363585,0.17867301450851436,0.1784497064646069,1.9392240639064023e-159,0.4226973083762355,0.4989947661220691,0.3538411199618175
ALGBE FP Equity_DX_BROKER_SI_CON_RATIO,10,3680,-0.35631471824181754,1.3430352322503047e-110,-0.5006652062828894,8.865659411585478e-233,-0.36123399055719957,1.5956749921678666e-204,1.337446072625974,-14.327785643362132,19.074954517272065,0.1269601784357457,0.12672281034940402,1.3430352322496748e-110,0.35631471824181754,0.5006652062828894,0.36123399055719957
ALGBE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,10,3680,-0.3459936119958442,5.553003926543749e-104,-0.6018604854479388,0.0,-0.4517190049299401,0.0,1.309359607089569,-14.20773862001603,17.85787845721847,0.11971157954193079,0.11947224065654238,5.553003926536068e-104,0.3459936119958442,0.6018604854479388,0.4517190049299401
ALGBE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,3680,-0.33695294352737754,2.1788581210841135e-98,-0.6264586442435224,0.0,-0.4770006035976634,0.0,1.0797986216944029,-2.509325308293914,17.34011621820528,0.11353728615176406,0.11329626855691666,2.1788581210830788e-98,0.33695294352737754,0.6264586442435224,0.4770006035976634
ALGBE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,3680,-0.334484301549006,6.813787270598851e-97,-0.6112199095655426,0.0,-0.42234232964845175,1.3310802880044896e-268,1.1427877754207434,-5.156063172203016e-05,17.29715021510448,0.11187974798272626,0.11163827972497276,6.81378727061375e-97,0.334484301549006,0.6112199095655426,0.42234232964845175
ALGBE FP Equity_DX_SUPPLY_SI_MV,10,3680,-0.3344795899366656,6.858499142887284e-97,-0.551544466505024,5.065480102410631e-292,-0.3972907711864304,1.3571762153685963e-230,0.9384099716065404,-51.47633876643202,17.303622659313174,0.1118765960842002,0.11163512696948674,6.858499142918288e-97,0.3344795899366656,0.551544466505024,0.3972907711864304
ALGBE FP Equity_DX_SHORT_INTEREST_VALUE,10,3680,-0.3108085160402849,3.0710305567108924e-83,-0.5697681801859241,7.6495081e-316,-0.3979667576815699,3.8210461532240734e-249,1.2502841137885623,-2.68607276915054e-05,17.193186996391468,0.09660193364316394,0.09635631154790647,3.071030556712057e-83,0.3108085160402849,0.5697681801859241,0.3979667576815699
ALGBE FP Equity_DX_DEMAND_SUPPLY_RATIO,10,3680,-0.3035858346107702,2.5760971943288322e-79,-0.5921632773206944,0.0,-0.4467401123562606,9.954526653739879e-303,1.1769501952364694,-3.87339388570579,17.140619940845177,0.09216435897631803,0.09191753036266281,2.5760971943345935e-79,0.3035858346107702,0.5921632773206944,0.4467401123562606
ALGBE FP Equity_DX_SI_MV,10,3680,-0.3012323354952697,4.6303174245414e-78,-0.5209805762846953,3.1389700022829985e-255,-0.3664624204204728,3.0797019782758995e-202,1.0224631148952312,-26.13296150525005,17.161943003940998,0.09074091994793476,0.09049370431986181,4.630317424526896e-78,0.3012323354952697,0.5209805762846953,0.3664624204204728
ALGBE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,3680,-0.2579047249464337,5.414277886613843e-57,-0.5487485734621548,1.6988364156514378e-288,-0.3853087834202012,1.112516227199887e-233,1.2613181654590044,-3.8039922694011026e-05,16.98302133650974,0.06651484714969558,0.06626104476991024,5.414277886607413e-57,0.2579047249464337,0.5487485734621548,0.3853087834202012
ALGBE FP Equity_DX_BROKER_SI_QTY_DEC,10,3680,-0.15161209941240678,2.2953664514042944e-20,-0.2821470934480636,2.595386849712627e-68,-0.22540109079956228,5.014304811601146e-66,0.07398001048815117,-0.001133313500182443,15.40895490126584,0.022986228688237298,0.02272059144753258,2.2953664514061358e-20,0.15161209941240678,0.2821470934480636,0.22540109079956228
ALGBE FP Equity_DX_BROKER_SI_QTY_INC,10,3680,-0.13607761485566353,1.126194572811143e-16,-0.22327461198633336,8.443939698176585e-43,-0.17943495037552246,6.447630736617511e-42,0.05334638630081412,-0.0012000421727322757,15.350538381351305,0.01851711726480665,0.018250264931273352,1.1261945728103839e-16,0.13607761485566353,0.22327461198633336,0.17943495037552246
ALGBE FP Equity_DX_BROKER_SI_MV_INC_x,10,3680,-0.13306955822725203,5.243077308730748e-16,-0.14231785886536433,4.1469974020598934e-18,-0.11535274976261509,6.7429750645180886e-18,0.03410815221487584,-390.3630444269982,15.376780913996479,0.017707507326795935,0.017440434870930388,5.243077308728874e-16,0.13306955822725203,0.14231785886536433,0.11535274976261509
