feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALKKO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,2498,-0.19018643601564225,8.946092495139158e-22,-0.21838209857044394,2.374678874839675e-28,-0.17554670304272804,1.0847707308092968e-27,0.18344436202575465,-0.006099017743457294,0.7033142530824877,0.0361708804443317,0.03578473095733026,8.946092495140646e-22,0.19018643601564225,0.21838209857044394,0.17554670304272804
ALKKO FP Equity_DX_ACTIVE_UTILIZATION_MV,10,2498,-0.18974575473020477,1.113687733142817e-21,-0.22046615406336517,7.091978005814338e-29,-0.18025053448531725,3.1751506772128594e-28,0.1254200871596307,-0.0058683065542220044,0.7028763145861907,0.036003451438134215,0.03561723487220403,1.1136877331436405e-21,0.18974575473020477,0.22046615406336517,0.18025053448531725
ALKKO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,2498,-0.18974575473020477,1.113687733142817e-21,-0.22046615406336517,7.091978005814338e-29,-0.18025053448531725,3.1751506772128594e-28,0.1254200871596307,-0.0058683065542220044,0.7028763145861907,0.036003451438134215,0.03561723487220403,1.1136877331436405e-21,0.18974575473020477,0.22046615406336517,0.18025053448531725
ALKKO FP Equity_DX_BROKER_SI_CON_RATIO,10,2498,-0.18906422455235275,1.5610897772646566e-21,-0.2188254285753596,1.8382807325467504e-28,-0.1758868257004944,8.608843782595557e-28,0.17903325376524015,-0.6157790945920237,0.7024221578621589,0.03574528100558205,0.03535896100598501,1.5610897772657986e-21,0.18906422455235275,0.2188254285753596,0.1758868257004944
ALKKO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,2498,-0.14042427239348487,1.7911219364092746e-12,-0.4177665008926227,4.2217560401451786e-106,-0.3205756061390214,3.6059327425171674e-95,0.5104392900765122,-1.8701844987767164e-07,0.670784822253263,0.019718976277240285,0.01932623548247958,1.7911219364091807e-12,0.14042427239348487,0.4177665008926227,0.3205756061390214
ALKKO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,2498,-0.12525357134876314,3.346922146182526e-10,-0.41462727554093304,2.196703756241547e-104,-0.30790291186941526,3.07833281367418e-88,0.41679681604301155,-1.14687830815505e-06,0.6628082919305902,0.015688457135619283,0.01529410154953581,3.3469221461831995e-10,0.12525357134876314,0.41462727554093304,0.30790291186941526
ALKKO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,2498,-0.12492883947861616,3.719244316944461e-10,-0.41086591355657254,2.3669426219875877e-102,-0.30759092884215194,5.0599336487192736e-86,0.3834698864147532,-1.1447807230091496,0.6626426513967744,0.015607214933473501,0.015212826798430834,3.719244316944226e-10,0.12492883947861616,0.41086591355657254,0.30759092884215194
ALKKO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,10,2498,-0.12068581638500733,1.4396204877119925e-09,-0.13331529502333578,2.2371538485428146e-11,-0.10525141718711309,4.647630989709705e-11,0.1643559607987064,-3.1409641413378475,0.6591385043138523,0.014565066276515992,0.014170260613966534,1.4396204877114007e-09,0.12068581638500733,0.13331529502333578,0.10525141718711309
ALKKO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,2498,-0.11675458962629233,4.84242476322015e-09,-0.13406951265666756,1.7220781124443845e-11,-0.10608742832894538,3.375244505661209e-11,0.15790445930416008,-3.075370317699638,0.6571595975805093,0.01363163419880431,0.013236454565069944,4.842424763220617e-09,0.11675458962629233,0.13406951265666756,0.10608742832894538
ALKKO FP Equity_DX_SI_QTY,10,2498,-0.11451262967398312,9.503246646070522e-09,-0.21653168052411392,6.871900258106052e-28,-0.17033139654010343,7.246965193988416e-27,0.2733192887309155,-2.161532417552225e-06,0.6560326630281214,0.013113142354850726,0.01271775499201222,9.503246646070648e-09,0.11451262967398312,0.21653168052411392,0.17033139654010343
ALKKO FP Equity_DX_SHORT_INTEREST_VALUE,10,2498,-0.11179206561133057,2.1172341902297803e-08,-0.21220707567094382,7.925705333765867e-27,-0.1658281496361738,1.263415047052027e-25,0.20586717379387198,-1.8934356081800024e-05,0.6557259965747378,0.012497465933647867,0.012101831905576454,2.1172341902304387e-08,0.11179206561133057,0.21220707567094382,0.1658281496361738
ALKKO FP Equity_DX_SUPPLY_SI_QTY,10,2498,-0.10683591586192118,8.683825516693034e-08,-0.215543491921297,1.2071987146911673e-27,-0.16972610899017637,1.198237868958435e-26,0.28949971659679385,-3.522869611964284e-06,0.6527276978717508,0.011413912918055824,0.011017844774192875,8.683825516691544e-08,0.10683591586192118,0.215543491921297,0.16972610899017637
ALKKO FP Equity_DX_SI_MV,10,2498,-0.10484050192203108,1.5063345136000077e-07,-0.09587218083723713,1.5838575012799722e-06,-0.07706666199940919,1.904603841814482e-06,0.08327648516881259,-17.13811298736971,0.6526623764002983,0.010991530843262987,0.01059529347581245,1.5063345136003929e-07,0.10484050192203108,0.09587218083723713,0.07706666199940919
ALKKO FP Equity_DX_BROKER_SI_QTY,10,2498,-0.10177683658063275,3.4416650024635387e-07,-0.2175450423077443,3.8448855207514386e-28,-0.17130170270414122,3.8685150649175954e-27,0.29430935685210957,-3.0211497691198973e-06,0.6506367844418464,0.010358524464360808,0.009962033488585376,3.4416650024632237e-07,0.10177683658063275,0.2175450423077443,0.17130170270414122
ALKKO FP Equity_DX_UTILIZATION_QUANTITY,10,2498,-0.0980792542168857,9.043197916911405e-07,-0.21207284937140186,8.543369577425057e-27,-0.16959828861522727,1.571428505026405e-26,0.2621097145676581,-0.005481576302308023,0.6504532363230803,0.009619540107740243,0.009222753064514255,9.043197916912589e-07,0.0980792542168857,0.21207284937140186,0.16959828861522727
ALKKO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,2498,-0.09720870514262905,1.1296722104730386e-06,-0.2118525312366496,9.662202612724004e-27,-0.1657640717602749,1.4264851240688797e-25,0.2196613630224955,-2.6433063047319826e-05,0.6494710124733084,0.009449532355506274,0.009052677200200088,1.1296722104727292e-06,0.09720870514262905,0.2118525312366496,0.1657640717602749
ALKKO FP Equity_DX_DEMAND_SUPPLY_RATIO,10,2498,-0.09431741967135991,2.333594447839419e-06,-0.2130726681742374,4.879002892787674e-27,-0.16987989653174568,1.1243920183877583e-26,0.24547819825885608,-0.24666630935217956,0.6489184241570407,0.008895775653463,0.008498698640503677,2.333594447838849e-06,0.09431741967135991,0.2130726681742374,0.16987989653174568
ALKKO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,2498,-0.08816565117768096,1.0199098694286728e-05,-0.21363403456098928,3.557837453541629e-27,-0.1671727073989136,5.262071359889413e-26,0.2145109569814332,-2.042669977481735e-05,0.6459978727864364,0.0077731820475847035,0.00737565527757178,1.0199098694287706e-05,0.08816565117768096,0.21363403456098928,0.1671727073989136
ALKKO FP Equity_DX_SUPPLY_SI_MV,10,2498,-0.08437203862269232,2.4178572537608203e-05,-0.11963451088114266,1.998957468688532e-09,-0.09747705196562513,2.3144265390942154e-09,0.04286014951203887,-22.800416492206725,0.6445113573068273,0.007118640901348727,0.006720851895299695,2.417857253761026e-05,0.08437203862269232,0.11963451088114266,0.09747705196562513
ALKKO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,2498,-0.07404086195257709,0.0002123985917428978,-0.22257768454232096,2.058191362453056e-29,-0.17655605747683095,9.07969870265686e-29,0.18062087554830764,-0.11781550600528315,0.6400738168138862,0.00548204923868123,0.0050836045468698465,0.00021239859174287406,0.07404086195257709,0.22257768454232096,0.17655605747683095
ALKKO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,10,2498,-0.071451885442209,0.00035164138666824113,-0.14365043011090067,5.453350457285212e-13,-0.11633420975560967,7.165700717893141e-13,0.06621772777609758,-0.015172635468361824,0.6401298806768213,0.005105371933246561,0.004706776329053253,0.0003516413866682375,0.071451885442209,0.14365043011090067,0.11633420975560967
