feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALLOG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,4531,-0.22400813470824396,1.2330206668160546e-52,-0.3434169392965233,1.328153613544774e-125,-0.2797278200535866,1.0067483636755717e-118,0.15339404900653175,-3.266714715504053e-05,1.511254049895711,0.05017964441546685,0.04996992475205675,1.2330206668116213e-52,0.22400813470824396,0.3434169392965233,0.2797278200535866
ALLOG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,4531,-0.14562902551210638,6.683043167499289e-23,-0.36016122731889666,7.568084556845239e-139,-0.29360476360568905,1.4455266833374407e-129,0.13685553165765674,-35.716776374047576,1.478373086186844,0.021207813071605797,0.02099169644830523,6.68304316750426e-23,0.14562902551210638,0.36016122731889666,0.29360476360568905
ALLOG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,4531,-0.14467860155998746,1.273365898967061e-22,-0.34165711577157665,2.942727185102472e-124,-0.27042899361583395,6.460612500980197e-114,0.19507441451118157,-3.478679227680563e-05,1.478368737887099,0.02093189774935289,0.02071572020414414,1.2733658989675168e-22,0.14467860155998746,0.34165711577157665,0.27042899361583395
ALLOG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,4531,-0.07767456649517758,1.6502723047842472e-07,-0.011302563568835002,0.4468837816007386,-0.008617376780909273,0.4697036922585818,0.17084791168303037,-0.003121203024751902,1.4754571666855598,0.006033338280213574,0.005813871143600768,1.6502723047844124e-07,0.07767456649517758,0.011302563568835002,0.008617376780909273
ALLOG FP Equity_DX_BROKER_SI_CON_RATIO,10,4531,-0.07705349898314376,2.069658300732343e-07,-0.011304472059773361,0.4468070456943437,-0.008636826946559558,0.46867566168708874,0.1745413138928189,-0.3171656495007198,1.475138333398549,0.005937241705545326,0.005717753350876653,2.069658300731557e-07,0.07705349898314376,0.011304472059773361,0.008636826946559558
ALLOG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,4531,-0.07641774985803004,2.60489782840164e-07,-0.00916991891211906,0.5371722676914357,-0.007497529944798106,0.5371134265015695,0.1094047957904416,-0.0030108136320887214,1.4744960096735213,0.0058396724933647,0.005620162595482925,2.6048978284016253e-07,0.07641774985803004,0.00916991891211906,0.007497529944798106
ALLOG FP Equity_DX_ACTIVE_UTILIZATION_MV,10,4531,-0.07641774985803004,2.60489782840164e-07,-0.00916991891211906,0.5371722676914357,-0.007497529944798106,0.5371134265015695,0.1094047957904416,-0.0030108136320887214,1.4744960096735213,0.0058396724933647,0.005620162595482925,2.6048978284016253e-07,0.07641774985803004,0.00916991891211906,0.007497529944798106
ALLOG FP Equity_DX_UTILIZATION_QUANTITY,10,4531,-0.05393319796285159,0.00028119914601173546,-0.007227326546393893,0.6267098128116656,-0.00595834851481971,0.6165149385409394,0.21223368151367317,-0.004174892482060176,1.4631006236870399,0.0029087898425003145,0.002688632807800073,0.00028119914601164195,0.05393319796285159,0.007227326546393893,0.00595834851481971
ALLOG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,10,4531,-0.0459042744888737,0.001996735260121446,0.03956173728939942,0.007737487016836251,0.03133353460172524,0.008957135887605898,0.12322918932786076,-0.019859977669228788,1.4556023297718463,0.0021072024163493186,0.0018868683917118156,0.001996735260122338,0.0459042744888737,0.03956173728939942,0.03133353460172524
ALLOG FP Equity_DX_SUPPLY_SI_MV,10,4531,0.0258214193944273,0.08222496022234964,0.08596463269117514,6.805871626672627e-09,0.07054359028588253,5.093758835656673e-09,0.06409246516263867,3.2120934786857154,1.4446517268762182,0.0006667456995421706,0.00044609362307934664,0.08222496022237376,0.0258214193944273,0.08596463269117514,0.07054359028588253
