feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALODC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,1087,0.524082540245932,1.0155348877803589e-77,0.6210191040911383,6.314563773348735e-117,0.49627842155277374,3.6929467719601226e-129,1.3490617979210406,1.4546198344762739e-06,3.960415201341054,0.27466250899062883,0.27399399517403034,1.0155348877798357e-77,0.524082540245932,0.6210191040911383,0.49627842155277374
ALODC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,1087,0.5220035131280125,5.173524536136916e-77,0.6159747298421815,1.530580196665066e-114,0.4915985322063599,5.476687820110791e-125,1.3293977639475645,1.4464320737579257,3.967042163647136,0.27248766771798694,0.27181714943938595,5.173524536133912e-77,0.5220035131280125,0.6159747298421815,0.4915985322063599
ALODC FP Equity_DX_SUPPLY_SI_MV,10,1087,0.0941567190558259,0.001885802316485972,0.06912349754559144,0.02266206605253172,0.05563318889287842,0.023516656037163276,0.13290613994099143,7.537910053806624,5.568555911612673,0.008865487743357714,0.007951999713628033,0.0018858023164859336,0.0941567190558259,0.06912349754559144,0.05563318889287842
ALODC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,1087,0.09145433715629508,0.002543834366857616,0.0019623972681247974,0.9484723903422609,0.0019417541255071541,0.9360331602649057,0.16640554493751614,7.350535904971801e-06,5.569449379281532,0.008363895784697206,0.007449945458231522,0.002543834366857294,0.09145433715629508,0.0019623972681247974,0.0019417541255071541
ALODC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,1087,0.08770823991374171,0.0038041133037800805,0.004056299668659788,0.8937334399885528,0.0015395965953379643,0.949277296657184,0.18214978297681417,0.1334808436578222,5.571114075464768,0.00769273534876691,0.006778166441254285,0.00380411330377972,0.08770823991374171,0.004056299668659788,0.0015395965953379643
ALODC FP Equity_DX_SHORT_INTEREST_VALUE,10,1087,0.08437136545657786,0.0053782344414483735,0.002067601029735293,0.9457141565863283,0.0020658587636963564,0.9319519082142362,0.1726707895021553,6.130626909648936e-06,5.564425098390833,0.007118527309007416,0.006203429177494946,0.005378234441448107,0.08437136545657786,0.002067601029735293,0.0020658587636963564
ALODC FP Equity_DX_SI_MV,10,1087,0.0809100941483686,0.007610291864072809,0.055616974124374816,0.06680508301029336,0.045069140863959585,0.06475750259572056,0.13421038220588355,5.848649610308626,5.56570555782781,0.006546443335098129,0.0056308179372502876,0.007610291864073008,0.0809100941483686,0.055616974124374816,0.045069140863959585
ALODC FP Equity_DX_SUPPLY_SI_QTY,10,1087,0.07584401608380698,0.012374547596616372,-0.0001499244376103201,0.9960606412848859,-0.00022263691401453812,0.9926779221111899,0.17391207967336997,4.757318999566946e-05,5.569675182252958,0.0057523147757205795,0.00483595746214982,0.012374547596616194,0.07584401608380698,0.0001499244376103201,0.00022263691401453812
ALODC FP Equity_DX_BROKER_SI_QTY_INC,10,1087,0.05626256253211342,0.06369718048591576,0.05626797891867476,0.06367161903763247,0.0461093996621448,0.06339582324231943,0.000739000034377213,0.006404501678840425,5.587022518639398,0.0031654759426797963,0.0022467344458527716,0.06369718048591384,0.05626256253211342,0.05626797891867476,0.0461093996621448
ALODC FP Equity_DX_SI_QTY,10,1087,0.054263950853890554,0.07372366507204253,-0.000203098189080406,0.9946634856659946,-0.0002489276338055465,0.9918092857556136,0.17787035441913024,2.787598091429378e-05,5.571232156923421,0.002944576362273521,0.0020256312713631264,0.07372366507204603,0.054263950853890554,0.000203098189080406,0.0002489276338055465
ALODC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,1087,0.05223698221402291,0.08517272472897125,0.10469719262565123,0.0005454806345554407,0.08416845803047261,0.0002234601266353034,0.5360783398224678,1.017208686429589e-06,5.3930574371952185,0.0027287023108277797,0.0018095582576580505,0.08517272472896895,0.05223698221402291,0.10469719262565123,0.08416845803047261
ALODC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,1087,0.051101115852547785,0.0921914488494983,0.041984963210823255,0.16658876857908936,0.034163813552419084,0.16064720188334403,0.1515480664436395,2.2364601495671788,5.572791871986571,0.002611324041375207,0.001692071805468598,0.09219144884950164,0.051101115852547785,0.041984963210823255,0.034163813552419084
ALODC FP Equity_DX_SUPPLY_SI_MV_DEC,10,1087,0.04692008870842561,0.12210164616679031,0.04674246999247866,0.1235230239637925,0.0382746377634568,0.12299856162087101,0.0,8.744837932804478,5.587509179201708,0.002201494724406783,0.0012818647656274162,0.12210164616678636,0.04692008870842561,0.04674246999247866,0.0382746377634568
ALODC FP Equity_DX_SUPPLY_SI_QTY_DEC,10,1087,0.04351471291068197,0.15165939616782573,0.015410433206983135,0.6117881410814873,0.012665872936223704,0.6093098881135621,0.002325892697649934,6.362423410355082e-05,5.587272279212359,0.0018935302396992926,0.0009736164426851213,0.15165939616782104,0.04351471291068197,0.015410433206983135,0.012665872936223704
ALODC FP Equity_DX_DEMAND_SUPPLY_RATIO,10,1087,-0.03619940673574472,0.23306500346842218,-0.010400219557887141,0.7319696129050405,-0.007513771108982253,0.7563351815792776,0.16838160589922735,-0.1250619629905387,5.608771615886459,0.001310397048019496,0.0003899458010591106,0.23306500346843365,0.03619940673574472,0.010400219557887141,0.007513771108982253
ALODC FP Equity_DX_SUPPLY_SI_QTY_ADD,10,1087,0.03525486586098031,0.24549332076018543,0.028897753612465778,0.3411718627966449,0.023715611938755585,0.3392013273793919,0.002621565263873027,5.32038387024076e-05,5.588787936187222,0.001242905566876007,0.0003223921157855525,0.2454933207601956,0.03525486586098031,0.028897753612465778,0.023715611938755585
ALODC FP Equity_DX_UTILIZATION_QUANTITY,10,1087,-0.0288048444695341,0.34272702784471665,-0.01568020239176013,0.6055693106583252,-0.012428518765057527,0.6086064983804542,0.14368555729795962,-0.0022531484536661957,5.606562583072936,0.0008297190649141362,-9.117520322887707e-05,0.34272702784467424,0.0288048444695341,0.01568020239176013,0.012428518765057527
ALODC FP Equity_DX_BROKER_SI_MV_DEC,10,1087,0.02799450009756856,0.3564823764064737,0.03927409559431655,0.19571244742704014,0.03212264793974182,0.1955241085622199,0.0009129819505158121,22.3017311672832,5.587472558489607,0.0007836920357128241,-0.00013724465365516636,0.35648237640647984,0.02799450009756856,0.03927409559431655,0.03212264793974182
ALODC FP Equity_DX_BROKER_SI_CON_RATIO,10,1087,0.02527681903379139,0.4051025820321138,-0.00035653298986440806,0.9906320488078477,0.00043689706223737243,0.9857235640823999,0.11434668519783431,0.17756738543686856,5.575836000269748,0.0006389175804669689,-0.00028215254157859526,0.40510258203209926,0.02527681903379139,0.00035653298986440806,0.00043689706223737243
ALODC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,10,1087,-0.025109907581556068,0.4082123604083262,-0.07243629021950622,0.016913070944295856,-0.0589508218402052,0.016534423931334318,0.06338447541811898,-0.006294034688808404,5.600227036795657,0.0006305074587542592,-0.0002905704145557131,0.4082123604083344,0.025109907581556068,0.07243629021950622,0.0589508218402052
ALODC FP Equity_DX_BROKER_SI_MV_ADD,10,1087,0.02335010772253575,0.4418548738713499,0.036084348410184125,0.2345546535084933,0.029494808142219036,0.23460544327258093,0.005069114656475859,18.450802221535806,5.587975933353908,0.0005452275306535581,-0.0003759289416684908,0.4418548738713688,0.02335010772253575,0.036084348410184125,0.029494808142219036
ALODC FP Equity_DX_ACTIVE_UTILIZATION_MV,10,1087,-0.022743019618827964,0.4538184474075642,-0.00938268280084235,0.7573253610732907,-0.006726794278050252,0.7849759543923968,0.07868393893637649,-0.0014766530599758963,5.604669656512047,0.0005172449413821667,-0.00040393732134469396,0.4538184474075433,0.022743019618827964,0.00938268280084235,0.006726794278050252
ALODC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,1087,-0.022743019618827964,0.4538184474075642,-0.00938268280084235,0.7573253610732907,-0.006726794278050252,0.7849759543923968,0.07868393893637649,-0.0014766530599758963,5.604669656512047,0.0005172449413821667,-0.00040393732134469396,0.4538184474075433,0.022743019618827964,0.00938268280084235,0.006726794278050252
ALODC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,1087,0.020634876733806363,0.49674830247131196,-0.014805769829044451,0.6258285007388001,-0.011812636438275714,0.6259324466805772,0.16730130795545795,4.97325542012952e-06,5.583517449215702,0.00042579813781862264,-0.0004954684076765581,0.4967483024713082,0.020634876733806363,0.014805769829044451,0.011812636438275714
ALODC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,1087,0.019265325179765206,0.5257547332081901,-0.0007204104943779004,0.9810724583244729,0.00020133208119827115,0.9934201567086891,0.11540659724334845,0.0013177418172601596,5.579381222148756,0.00037115275428212247,-0.0005501641556218129,0.5257547332082316,0.019265325179765206,0.0007204104943779004,0.00020133208119827115
ALODC FP Equity_DX_SUPPLY_SI_QTY_INC_y,10,1087,0.01814394065536118,0.550132964159194,-0.0014993902177070889,0.9606184024366132,-0.0012695663033322792,0.9591827494266987,0.0008299201471027029,0.00010458043295158077,5.589543714423415,0.00032920258250512813,-0.0005921529911516732,0.5501329641591769,0.01814394065536118,0.0014993902177070889,0.0012695663033322792
ALODC FP Equity_DX_SUPPLY_SI_QTY_INC_x,10,1087,0.01814394065536118,0.550132964159194,-0.0014993902177070889,0.9606184024366132,-0.0012695663033322792,0.9591827494266987,0.0008299201471027029,0.00010458043295158077,5.589543714423415,0.00032920258250512813,-0.0005921529911516732,0.5501329641591769,0.01814394065536118,0.0014993902177070889,0.0012695663033322792
ALODC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,10,1087,0.012591138910133729,0.6783874009652491,0.002466160224601013,0.9352708959967752,0.001237991390772196,0.9592811107140554,0.18507637078788552,0.24913888380753169,5.585920402339528,0.0001585367790539749,-0.0007629760902740923,0.6783874009652412,0.012591138910133729,0.002466160224601013,0.001237991390772196
ALODC FP Equity_DX_BROKER_SI_QTY_DEC,10,1087,0.010982227580886421,0.7175950064479414,-0.013230264307578656,0.6630436538154066,-0.010760534054151867,0.6640083163468127,0.0039738100120016995,5.0743759510843295e-05,5.589717955100753,0.00012060932263802115,-0.0008009385028711069,0.7175950064479457,0.010982227580886421,0.013230264307578656,0.010760534054151867
ALODC FP Equity_DX_BROKER_SI_QTY,10,1087,-0.009865953778665698,0.7452484130507081,-0.01710108809683469,0.5732919413687656,-0.014223213933989518,0.5582220950697794,0.15481036033299755,-1.3180977259162087e-05,5.59519855189551,9.733704396253096e-05,-0.0008242322306513117,0.7452484130506853,0.009865953778665698,0.01710108809683469,0.014223213933989518
ALODC FP Equity_DX_BROKER_SI_QTY_ADD,10,1087,0.006282300440770876,0.8360964029321357,0.00801873023940778,0.7917220813639327,0.00653188295125634,0.7921430995350324,0.0024070112493432827,2.847786697205532e-05,5.590416985513225,3.946729882819966e-05,-0.0008821553119562342,0.8360964029321657,0.006282300440770876,0.00801873023940778,0.00653188295125634
