feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALPDX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,4946,0.5531406789514904,0.0,-0.014127153310065166,0.3205491093404459,-0.00837612747733114,0.44534153573235324,0.5782658177782221,10.063684447651882,14.608492526672423,0.3059646107109162,0.3058242313846037,0.0,0.5531406789514904,0.014127153310065166,0.00837612747733114
ALPDX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,4946,0.5496184185938806,0.0,0.006637716130486412,0.6407122777470067,0.012050828880599143,0.2705227647495072,0.6330728856633137,2.0700150291517263e-05,14.519634747079468,0.30208040605763864,0.3019392410912264,0.0,0.5496184185938806,0.006637716130486412,0.012050828880599143
ALPDX FP Equity_DX_BROKER_SI_MARKET_SHARE_2,10,4946,0.4911648485232171,9.493063093498146e-299,0.47906830578460996,2.9321442043696143e-282,0.3728497629974417,1.5518242314495647e-252,0.5601467505741513,0.7777487943296721,12.061587295764797,0.2412429084248351,0.24108943813932227,9.493063093430931e-299,0.4911648485232171,0.47906830578460996,0.3728497629974417
ALPDX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,4946,0.3850128837206571,1.6577633743557845e-174,-0.06806141203062231,1.6598874133369831e-06,-0.053101263798176944,1.4466791704391945e-06,0.5967511678982764,0.0005216614118079633,13.827588205199397,0.14823492063089616,0.14806263805011766,1.657763374353674e-174,0.3850128837206571,0.06806141203062231,0.053101263798176944
ALPDX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,4946,0.3595935381697123,6.986447936119427e-151,0.584398586524427,0.0,0.4324020692768971,0.0,0.7521748605884855,0.18372517754185677,11.803826243364501,0.12930751269341323,0.12913140175342408,6.986447936099458e-151,0.3595935381697123,0.584398586524427,0.4324020692768971
ALPDX FP Equity_DX_SI_MV,10,4946,0.34604618220346606,3.8344661437962745e-139,0.600613398968535,0.0,0.46626152221781,0.0,0.6551334332564349,115.98583783351245,14.048620619765376,0.11974796021759437,0.11956991571116593,3.834466143796315e-139,0.34604618220346606,0.600613398968535,0.46626152221781
ALPDX FP Equity_DX_BROKER_SI_CON_RATIO,10,4946,0.32778772430341396,3.2247652659416163e-124,0.5856758029979076,0.0,0.434617972732971,0.0,0.7682143492990763,17.662616743505005,12.378246507972172,0.10744479220401182,0.1072642591927262,3.22476526595243e-124,0.32778772430341396,0.5856758029979076,0.434617972732971
ALPDX FP Equity_DX_SUPPLY_SI_MV,10,4946,0.31822524453055095,8.434604447127337e-117,0.576532309635695,0.0,0.44860029574485033,0.0,0.605590050754585,136.8852860953681,14.67934683531586,0.10126730625652935,0.10108552375374957,8.434604447112037e-117,0.31822524453055095,0.576532309635695,0.44860029574485033
ALPDX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,4946,0.31286319314510735,9.291304033612459e-113,0.6100326687203438,0.0,0.4820123962391844,0.0,0.44657311364964136,0.13509762795599317,12.503600054231095,0.09788337762495292,0.09770091067058906,9.291304033591007e-113,0.31286319314510735,0.6100326687203438,0.4820123962391844
ALPDX FP Equity_DX_ACTIVE_UTILIZATION_MV,10,4946,0.31242550783712647,1.9693773439303745e-112,0.6100469645185759,0.0,0.4820209277075636,0.0,0.44071500700594046,0.13489848833835388,12.51055332176981,0.09760969794728747,0.09742717563700176,1.9693773439339512e-112,0.31242550783712647,0.6100469645185759,0.4820209277075636
ALPDX FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,4946,0.29536433918426547,3.8460251356645765e-100,0.624805917397282,0.0,0.480363971453723,0.0,0.8963637209868911,0.00021978000259760511,14.258139375552375,0.08724009286175805,0.0870554731394404,3.846025135670354e-100,0.29536433918426547,0.624805917397282,0.480363971453723
ALPDX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,4946,0.28166139352291303,7.337434650631672e-91,0.6284113269885991,0.0,0.4823423845036109,0.0,0.9103860828065273,0.0001880313673981343,14.561357323225856,0.07933314060126961,0.07914692157631031,7.33743465063562e-91,0.28166139352291303,0.6284113269885991,0.4823423845036109
ALPDX FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,10,4946,0.2672498708342726,1.1839052561208396e-81,0.6070495150050238,0.0,0.47276539967287634,0.0,0.8454120826347378,17.778791700307483,15.28017882905599,0.07142249346093488,0.07123467438598763,1.1839052561225229e-81,0.2672498708342726,0.6070495150050238,0.47276539967287634
ALPDX FP Equity_DX_SHORT_INTEREST_VALUE,10,4946,0.24601466440090278,4.3339917566858213e-69,0.6279048659325769,0.0,0.4819181367418188,0.0,0.9082021475378204,0.00010689860856260154,14.74903676710786,0.060523215100288685,0.060333191478747494,4.333991756686123e-69,0.24601466440090278,0.6279048659325769,0.4819181367418188
ALPDX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,4946,0.2395282959913746,1.7431969875381774e-65,0.5571033973730217,0.0,0.4274364646992612,0.0,0.5854020733781509,103.1709640045171,15.22706967735433,0.05737380458053065,0.05718314394229862,1.743196987535652e-65,0.2395282959913746,0.5571033973730217,0.4274364646992612
ALPDX FP Equity_DX_BROKER_SI_QTY,10,4946,0.1178621214496613,9.106823521525369e-17,0.5946804541563541,0.0,0.4446186775012617,0.0,0.9391528934868365,0.0015581441563439972,15.787624574644667,0.013891479672616058,0.01369202406575376,9.106823521532532e-17,0.1178621214496613,0.5946804541563541,0.4446186775012617
ALPDX FP Equity_DX_SUPPLY_SI_QTY,10,4946,0.11278370964108055,1.788154646825532e-15,0.6036483368177539,0.0,0.4513585834552466,0.0,0.9616272414110911,0.0012848279373537169,15.892929716315166,0.01272016516040475,0.012520472637176705,1.7881546468262304e-15,0.11278370964108055,0.6036483368177539,0.4513585834552466
ALPDX FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,4946,0.10242867598379145,5.16974181813898e-13,0.6053244101729038,0.0,0.45688634412529716,0.0,0.6961095955689083,1.0028716492562075,16.272388037099713,0.010491633663792577,0.010291490385812008,5.169741818137493e-13,0.10242867598379145,0.6053244101729038,0.45688634412529716
ALPDX FP Equity_DX_SI_QTY,10,4946,0.10215353807614033,5.965741544892467e-13,0.5992038735882621,0.0,0.44654601906979424,0.0,0.942339178958274,0.0007718329472572602,15.950319429195371,0.01043534534147339,0.010235190678314354,5.965741544891812e-13,0.10215353807614033,0.5992038735882621,0.44654601906979424
ALPDX FP Equity_DX_BROKER_SI_MV_DEC,10,4946,0.08080946193070378,1.2627955055735749e-08,0.1525529349025411,3.871181871270208e-27,0.12445661229977874,5.961887223464849e-27,0.030137622304792,254.63873450527947,16.558971090597943,0.0065301691375299065,0.006329224592452554,1.262795505573554e-08,0.08080946193070378,0.1525529349025411,0.12445661229977874
ALPDX FP Equity_DX_BROKER_SI_MV_ADD,10,4946,0.07316753296655715,2.586641312967183e-07,0.10483559331560603,1.4532575390064724e-13,0.08552313740740586,1.6662436375260605e-13,0.02006724875539523,254.47018690702225,16.613106747644938,0.005353487880412566,0.005152305333462781,2.5866413129668474e-07,0.07316753296655715,0.10483559331560603,0.08552313740740586
ALPDX FP Equity_DX_SUPPLY_SI_MV_RMV,10,4946,0.06492608006081688,4.882449190865725e-06,0.0323960141648791,0.022704980399291023,0.026478326363496636,0.022733590945507993,0.00617891027492079,1822.2705916618554,16.704621726361438,0.004215395872064209,0.004013983128510867,4.882449190866267e-06,0.06492608006081688,0.0323960141648791,0.026478326363496636
ALPDX FP Equity_DX_SUPPLY_SI_QTY_NEW_y,10,4946,0.055190264585443974,0.00010301061425075907,0.03246699681599894,0.02240932604052622,0.02654165786817123,0.02241090200925182,0.006358401030350569,0.19211803266243832,16.712932649676883,0.0030459653050110003,0.0028443160261487632,0.00010301061425076548,0.055190264585443974,0.03246699681599894,0.02654165786817123
ALPDX FP Equity_DX_SUPPLY_SI_QTY_NEW_x,10,4946,0.055190264585443974,0.00010301061425075907,0.03246699681599894,0.02240932604052622,0.02654165786817123,0.02241090200925182,0.006358401030350569,0.19211803266243832,16.712932649676883,0.0030459653050110003,0.0028443160261487632,0.00010301061425076548,0.055190264585443974,0.03246699681599894,0.02654165786817123
ALPDX FP Equity_DX_UTILIZATION_QUANTITY,10,4946,0.05323958631379207,0.000179724227583179,0.5986341424071222,0.0,0.43265948171238,0.0,0.9197801742751222,0.071175584392279,16.307681316492154,0.0028344535508646462,0.002632761490498736,0.00017972422758314195,0.05323958631379207,0.5986341424071222,0.43265948171238
ALPDX FP Equity_DX_SUPPLY_SI_MV_DEC,10,4946,0.05094850725186559,0.00033770011263528605,0.15347754400439703,1.8801918810928133e-27,0.12519618760568144,2.925577534561708e-27,0.031693784612035536,81.80069004285083,16.661280047638673,0.0025957503911925306,0.0023940100494431737,0.0003377001126352671,0.05094850725186559,0.15347754400439703,0.12519618760568144
ALPDX FP Equity_DX_SUPPLY_SI_MV_NEW,10,4946,0.050159280284434185,0.0004172565419876282,0.023888866309573993,0.09298328002531514,0.01952809524207755,0.09298034337269391,0.006354327962566408,1759.5954600605846,16.71618159757331,0.0025159533986532923,0.0023141969167355114,0.0004172565419875518,0.050159280284434185,0.023888866309573993,0.01952809524207755
ALPDX FP Equity_DX_BROKER_SI_MV_INC_y,10,4946,0.040919122783560406,0.003999133455537096,0.08536689940559525,1.8197743460240031e-09,0.069687286752381,1.9215055095030365e-09,0.013379992724307455,262.4823071204811,16.670443387172252,0.0016743746093773604,0.001472447905212615,0.003999133455537314,0.040919122783560406,0.08536689940559525,0.069687286752381
ALPDX FP Equity_DX_BROKER_SI_MV_INC_x,10,4946,0.040919122783560406,0.003999133455537096,0.08536689940559525,1.8197743460240031e-09,0.069687286752381,1.9215055095030365e-09,0.013379992724307455,262.4823071204811,16.670443387172252,0.0016743746093773604,0.001472447905212615,0.003999133455537314,0.040919122783560406,0.08536689940559525,0.069687286752381
ALPDX FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,10,4946,0.04087358368546126,0.004039965251948874,0.012664775138044823,0.37319939850454986,0.010349791265172765,0.3732169344869667,0.006288585376717171,0.06763725058968263,16.710596769893957,0.001670649843292682,0.0014687223857366982,0.004039965251948927,0.04087358368546126,0.012664775138044823,0.010349791265172765
ALPDX FP Equity_DX_DEMAND_SUPPLY_RATIO,10,4946,0.03931875319837392,0.005682305878587759,0.5932880554184045,0.0,0.42903113352041167,0.0,0.8854702874476446,2.847411963229554,16.430621193520025,0.001545964353074969,0.0013440116759618759,0.005682305878588209,0.03931875319837392,0.5932880554184045,0.42903113352041167
ALPDX FP Equity_DX_SUPPLY_SI_QTY_ADD,10,4946,0.03230507981236041,0.023088683595824333,0.12813887677292188,1.4726779181656766e-19,0.10446178122444383,1.8006962633895126e-19,0.023853899714453508,0.0019136291564332715,16.689623040803113,0.0010436181816831924,0.0008415638973348072,0.023088683595823646,0.03230507981236041,0.12813887677292188,0.10446178122444383
ALPDX FP Equity_DX_SUPPLY_SI_QTY_DEC,10,4946,0.027374224997008905,0.054223948874019406,0.19491427849433973,1.5171155801525878e-43,0.15794917014175214,6.403948502046472e-43,0.04508145150942622,0.001338434627600886,16.68047214783962,0.0007493481941868163,0.0005472343892098941,0.0542239488740226,0.027374224997008905,0.19491427849433973,0.15794917014175214
ALPDX FP Equity_DX_BROKER_SI_QTY_DEC,10,4946,0.02376167671565679,0.0947374699396559,0.1813857678801705,7.552780275343972e-38,0.14727659400648918,1.7530601503508773e-37,0.034584815237114874,0.0015828718637976532,16.680798330104956,0.0005646172803397409,0.0003624661106957916,0.09473746993964878,0.02376167671565679,0.1813857678801705,0.14727659400648918
