feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALSEN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,2690,-0.5077352912226505,2.9179243641278176e-176,-0.4634395201939557,2.464988226330159e-143,-0.3786325423987123,9.058933093583367e-128,0.28913454916625625,-0.03607669816504429,5.230213929631129,0.2577951259529495,0.25751900806825945,2.9179243641363042e-176,0.5077352912226505,0.4634395201939557,0.3786325423987123
ALSEN FP Equity_DX_ACTIVE_UTILIZATION_MV,10,2690,-0.5077045341168347,3.087887749370559e-176,-0.4634395201939557,2.464988226330159e-143,-0.3786325423987123,9.058933093583367e-128,0.2891559740494465,-0.03607419041861461,5.229959364125104,0.2577638939627921,0.2574877644590581,3.0878877493638146e-176,0.5077045341168347,0.4634395201939557,0.3786325423987123
ALSEN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,2690,-0.4058090413485421,3.528866782200823e-107,-0.10453738281774613,5.503424444103562e-08,-0.04705444807790958,0.0005405632768871961,1.011787376709138,-0.03299947317996955,4.5861995178810835,0.16468097804022264,0.16437021947550556,3.5288667821991544e-107,0.4058090413485421,0.10453738281774613,0.04705444807790958
ALSEN FP Equity_DX_SI_QTY,10,2690,-0.3375961316346614,1.0652971593436155e-72,-0.6497775854892893,1.6e-322,-0.48729953916025404,8.508163461522372e-297,1.435246348560173,-9.043339583910687e-06,3.219726484745327,0.11397114809468756,0.11364152426585383,1.0652971593433119e-72,0.3375961316346614,0.6497775854892893,0.48729953916025404
ALSEN FP Equity_DX_BROKER_SI_CON_RATIO,10,2690,-0.3358485275038552,6.375514088674503e-72,-0.09917249059537364,2.550957710138683e-07,-0.04535418137689835,0.0008534481011284161,1.0524044496097864,-2.723035375992143,4.091931146792529,0.11279423342650752,0.11246417175739543,6.375514088670579e-72,0.3358485275038552,0.09917249059537364,0.04535418137689835
ALSEN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,10,2690,-0.33040249283288,1.562565711879084e-69,-0.5375798186368506,2.374686407673907e-201,-0.41205524633549234,3.9331805032364574e-191,0.8961145919983751,-0.08098560287624922,3.4072999644511577,0.10916580727018121,0.10883439574014786,1.5625657118792907e-69,0.33040249283288,0.5375798186368506,0.41205524633549234
ALSEN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,2690,-0.32244617563057454,3.9614540393862746e-66,-0.4303676709272421,9.851661982807406e-122,-0.30642613086599074,4.976828036930114e-111,1.0099031554560165,-10.798011482750168,3.3459998399261033,0.10397153617878307,0.10363819225623061,3.9614540393882607e-66,0.32244617563057454,0.4303676709272421,0.30642613086599074
ALSEN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,10,2690,-0.31102711170870656,2.0260325480019605e-61,-0.43028301655473533,1.1111838053794687e-121,-0.2987367891367012,7.022745280224674e-109,1.284225027039637,-3.0763103911117735,3.2225480955311023,0.09673786421786001,0.09640182919710782,2.0260325480012928e-61,0.31102711170870656,0.43028301655473533,0.2987367891367012
ALSEN FP Equity_DX_BROKER_SI_QTY,10,2690,-0.3031400203254635,2.7514377122172932e-58,-0.675403302522516,0.0,-0.5124029484517628,0.0,1.401060946618843,-9.860589005401333e-06,3.082883048192167,0.09189387192292231,0.09155603482170327,2.7514377122180474e-58,0.3031400203254635,0.675403302522516,0.5124029484517628
ALSEN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,2690,-0.2838017812175677,5.2274864098414895e-51,-0.6275926345357739,1.4297007115584619e-294,-0.4743195117541493,1.0396812412626511e-278,1.0324469702069154,-0.4160342199150143,3.0617891918831996,0.08054345102226423,0.08020139129422199,5.227486409842956e-51,0.2838017812175677,0.6275926345357739,0.4743195117541493
ALSEN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,2690,-0.25402265590674167,7.00961910262969e-41,-0.5263433723444775,1.3098348262013111e-191,-0.3583187776304966,1.0515955785054813e-162,1.2998627539076382,-1.486975551940859e-05,3.068994838798097,0.06452750971391485,0.06417949167437398,7.009619102628453e-41,0.25402265590674167,0.5263433723444775,0.3583187776304966
ALSEN FP Equity_DX_SUPPLY_SI_QTY,10,2690,-0.25169951258157214,3.821563772039837e-40,-0.632262558847291,2.8754171881882674e-300,-0.46871795693162016,1.1186657349324796e-265,1.3858347320131292,-9.028001528281454e-06,2.9446494400551253,0.06335264463380086,0.06300418951647724,3.821563772037523e-40,0.25169951258157214,0.632262558847291,0.46871795693162016
ALSEN FP Equity_DX_SI_MV,10,2690,-0.24893980443074856,2.8010731308432783e-39,-0.4883293066725989,3.0814053532766103e-161,-0.3592525606460795,4.6586892704731475e-149,0.919210451922019,-8.298581264817834,3.0564931726274214,0.06197102623001949,0.061622057117753926,2.8010731308456692e-39,0.24893980443074856,0.4883293066725989,0.3592525606460795
