feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
AM3A FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,3827,0.4004053032059996,2.3485750174384743e-147,0.578218804437614,0.0,0.4664655431868025,0.0,0.6870404390008431,1.9009643340707358e-06,208.2456261673105,0.16032440683548843,0.16010488380459587,2.3485750174463115e-147,0.4004053032059996,0.578218804437614,0.4664655431868025
AM3A FP Equity_DX_BROKER_SI_QTY,10,3827,0.4003624790643559,2.539633869170881e-147,0.5759325100141749,0.0,0.46190672787702053,5.12346734188545e-299,0.6004951212925349,0.00046648905698067755,208.21968003211305,0.16029011464255682,0.16007058264638507,2.539633869068858e-147,0.4003624790643559,0.5759325100141749,0.46190672787702053
AM3A FP Equity_DX_SHORT_INTEREST_VALUE,10,3827,0.40035017417876095,2.5973471940061807e-147,0.5782024445704935,0.0,0.4665263078251872,0.0,0.6825395647218016,1.9008617026448573e-06,208.2429523258448,0.1602802619649647,0.16006072739292942,2.597347194078154e-147,0.40035017417876095,0.5782024445704935,0.4665263078251872
AM3A FP Equity_DX_SI_QTY,10,3827,0.4002902185383789,2.8978398625931137e-147,0.5758484141892505,0.0,0.46197873345735874,4.118471361398978e-299,0.596229143217063,0.00046645198051033026,208.21660004119943,0.16023225905750327,0.16001271193568833,2.897839862452379e-147,0.4002902185383789,0.5758484141892505,0.46197873345735874
AM3A FP Equity_DX_SI_MV,10,3827,0.4002739077877235,2.98543065253834e-147,0.5831259448430501,0.0,0.47119815010523014,0.0,0.6757256687431095,1.8998340773157576,208.2439415841015,0.16021920125565492,0.15999965072003552,2.985430652493984e-147,0.4002739077877235,0.5831259448430501,0.47119815010523014
AM3A FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,3827,0.4000876449241793,4.1941229190330936e-147,0.5804584512181613,0.0,0.46156566075682504,3.8017272550847393e-305,0.7018546115226918,5.289694058537872,208.17357381661367,0.16007012362097617,0.15985053411081174,4.1941229190974886e-147,0.4000876449241793,0.5804584512181613,0.46156566075682504
AM3A FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,3827,0.3942264059524787,1.6603561254418548e-142,0.575995173498657,0.0,0.4574709151546542,2.8743538931689453e-301,0.6403309562208166,0.6036423374861851,208.39865149707026,0.15541445915020835,0.1551936524728621,1.6603561253456185e-142,0.3942264059524787,0.575995173498657,0.4574709151546542
AM3A FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,3827,0.3460303019918693,4.38516489712793e-108,0.5225851673466312,2.936709093783094e-267,0.4270027212328603,9.739368807192512e-236,0.39224853711881713,0.22565476648563623,207.18684689092836,0.11973696989658433,0.11950683577106713,4.385164897331729e-108,0.3460303019918693,0.5225851673466312,0.4270027212328603
AM3A FP Equity_DX_BROKER_SI_CON_RATIO,10,3827,0.34528242746032795,1.3508819160876807e-107,0.522650181302468,2.4555886345296123e-267,0.4271392939470125,7.75141952852832e-236,0.39097626734475033,22.581924762915428,207.2046549480668,0.1192199547128967,0.11898968542001132,1.350881916174464e-107,0.34528242746032795,0.522650181302468,0.4271392939470125
AM3A FP Equity_DX_DEMAND_SUPPLY_RATIO,10,3827,0.15040534963477062,8.383037434770381e-21,0.29138248896197644,8.915011057773129e-76,0.23538366599763705,1.9280311712165023e-75,0.27196173558600667,0.018951108971007408,212.33600034124578,0.02262176919875747,0.022366245478286695,8.383037434699603e-21,0.15040534963477062,0.29138248896197644,0.23538366599763705
AM3A FP Equity_DX_BROKER_SI_MV_RMV,10,3827,-0.07106404110799686,1.0807898803788576e-05,0.005640956544625348,0.7271990193983915,0.004602773887395145,0.7273392239646348,0.0,-21.403291527517474,213.14528040328562,0.0050500979385992295,0.0047899803171453925,1.080789880379649e-05,0.07106404110799686,0.005640956544625348,0.004602773887395145
AM3A FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,3827,0.05593424118903645,0.0005365240836941142,0.23713869996582163,4.582095739781151e-50,0.1864972219089334,8.250759229382775e-49,0.37274089391887477,12.505070198191005,212.65405191820048,0.0031286393373933796,0.0028680193738215287,0.0005365240836950594,0.05593424118903645,0.23713869996582163,0.1864972219089334
AM3A FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,3827,0.055188791713231204,0.0006363736214287096,0.2018046875414312,1.858430978222343e-36,0.16676584516085777,1.0657879897499842e-41,0.5950991641455461,1.2364108656848517e-05,212.66054496655428,0.003045802730766378,0.0027851611105653706,0.0006363736214287228,0.055188791713231204,0.2018046875414312,0.16676584516085777
AM3A FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,3827,0.0520169914625118,0.0012861953015104585,0.18973707623883534,2.3803864812352215e-32,0.14916910012566786,1.319455771483655e-32,0.42864723417113737,0.0026485551465256028,212.67325352690816,0.0027057674008111876,0.0024450368824846525,0.0012861953015088927,0.0520169914625118,0.18973707623883534,0.14916910012566786
AM3A FP Equity_DX_SUPPLY_SI_QTY,10,3827,-0.04950720416723343,0.0021874234456045628,-0.016903992955438492,0.29581014577843645,-0.013684782159858433,0.2973649916723681,0.05332148123300828,-0.024951695439785697,213.28322743922735,0.002450963264456596,0.0021901661306695797,0.002187423445602742,0.04950720416723343,0.016903992955438492,0.013684782159858433
AM3A FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,3827,-0.046609754693484814,0.003926174579984986,-0.0167107795543556,0.3013656439532679,-0.013384617014439071,0.30740136908323856,0.0644353562569755,-0.00011447328669119859,213.2744679565653,0.002172469232586849,0.001911599289902699,0.003926174579984532,0.046609754693484814,0.0167107795543556,0.013384617014439071
AM3A FP Equity_DX_SUPPLY_SI_MV,10,3827,-0.04383185800857555,0.006688325883402475,-0.0021961032258356176,0.8919692953681619,-0.0019546473997122077,0.8817957608161981,0.04484492411998309,-109.13071344204629,213.264068666816,0.001921231776483956,0.001660296150804652,0.006688325883411383,0.04383185800857555,0.0021961032258356176,0.0019546473997122077
AM3A FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,3827,-0.04244000946028493,0.008645039752152727,-0.0172327121828073,0.2865168343054574,-0.014046277954136313,0.2866635191711733,0.0378428821800223,-0.07417617944382195,213.29861943286667,0.0018011544029892246,0.0015401873845325431,0.008645039752156055,0.04244000946028493,0.0172327121828073,0.014046277954136313
AM3A FP Equity_DX_ACTIVE_UTILIZATION_MV,10,3827,-0.042435572944425425,0.008652019544084472,-0.017232402733096164,0.28652548911475895,-0.014042591274029353,0.28674466892143513,0.03780345084086845,-0.07416701509509852,213.29859855333044,0.0018007778511216488,0.0015398107342200484,0.008652019544071188,0.042435572944425425,0.017232402733096164,0.014042591274029353
