feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
APX FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,4276,0.4365577298627668,1.6243370330028893e-198,0.4669719368664014,1.3339874322466448e-230,0.33090756417604283,2.9869420324279592e-192,0.8990062304068074,2.5487408347530592e-06,84.4782689013109,0.1905826515029322,0.19039326981166016,1.6243370330104785e-198,0.4365577298627668,0.4669719368664014,0.33090756417604283
APX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,4276,0.4361089733041629,4.5713377623056135e-198,0.3906491858261074,6.482671676462138e-156,0.2845092848889569,9.660678004203183e-139,0.8282617394735308,2.6271004741150747,84.41013448911038,0.1901910365964108,0.19000156327787932,4.5713377623419266e-198,0.4361089733041629,0.3906491858261074,0.2845092848889569
APX FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,4276,0.4151706272021866,7.718864880196992e-178,0.4330188681607041,5.444934061815774e-195,0.30741175256475894,6.949367743559653e-165,0.9343588524356123,0.00028864425385936236,84.59819387460415,0.17236664969145699,0.17217300595015883,7.718864880288552e-178,0.4151706272021866,0.4330188681607041,0.30741175256475894
APX FP Equity_DX_BROKER_SI_CON_RATIO,10,4276,-0.26269682654977256,2.0024360209800446e-68,-0.2769235753232346,3.926134362201102e-76,-0.22255429472058286,4.993091763092327e-75,0.23244995424514947,-20.10033010088648,95.35501550905727,0.06900962267932109,0.06879179619889986,2.0024360209917975e-68,0.26269682654977256,0.2769235753232346,0.22255429472058286
APX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,4276,-0.26207479436102243,4.245523642879593e-68,-0.2747684156553608,6.190144863378727e-75,-0.2204485072962415,7.628624118989983e-74,0.24371299894739984,-0.19894781185228133,95.37097187023136,0.06868319783937182,0.06846529498439746,4.245523642883681e-68,0.26207479436102243,0.2747684156553608,0.2204485072962415
APX FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,4276,-0.24458636482197185,2.7922254400635225e-59,-0.30966095892699397,1.095497752074622e-95,-0.24491541725542745,2.781481465676246e-96,0.5452144902833465,-6.893693592142238,93.24699912448872,0.05982248985682681,0.0596025138366717,2.792225440067416e-59,0.24458636482197185,0.30966095892699397,0.24491541725542745
APX FP Equity_DX_DSS,10,4276,-0.22901140070271211,5.33690577057291e-52,-0.2745249818959509,8.439345498148795e-75,-0.22358256337649102,9.63532042417122e-73,0.10952984998912485,-10.832870954279189,92.38977681733319,0.052446221651818226,0.05222451978510134,5.3369057705224684e-52,0.22901140070271211,0.2745249818959509,0.22358256337649102
APX FP Equity_DX_DEMAND_SUPPLY_RATIO,10,4276,-0.15506730358884493,2.007200691264032e-24,-0.2613958909609621,9.619141277022766e-68,-0.20917659809323863,1.0140953826249873e-66,0.26317866000955736,-0.5223155174535415,91.96495184846307,0.02404586864231506,0.023817521863803703,2.007200691260242e-24,0.15506730358884493,0.2613958909609621,0.20917659809323863
APX FP Equity_DX_BROKER_SI_QTY,10,4276,-0.08850821513081149,6.7374973724001485e-09,-0.28088863120051855,2.301272754807892e-78,-0.21651077407882532,1.3616765345153065e-75,0.501966574366459,-0.00019734274863992225,91.67498557384083,0.007833704145641773,0.007601564160650165,6.7374973724010295e-09,0.08850821513081149,0.28088863120051855,0.21651077407882532
APX FP Equity_DX_SI_QTY,10,4276,-0.08783309462761149,8.770101269323862e-09,-0.28079960468129417,2.5851633201385315e-78,-0.21643813942287116,1.525569793972718e-75,0.5027337210188607,-0.00019555343984525172,91.67247556232805,0.007714652511862652,0.007482484672019951,8.770101269325265e-09,0.08783309462761149,0.28079960468129417,0.21643813942287116
