feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ARTO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,2633,0.16170347652599967,6.912900850172228e-17,0.28759831438785494,2.552781299868042e-51,0.22483414016713918,9.860545605402568e-50,0.5194726200995365,9447.407593759794,4297.975753427675,0.02614801432059466,0.02577786913409552,6.912900850172205e-17,0.16170347652599967,0.28759831438785494,0.22483414016713918
ARTO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,2633,0.15973068967916168,1.6471512165681474e-16,0.28698598184830865,4.2366587400568655e-51,0.22338910870936682,3.890115374786931e-50,0.6189137898664727,0.0093528216364017,4300.382169381416,0.02551389322538067,0.025143507019841138,1.6471512165743298e-16,0.15973068967916168,0.28698598184830865,0.22338910870936682
ARTO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,2633,0.0983355930703644,4.2874209244705947e-07,0.27583286377435423,3.4585421297526304e-47,0.21170917987279844,2.7630532822297655e-44,0.5479284607438386,29.239828380100022,4378.4285098064465,0.009669888864500265,0.009293480612453386,4.2874209244649413e-07,0.0983355930703644,0.27583286377435423,0.21170917987279844
ARTO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,2633,0.004457765110212768,0.8191543452335428,0.006807503193863708,0.7269767033729722,0.005595887359539059,0.7257280886527461,0.007554798585772238,4.205473900717245,4499.345670523603,1.9871669777349332e-05,-0.0003602043957224854,0.8191543452335632,0.004457765110212768,0.006807503193863708,0.005595887359539059
ARTO FP Equity_DX_BROKER_SI_CON_RATIO,10,2633,0.004456982821968188,0.8191855329487465,0.006807094055766605,0.7269924567741913,0.0055880197073085265,0.7261314601429412,0.0094763490637777,434.1390753020246,4499.345755141416,1.986469587478279e-05,-0.00036021137227582045,0.8191855329487402,0.004456982821968188,0.006807094055766605,0.0055880197073085265
ARTO FP Equity_DX_SI_QTY,10,2633,0.004456944171525381,0.8191870738447147,0.006806639265598581,0.7270099680923132,0.005572808948871193,0.7269382957092543,0.009482084355142195,21.73209072452672,4499.345759421392,1.9864351347931297e-05,-0.0003602117169334562,0.8191870738447256,0.004456944171525381,0.006806639265598581,0.005572808948871193
ARTO FP Equity_DX_BROKER_SI_QTY,10,2633,0.004456944171525381,0.8191870738447147,0.006806639265598581,0.7270099680923132,0.005572808948871193,0.7269382957092543,0.009482084355142195,21.73209072452672,4499.345759421392,1.9864351347931297e-05,-0.0003602117169334562,0.8191870738447256,0.004456944171525381,0.006806639265598581,0.005572808948871193
ARTO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,10,2633,0.004456944171525381,0.8191870738447147,0.006806639265598581,0.7270099680923132,0.005572808948871193,0.7269382957092543,0.009482084355142195,2414.676747169642,4499.345759421392,1.9864351347931297e-05,-0.0003602117169334562,0.819187073844725,0.004456944171525381,0.006806639265598581,0.005572808948871193
ARTO FP Equity_DX_DEMAND_SUPPLY_RATIO,10,2633,0.004456944171525377,0.8191870738447147,0.006806639265598581,0.7270099680923132,0.005572808948871193,0.7269382957092543,0.009482084355142195,478.15381132072673,4499.345759421393,1.9864351347931297e-05,-0.0003602117169334562,0.8191870738447212,0.004456944171525377,0.006806639265598581,0.005572808948871193
ARTO FP Equity_DX_SI_MV,10,2633,0.004456944171525377,0.8191870738447147,0.006806639265598581,0.7270099680923132,0.005572808948871193,0.7269382957092543,0.009482084355142195,4346.418144905125,4499.345759421394,1.9864351347931297e-05,-0.0003602117169334562,0.8191870738447335,0.004456944171525377,0.006806639265598581,0.005572808948871193
