feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
BNKE FP Equity_DX_SUPPLY_SI_MV,10,3038,0.3580028605008015,1.528883927948092e-92,0.1734524606243938,6.0018703772884485e-22,0.1278112580052082,4.417851926548084e-22,0.4436576825068279,2.086343873925608,101.07006611087637,0.12816604812675614,0.1278788827934646,1.5288839279504797e-92,0.3580028605008015,0.1734524606243938,0.1278112580052082
BNKE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,3038,0.3575103388849968,2.8274563504733754e-92,0.1826364490796549,3.386145337344155e-24,0.13447611524865735,2.1552607172533314e-24,0.45356610277082154,2.0880081608299603e-06,101.06231275848987,0.12781364240966508,0.12752636100070913,2.8274563504795113e-92,0.3575103388849968,0.1826364490796549,0.13447611524865735
BNKE FP Equity_DX_SHORT_INTEREST_VALUE,10,3038,0.3437109877418943,5.523571640546585e-85,0.23239544316215213,1.5469501206626903e-38,0.16184929115675634,1.1058136049542912e-38,0.43016943997559176,1.3269008179707616e-06,100.45349181545008,0.11813724309450835,0.11784677446575165,5.523571640549551e-85,0.3437109877418943,0.23239544316215213,0.16184929115675634
BNKE FP Equity_DX_SI_MV,10,3038,0.3408918329449709,1.5382332331113346e-83,0.22779754694423154,4.687927526240998e-37,0.15933904824523587,2.4585194132818355e-37,0.4306217353298454,1.3098819398603452,100.5045814108048,0.11620724176858199,0.11591613743451368,1.5382332331105521e-83,0.3408918329449709,0.22779754694423154,0.15933904824523587
BNKE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,3038,0.28540429717014093,4.894629111466758e-58,0.20544581429667405,2.5975991766985882e-30,0.14222917181815928,5.180315737900453e-30,0.4810886062990116,1.879065905413344e-06,101.46355133522196,0.08145561284318181,0.08115306199102212,4.8946291114676e-58,0.28540429717014093,0.20544581429667405,0.14222917181815928
BNKE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,3038,0.25168260238646994,4.133706881378873e-45,0.17306668451498808,7.414635614799715e-22,0.12311672638875755,1.1675932565459427e-22,0.48850387565096876,10.930850308000972,101.28044706284402,0.06334413234402558,0.06303561591857898,4.1337068813812147e-45,0.25168260238646994,0.17306668451498808,0.12311672638875755
BNKE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,3038,0.24235013262050575,7.4082916093059e-42,0.22754116993934673,5.657596270232609e-37,0.15778284121020977,2.3541675670037646e-36,0.36380842682073,2.28053478895889,102.50121765031511,0.05873358678117635,0.05842355173070901,7.408291609317339e-42,0.24235013262050575,0.22754116993934673,0.15778284121020977
BNKE FP Equity_DX_SUPPLY_SI_MV_DEC,10,3038,0.19876524967606507,1.9265381104974793e-28,0.19367141924273576,4.639927655034485e-27,0.15251901918884217,1.2313266974844532e-26,0.05145630736299811,4.41460432420888,104.99468439135465,0.03950762447878842,0.039191256766166194,1.9265381104996897e-28,0.19876524967606507,0.19367141924273576,0.15251901918884217
BNKE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,3038,0.19134146267396504,1.9312383889416882e-26,0.21720066443038374,9.166899020955468e-34,0.15593741010572884,1.395890304225681e-32,0.598974251563579,2.5702215759060515e-07,103.65549302191248,0.036611555338212254,0.03629423371612339,1.931238388942672e-26,0.19134146267396504,0.21720066443038374,0.15593741010572884
BNKE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,3038,0.1897854908206633,4.954599536506197e-26,0.2173694451200186,8.149648325059803e-34,0.1564090046014801,9.846158447915124e-33,0.5758917424267924,0.2558203164262329,103.67876684881242,0.03601853252603937,0.03570101557364347,4.9545995365003434e-26,0.1897854908206633,0.2173694451200186,0.1564090046014801
BNKE FP Equity_DX_SUPPLY_SI_QTY,10,3038,0.18447682646428928,1.1600811288546346e-24,0.14538571618751372,8.08548128790734e-16,0.10816337469676957,2.556572244272128e-16,0.48223985501032685,0.0001378934681838085,103.6563598013412,0.0340316995023352,0.03371352812535977,1.160081128854284e-24,0.18447682646428928,0.14538571618751372,0.10816337469676957
BNKE FP Equity_DX_SI_QTY,10,3038,0.1796374970306194,1.8936714534877318e-23,0.16384814680185542,1.0017436970346516e-19,0.11396931972559456,6.080792665820799e-20,0.43051812449968674,9.082797130592286e-05,103.13775264596931,0.032269630339425204,0.03195087857076229,1.8936714534894377e-23,0.1796374970306194,0.16384814680185542,0.11396931972559456
