feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
CBOT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,4990,-0.20256215328166108,2.314717598925347e-47,-0.16750531600910032,1.002211410855265e-32,-0.12689915396627408,4.002115929833373e-33,0.4165097971364782,-0.3580633954519953,3.5277043461782474,0.041031425942103406,0.04083917081498667,2.314717598920376e-47,0.20256215328166108,0.16750531600910032,0.12689915396627408
CBOT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,4990,0.17757366917127604,1.2507308786642526e-36,0.2888335214170258,1.7322071735209627e-96,0.21227107693111671,2.036392603219163e-101,0.9040724145174304,0.18051522821863103,3.3394292420363176,0.03153240798294932,0.031338248481742936,1.2507308786770899e-36,0.17757366917127604,0.2888335214170258,0.21227107693111671
CBOT FP Equity_DX_DEMAND_SUPPLY_RATIO,10,4990,-0.17170507912894623,2.5212144446992956e-34,-0.14253631634024114,4.600306045171583e-24,-0.10990334254639712,2.829899091781001e-25,0.5996567034665952,-2.801823750726378,3.524832631475215,0.029482634198678692,0.029288063756456983,2.5212144446651715e-34,0.17170507912894623,0.14253631634024114,0.10990334254639712
CBOT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,4990,0.16690816998395544,1.6788205616316976e-32,0.2724517649373368,1.1895093325144783e-85,0.2035858876715789,2.351701284017607e-94,0.979256245944951,1.7380635922853192e-07,3.3508969753997557,0.02785833720739317,0.02766344112423491,1.6788205616249817e-32,0.16690816998395544,0.2724517649373368,0.2035858876715789
CBOT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,4990,0.1418403770109419,7.649915507155325e-24,0.22936597166906975,1.4292918708448717e-60,0.15979549555997816,3.306691593294807e-58,0.9821948422148807,5.350308555182577e-07,3.3622874920562675,0.020118692550605832,0.019922244814549295,7.649915507152898e-24,0.1418403770109419,0.22936597166906975,0.15979549555997816
CBOT FP Equity_DX_UTILIZATION_QUANTITY,10,4990,-0.1329755977136385,3.987095758175723e-21,-0.06007392764670423,2.1724207469330406e-05,-0.045991203533450514,2.0423573296932527e-05,0.5434167463165358,-0.025112654013328965,3.5019659368572613,0.017682509587297557,0.017485573442467373,3.987095758130715e-21,0.1329755977136385,0.06007392764670423,0.045991203533450514
CBOT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,4990,-0.13228683770994737,6.372311156916596e-21,-0.15819996894814914,2.4985207201243742e-29,-0.1278609621190877,6.949867492150668e-32,0.2950977300232691,-4.737414550949809,3.51285254420153,0.017499807431297643,0.017302834658128208,6.372311156928258e-21,0.13228683770994737,0.15819996894814914,0.1278609621190877
CBOT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,10,4990,-0.13095327992937028,1.5686736202228602e-20,-0.15578097746069752,1.7689486774686214e-28,-0.12387818066505363,2.1410824095422028e-30,0.3049336803842779,-3.5993436556338967,3.510794755115061,0.017148761524258926,0.01695171837300069,1.5686736202239394e-20,0.13095327992937028,0.15578097746069752,0.12387818066505363
CBOT FP Equity_DX_SI_QTY,10,4990,-0.13084987513997207,1.681517712609611e-20,-0.141810611223009,7.817695463846953e-24,-0.11051138082161899,1.90063722091798e-25,0.5939025128161446,-1.464815033768622e-05,3.510490861151964,0.017121689824146746,0.01692464124552273,1.68151771260036e-20,0.13084987513997207,0.141810611223009,0.11051138082161899
CBOT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,4990,-0.10779616508696811,2.25711852361762e-14,-0.06646419187541554,2.613795329439274e-06,-0.05304297549814261,4.0217563928350385e-06,0.11731284012430288,-0.0018238155871422895,3.5129055242683433,0.011620013207458313,0.01142186164635306,2.2571185236197694e-14,0.10779616508696811,0.06646419187541554,0.05304297549814261
