feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
CE8 FP Equity_DX_ACTIVE_UTILIZATION_MV,10,4138,0.4318241686636121,1.282555175021155e-187,0.40610202216718094,4.162626962915977e-164,0.33162930010758424,2.1450305760694545e-150,0.17967034859800446,2.1410113297888747,259.36533073792674,0.1864721126420199,0.18627541827853877,1.2825551750117933e-187,0.4318241686636121,0.40610202216718094,0.33162930010758424
CE8 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,4138,0.4318241686636121,1.282555175021155e-187,0.40610202216718094,4.162626962915977e-164,0.33162930010758424,2.1450305760694545e-150,0.17967034859800446,2.1410113297888747,259.36533073792674,0.1864721126420199,0.18627541827853877,1.2825551750117933e-187,0.4318241686636121,0.40610202216718094,0.33162930010758424
CE8 FP Equity_DX_UTILIZATION_QUANTITY,10,4138,0.39285550616812087,8.80120953049672e-153,0.4027254686866885,3.5925695035089246e-161,0.3163329069065133,3.474643047963946e-143,0.312649346684595,2.3481047038452982,262.63584798179903,0.15433544872661042,0.15413098437668948,8.801209530458649e-153,0.39285550616812087,0.4027254686866885,0.3163329069065133
CE8 FP Equity_DX_DEMAND_SUPPLY_RATIO,10,4138,0.33424762235032934,1.4736530708889824e-108,0.39963245674926856,1.6411786144220118e-158,0.3107774695359719,5.424306936612442e-139,0.33865849232360024,121.36639709384765,266.7139415386401,0.11172147304684787,0.1115067055113177,1.47365307088347e-108,0.33424762235032934,0.39963245674926856,0.3107774695359719
CE8 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,4138,0.3064424014338497,1.0955224054282605e-90,0.2929137809983948,1.149474738732921e-82,0.23933707674694202,5.010911083264659e-82,0.2676393107659296,1.426946480782231,262.9679774200234,0.09390694539654487,0.09368787067347828,1.0955224054277898e-90,0.3064424014338497,0.2929137809983948,0.23933707674694202
CE8 FP Equity_DX_BROKER_SI_CON_RATIO,10,4138,0.30111098749549403,1.786894524129333e-87,0.2920794877987391,3.475957669092771e-82,0.23872936693816407,1.5680358937238825e-81,0.2663310471147662,141.98261761816087,263.4551008835049,0.09066782679051144,0.0904479689149773,1.7868945241327613e-87,0.30111098749549403,0.2920794877987391,0.23872936693816407
CE8 FP Equity_DX_SUPPLY_SI_MV,10,4138,0.24779374676980348,6.110189892239305e-59,0.39912837093555337,4.425397768533026e-158,0.31041249556104245,8.783557284757383e-139,0.3515000334872349,574.5603889534214,273.10047319087664,0.061401740938217264,0.0611748071231637,6.11018989222375e-59,0.24779374676980348,0.39912837093555337,0.31041249556104245
CE8 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,4138,0.24717847716799718,1.198082462436837e-58,0.4008318610973061,1.5385822021625686e-159,0.3117360131471991,1.5817630043731185e-140,0.39590206080104995,0.0005730632379949837,273.13394889804573,0.0610971995750903,0.060870192128179124,1.1980824624374214e-58,0.24717847716799718,0.4008318610973061,0.3117360131471991
CE8 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,4138,0.2290235178420692,2.2049846424460937e-50,0.43106899938140186,6.728762715808744e-187,0.33511747721851903,4.367352809560806e-163,0.43318169180382915,0.0003726272185493772,273.17282677501015,0.052451771724756235,0.05222267399064717,2.204984642454024e-50,0.2290235178420692,0.43106899938140186,0.33511747721851903
CE8 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,4138,0.22738208106289723,1.1384205079195792e-49,0.4307863023051452,1.2500941205019887e-186,0.33464388273040774,1.0609643353331137e-161,0.4036854925385114,372.73664761267446,273.25245138781224,0.05170261078849425,0.051473331922630816,1.138420507917581e-49,0.22738208106289723,0.4307863023051452,0.33464388273040774
CE8 FP Equity_DX_SUPPLY_SI_QTY,10,4138,0.22156213047098516,3.456507974573915e-47,0.400119242953254,6.286847891529161e-159,0.30918613706845544,1.1317258397028803e-137,0.3622840763388475,0.2116929273920282,274.355825871537,0.049089777658841816,0.04885986706349832,3.456507974563035e-47,0.22156213047098516,0.400119242953254,0.30918613706845544
CE8 FP Equity_DX_SI_MV,10,4138,0.1379991437848187,4.785635858595024e-19,0.281536103056519,2.990218684210781e-76,0.21455892300760201,7.664911208925482e-69,0.46880397695014553,130.49095608256556,276.778917039246,0.01904376368534333,0.018806588579851402,4.785635858592971e-19,0.1379991437848187,0.281536103056519,0.21455892300760201
CE8 FP Equity_DX_SHORT_INTEREST_VALUE,10,4138,0.13774493681322744,5.557709316076776e-19,0.2832369333239585,3.432620531849538e-77,0.21600270278756367,5.239124754274043e-70,0.5003237486589724,0.00012973186228110924,276.7945208216533,0.018973667617680268,0.018736475564396393,5.557709316074298e-19,0.13774493681322744,0.2832369333239585,0.21600270278756367
CE8 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,10,4138,0.1148856761929914,1.2384159393475642e-13,0.16736879607277427,2.2327418050938974e-27,0.13351868650933993,2.4541015985482308e-26,0.12910524210208063,2.227903708647787,279.2637660961025,0.01319871859432098,0.012960130276766457,1.238415939348585e-13,0.1148856761929914,0.16736879607277427,0.13351868650933993
CE8 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,4138,0.10523275448304002,1.1517235035738999e-11,0.4307845351732499,1.2549414518995515e-186,0.3343606719515186,1.2748363330575902e-160,0.38852625339924707,0.047597224123615126,279.36370758174286,0.011073932616087911,0.010834830568848153,1.1517235035744345e-11,0.10523275448304002,0.4307845351732499,0.3343606719515186
CE8 FP Equity_DX_SUPPLY_SI_MV_DEC,10,4138,0.08760563606982197,1.6557999843418424e-08,0.11646833922224442,5.6729637897727475e-14,0.09481588063803141,7.261430486833791e-14,0.006513361368858606,719.8652147281036,281.80555435763137,0.007674747471197785,0.007434823570683147,1.6557999843418252e-08,0.08760563606982197,0.11646833922224442,0.09481588063803141
