feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
CLA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,4990,0.5482065589716726,0.0,0.45848815156882505,6.073060954543467e-258,0.322254728620043,2.4643679296814333e-253,1.1559833188373076,0.39810612701185305,1.9444126956460812,0.3005304312995616,0.30039020083270096,0.0,0.5482065589716726,0.45848815156882505,0.322254728620043
CLA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,4990,0.5361811387216601,0.0,0.3730679931052173,1.4202702068533363e-164,0.2369741713200761,4.519709684584744e-137,1.5173297590816808,2.5049198253690106,1.1582037796154396,0.28749021352085635,0.287347368736077,0.0,0.5361811387216601,0.3730679931052173,0.2369741713200761
CLA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,10,4990,0.5068333712812618,1e-323,0.3356182110458443,1.224490850568057e-131,0.2134454913889494,8.517970988264186e-112,1.4920203225330968,2.0202270324377762,1.2280705217100927,0.25688006624432946,0.25673108470187633,0.0,0.5068333712812618,0.3356182110458443,0.2134454913889494
CLA FP Equity_DX_SI_MV,10,4990,0.4755631512040947,4.688613736242613e-280,0.4048103069799015,3.929516411639305e-196,0.2740958645244442,3.1640346029737994e-182,1.3930444113071645,1.2596696166081747,1.656922261295093,0.22616031078316923,0.22600517050866697,4.68861373624176e-280,0.4755631512040947,0.4048103069799015,0.2740958645244442
CLA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,4990,0.44117942504122254,8.874433103079731e-237,0.34018234384830265,2.0446347813392186e-135,0.23800421246426834,2.1485617844488798e-138,1.2969606266707627,1.4137544461575429e-06,1.8410829380845926,0.1946392850797034,0.1944778254335685,8.874433103081801e-237,0.44117942504122254,0.34018234384830265,0.23800421246426834
CLA FP Equity_DX_SHORT_INTEREST_VALUE,10,4990,0.4384290556555257,1.5835188105148783e-233,0.3883228241993905,2.6366021465512034e-179,0.2698123641737457,7.466235915831872e-179,1.291549214338339,1.272542278659886e-06,1.7956245446983292,0.19222003684299593,0.19205809218318093,1.5835188105144166e-233,0.4384290556555257,0.3883228241993905,0.2698123641737457
CLA FP Equity_DX_DSS,10,4990,0.4053756890202644,1.0004370789993706e-196,0.33303135590014094,1.586923170650832e-129,0.2722752836781207,2.37526360363641e-122,0.2485808906048237,3.1377417935104046,2.160087123540262,0.16432944924865378,0.16416191305163053,1.0004370790011455e-196,0.4053756890202644,0.33303135590014094,0.2722752836781207
CLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,4990,0.31014533233708436,1.0394797838216799e-111,0.2769952677201097,1.3916450331457817e-88,0.20926850733861,2.5916298849131862e-81,0.4862471428039732,4.126165526283985,2.784668579309575,0.09619012717048026,0.09600893032348146,1.0394797838217844e-111,0.31014533233708436,0.2769952677201097,0.20926850733861
CLA FP Equity_DX_SUPPLY_SI_QTY,10,4990,-0.23644316731594328,2.3253829302256165e-64,0.03000884108647797,0.0340255494626791,0.008229695384760092,0.38872737807289093,1.353759600625053,-1.2859553268286415e-06,3.6623999467505493,0.055905371370395085,0.05571609818903378,2.3253829302287788e-64,0.23644316731594328,0.03000884108647797,0.008229695384760092
CLA FP Equity_DX_SI_QTY,10,4990,-0.23244934726878652,3.3126126812275026e-62,-0.025633790548528365,0.07020076802253175,-0.04154997998301634,1.159712229387791e-05,1.5757896785145697,-6.16170215778502e-07,3.6953893536177165,0.05403269904568497,0.053843050428813544,3.312612681226981e-62,0.23244934726878652,0.025633790548528365,0.04154997998301634
CLA FP Equity_DX_BROKER_SI_QTY,10,4990,-0.23044558537941343,3.8494953627795253e-61,-0.03270119222339846,0.020885438922754403,-0.0443197006420793,3.173080375813736e-06,1.5579510259783635,-6.555617066758562e-07,3.6764654031414614,0.05310516782086028,0.05291533325145781,3.849495362780364e-61,0.23044558537941343,0.03270119222339846,0.0443197006420793
CLA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,4990,0.16029827871268504,4.46012444190777e-30,0.21391974832380845,9.663246089675832e-53,0.15512147247506608,2.8230132267565535e-46,0.5666736915429582,1.0191128160965393e-06,3.1319350201096814,0.025695538158249653,0.025500208474640518,4.4601244419067346e-30,0.16029827871268504,0.21391974832380845,0.15512147247506608
