feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
CRP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,4264,0.21793696041850996,5.145434628237181e-47,0.37981769634433415,2.117253851287669e-146,0.29851477324329995,1.2311648515459615e-139,0.451788017101467,0.11602021295025045,131.93512198283307,0.04749651871645888,0.04727303127364246,5.145434628304397e-47,0.21793696041850996,0.37981769634433415,0.29851477324329995
CRP FP Equity_DX_ACTIVE_UTILIZATION_MV,10,4264,0.21791005212246237,5.282874444966207e-47,0.37980882033155233,2.1531534725773554e-146,0.29849795598807527,1.2597714950381602e-139,0.45155185622480043,0.11599462920467063,131.9353651290049,0.04748479081601442,0.04726130062146161,5.282874445005826e-47,0.21791005212246237,0.37980882033155233,0.29849795598807527
CRP FP Equity_DX_DSS,10,4264,-0.19356813809222312,2.849951964879819e-37,-0.24574146190385862,1.1157725980219586e-59,-0.2007576834265612,4.6079216077789054e-58,0.08619161586619106,-18.48834326868244,136.52702891558724,0.03746862408449014,0.037242783780427446,2.8499519648667583e-37,0.19356813809222312,0.24574146190385862,0.2007576834265612
CRP FP Equity_DX_UTILIZATION_QUANTITY,10,4264,0.16305784310634824,8.540942427683603e-27,0.38489598184284163,1.289818249862055e-150,0.28329544901690473,1.8936886198628238e-140,0.929046163244331,0.22828769338393934,133.78970776363258,0.026587860198494462,0.026359466923083552,8.540942427643173e-27,0.16305784310634824,0.38489598184284163,0.28329544901690473
CRP FP Equity_DX_SUPPLY_SI_MV,10,4264,0.14658555375066512,6.5104866828743275e-22,0.3983240031349579,3.9670347803342243e-162,0.30149226389270556,1.024431906627217e-156,0.8252595586502944,6.141882915928552,134.5133093773406,0.021487324568388866,0.021257734545997664,6.510486682874505e-22,0.14658555375066512,0.3983240031349579,0.30149226389270556
CRP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,4264,0.1465702608924104,6.575034515248205e-22,0.40402837447290035,3.498675762727203e-167,0.3029440263217454,1.3782629921807323e-160,0.9128660070092791,6.141686269416258e-06,134.51256897753376,0.02148284137806933,0.02125325030377978,6.57503451521948e-22,0.1465702608924104,0.40402837447290035,0.3029440263217454
CRP FP Equity_DX_SUPPLY_SI_QTY,10,4264,0.14340048793715637,4.9671586357309465e-21,0.400745165785643,2.9189371208533925e-164,0.2988387072312068,1.9231709241949077e-155,0.8711396944892815,0.0008851542242504244,134.5404002069715,0.020563699940614577,0.020333893206672893,4.967158635737204e-21,0.14340048793715637,0.400745165785643,0.2988387072312068
CRP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,4264,0.07320151277668144,1.7096422156293637e-06,0.1959916534596074,3.477680263618255e-38,0.13380276608926264,3.446060930206453e-33,1.2463704421231538,4.405597381296487e-07,134.9031117157055,0.005358461472794729,0.005125087108992066,1.7096422156277912e-06,0.07320151277668144,0.1959916534596074,0.13380276608926264
CRP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,4264,0.07201588365243478,2.5099280282159522e-06,0.19424596517766046,1.586904620740603e-37,0.13312614915805165,8.173784369627562e-33,1.2145264317833222,0.4334997562065015,134.92274934495185,0.005186287498240905,0.004952872736978198,2.5099280282204813e-06,0.07201588365243478,0.19424596517766046,0.13312614915805165
CRP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,4264,0.06483737113530214,2.2647278334862762e-05,0.18748579004413732,4.946976677760399e-35,0.1269956189785627,5.4114551391307486e-30,1.2189000524722946,5.53171899148268e-05,135.01317816876266,0.004203884695737292,0.00397023943170538,2.26472783348598e-05,0.06483737113530214,0.18748579004413732,0.1269956189785627
