feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
EESM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,2355,0.22800115214652672,3.786123451939717e-29,0.3045226395568716,1.0126403565041619e-51,0.23621728830554845,1.3503003677666866e-52,0.5771857895964758,2.523005593090162,243.8392458333814,0.05198452538014353,0.05158162887584261,3.7861234519416303e-29,0.22800115214652672,0.3045226395568716,0.23621728830554845
EESM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,2355,0.22711872739874198,6.255467493506813e-29,0.3393579476017684,1.4729582866766748e-64,0.2622524162577376,1.1583256948608468e-65,0.5967107284823596,2.5100279371934307e-06,243.8457512810006,0.05158291633522405,0.05117984915134599,6.255467493507466e-29,0.22711872739874198,0.3393579476017684,0.2622524162577376
EESM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,2355,0.1878853995093413,3.7524529649719905e-20,0.3350164653290508,7.271023913786452e-63,0.2572240142194404,8.791346766222106e-63,0.5977703660246414,0.0005915578532143065,244.39143955173185,0.03530092334878454,0.034890936490879154,3.752452964967793e-20,0.1878853995093413,0.3350164653290508,0.2572240142194404
EESM FP Equity_DX_BROKER_SI_CON_RATIO,10,2355,0.13213558808230008,1.2172961017694978e-10,0.1556080969703923,3.1091553314482525e-14,0.12821301248299755,4.490260994928028e-15,0.17583719572144352,17.069907005941403,245.34603392594988,0.01745981363785487,0.01704224449787939,1.2172961017706346e-10,0.13213558808230008,0.1556080969703923,0.12821301248299755
EESM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,2355,0.13175612567418934,1.376137442441892e-10,0.1568621782838753,1.9232571879246582e-14,0.12924937548860324,2.794531901832498e-15,0.1649114707497925,0.1679275511292607,245.33227949948878,0.017359676652672684,0.016942064955542402,1.376137442440838e-10,0.13175612567418934,0.1568621782838753,0.12924937548860324
EESM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,10,2355,-0.06300997161448664,0.002219392200472223,-0.019677489922460618,0.33982990292606274,-0.018424314310144397,0.2673822876161185,0.09349665106650717,-0.2269924128122548,248.83158295475218,0.0039702565228584286,0.003546954464431984,0.0022193922004698757,0.06300997161448664,0.019677489922460618,0.018424314310144397
EESM FP Equity_DX_DEMAND_SUPPLY_RATIO,10,2355,-0.04880320298858938,0.017860743881585435,0.1578619146124771,1.3077315775417168e-14,0.11816540508634722,2.2020873348656408e-13,0.32534959997039903,-11.118951687229783,248.59112744482886,0.002381752621945399,0.0019577754662385427,0.017860743881587406,0.04880320298858938,0.1578619146124771,0.11816540508634722
EESM FP Equity_DX_SI_QTY,10,2355,-0.04051635207247184,0.04930383791577863,0.13836332303298826,1.5468429006123418e-11,0.10317480457232733,1.701277063179408e-10,0.2741053163816014,-0.0006962046671184685,248.50673126327436,0.0016415747852601692,0.0012172830618368824,0.049303837915767396,0.04051635207247184,0.13836332303298826,0.10317480457232733
EESM FP Equity_DX_BROKER_SI_QTY,10,2355,-0.03914438017089312,0.057520933421784055,0.1363752077103072,3.0194609911015024e-11,0.10064510577017781,5.011047890140729e-10,0.26649058381402657,-0.0014694542966339243,248.52912505868085,0.001532282498963311,0.0011079443274796263,0.057520933421810055,0.03914438017089312,0.1363752077103072,0.10064510577017781
EESM FP Equity_DX_SUPPLY_SI_MV_RMV,10,2355,-0.03185031260325558,0.12229444198236074,-0.034410631708023096,0.09501857995045845,-0.028103788800149358,0.09501113612446194,0.0,-672.746431605776,248.07464316057784,0.0010144424129249208,0.0005898841649065734,0.12229444198237296,0.03185031260325558,0.034410631708023096,0.028103788800149358
EESM FP Equity_DX_SUPPLY_SI_QTY_NEW_x,10,2355,-0.03185031260325558,0.12229444198236074,-0.034410631708023096,0.09501857995045845,-0.028103788800149358,0.09501113612446194,0.0,-0.1681866079014325,248.07464316057764,0.0010144424129248097,0.0005898841649064623,0.12229444198238215,0.03185031260325558,0.034410631708023096,0.028103788800149358
EESM FP Equity_DX_SUPPLY_SI_MV_NEW,10,2355,-0.03185031260325558,0.12229444198236074,-0.034410631708023096,0.09501857995045845,-0.028103788800149358,0.09501113612446194,0.0,-747.4960351174616,248.0746431605779,0.0010144424129249208,0.0005898841649065734,0.12229444198238784,0.03185031260325558,0.034410631708023096,0.028103788800149358
EESM FP Equity_DX_SUPPLY_SI_QTY_NEW_y,10,2355,-0.03185031260325558,0.12229444198236074,-0.034410631708023096,0.09501857995045845,-0.028103788800149358,0.09501113612446194,0.0,-0.1681866079014325,248.07464316057764,0.0010144424129248097,0.0005898841649064623,0.12229444198238215,0.03185031260325558,0.034410631708023096,0.028103788800149358
EESM FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,10,2355,-0.03185031260325558,0.12229444198236074,-0.034410631708023096,0.09501857995045845,-0.028103788800149358,0.09501113612446194,0.0,-0.1681866079014325,248.07464316057764,0.0010144424129248097,0.0005898841649064623,0.12229444198238215,0.03185031260325558,0.034410631708023096,0.028103788800149358
EESM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,2355,-0.031802454701488965,0.12285715669691606,0.1331255818706664,8.824989653972197e-11,0.09828267520735923,9.384093657959873e-10,0.3419701653663907,-2.2677606167869513,248.42680984826512,0.0010113961250403092,0.0005868365823819,0.12285715669690594,0.031802454701488965,0.1331255818706664,0.09828267520735923
EESM FP Equity_DX_SHORT_INTEREST_VALUE,10,2355,-0.0314439386761908,0.12713710659117589,0.14477884401003546,1.6725928170949932e-12,0.1094304529345202,8.358857399919848e-12,0.3683741252499042,-2.2363696697361075e-06,248.4088737863124,0.0009887212794716937,0.0005641521002448524,0.12713710659121752,0.0314439386761908,0.14477884401003546,0.1094304529345202
EESM FP Equity_DX_SI_MV,10,2355,-0.03126196542797339,0.12935340962488934,0.14060491058805485,7.19268989414372e-12,0.10606655473024162,4.072247792744821e-11,0.36619031657506973,-2.224324258359714,248.4068986637701,0.0009773104824196688,0.0005527364537253332,0.12935340962486064,0.03126196542797339,0.14060491058805485,0.10606655473024162
EESM FP Equity_DX_UTILIZATION_QUANTITY,10,2355,-0.028489827290997853,0.16693774563694658,0.1731897697365866,2.5794545893337206e-17,0.13017400194659587,7.953161597942139e-16,0.334793111389335,-0.10620785714450517,248.3605112207872,0.0008116702590705849,0.00038702583504124366,0.16693774563689975,0.028489827290997853,0.1731897697365866,0.13017400194659587
EESM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,2355,-0.02501282325973095,0.22498600920058492,0.14458942100109456,1.7887231530438884e-12,0.10845781912686561,1.2937687386790157e-11,0.3871501292849322,-3.938793063078869e-06,248.36490003399533,0.0006256413274225991,0.0002009178430737446,0.22498600920053693,0.02501282325973095,0.14458942100109456,0.10845781912686561
EESM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,2355,-0.01635831277760402,0.42750204567683553,0.14722844619897266,6.965082113293862e-13,0.11141344698528134,3.5689977039814026e-12,0.27182938063886875,-0.15109937779697769,248.17805067183804,0.0002675943969299155,-0.00015728125356018197,0.4275020456767967,0.01635831277760402,0.14722844619897266,0.11141344698528134
EESM FP Equity_DX_BROKER_SI_MV_INC_x,10,2355,0.015403398799219384,0.4549737028434904,0.04290550042483158,0.03734373993601104,0.03501705752803708,0.03724477434413636,0.0,22.237611141052533,248.0090609614978,0.00023726469456764043,-0.0001876238457236834,0.4549737028435139,0.015403398799219384,0.04290550042483158,0.03501705752803708
EESM FP Equity_DX_BROKER_SI_MV_INC_y,10,2355,0.015403398799219384,0.4549737028434904,0.04290550042483158,0.03734373993601104,0.03501705752803708,0.03724477434413636,0.0,22.237611141052533,248.0090609614978,0.00023726469456764043,-0.0001876238457236834,0.4549737028435139,0.015403398799219384,0.04290550042483158,0.03501705752803708
EESM FP Equity_DX_SUPPLY_SI_QTY,10,2355,-0.014800853009241758,0.4728073267498121,0.1882660609481223,3.144942806625897e-20,0.14541479946750493,4.722982949082513e-19,0.22784213041640378,-0.0004074847753363527,248.20912000275894,0.000219065249801087,-0.00020583102506099848,0.4728073267498024,0.014800853009241758,0.1882660609481223,0.14541479946750493
EESM FP Equity_DX_SUPPLY_SI_MV_DEC,10,2355,0.014777214007671315,0.47351472607311806,0.06242991572239022,0.0024377058996503864,0.05071535965616987,0.002511718338165542,0.00827245498079332,7.207339886502552,248.00506651614438,0.0002183660538286336,-0.00020653051818420032,0.473514726073193,0.014777214007671315,0.06242991572239022,0.05071535965616987
EESM FP Equity_DX_SUPPLY_SI_QTY_INC_x,10,2355,0.014452405483668473,0.4832933231273433,0.05873162680159659,0.004356874331639613,0.04781666952784963,0.004434167177060893,0.006210670047642086,0.0030493154643155764,248.0134701222836,0.00020887202426411733,-0.00021602858261049462,0.4832933231273342,0.014452405483668473,0.05873162680159659,0.04781666952784963
EESM FP Equity_DX_SUPPLY_SI_QTY_INC_y,10,2355,0.014452405483668473,0.4832933231273433,0.05873162680159659,0.004356874331639613,0.04781666952784963,0.004434167177060893,0.006210670047642086,0.0030493154643155764,248.0134701222836,0.00020887202426411733,-0.00021602858261049462,0.4832933231273342,0.014452405483668473,0.05873162680159659,0.04781666952784963
EESM FP Equity_DX_BROKER_SI_QTY_INC,10,2355,0.01370586934350645,0.5061776436338722,0.042838161204464514,0.03764351131720849,0.03495552156467465,0.037632919191322944,0.0008388084827362086,0.005177832232092979,248.01353634096176,0.00018785085446104688,-0.00023705868618728587,0.5061776436337987,0.01370586934350645,0.042838161204464514,0.03495552156467465
EESM FP Equity_DX_SUPPLY_SI_QTY_DEC,10,2355,0.013271193231537104,0.5197599835309468,0.0752633904830314,0.000256527006072954,0.06106729170461569,0.0002736837031785792,0.006722514389947198,0.0016784523854356528,248.00985108305971,0.0001761245697885494,-0.00024878995440635876,0.5197599835308797,0.013271193231537104,0.0752633904830314,0.06106729170461569
EESM FP Equity_DX_ACTIVE_UTILIZATION_MV,10,2355,0.011482415941483094,0.5775649177906789,0.1821558519022062,5.118623662616526e-19,0.13895281492681003,1.2133700052990994e-17,0.23192917326662665,0.019650293219259263,247.88993153180854,0.0001318458758532426,-0.0002930874663160665,0.5775649177905975,0.011482415941483094,0.1821558519022062,0.13895281492681003
EESM FP Equity_DX_BROKER_SI_MV_DEC,10,2355,0.011261672109249651,0.5849027277012965,0.04394868187575222,0.0329530561943769,0.03567791720295082,0.03345040408970134,0.006916691435042477,7.652138676878974,248.00939165789276,0.00012682525869622818,-0.0002981102171819572,0.5849027277012709,0.011261672109249651,0.04394868187575222,0.03567791720295082
