feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ENAM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,2330,-0.16278033643737158,2.6581890729349476e-15,-0.0766885154856402,0.00021119802131541306,-0.055497177273351406,0.0006991766466821788,0.279805840160845,-4.4917278532336434e-05,61.74874150781754,0.026497437930663614,0.02607926672702554,2.6581890729341935e-15,0.16278033643737158,0.0766885154856402,0.055497177273351406
ENAM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,2330,-0.1627583997823797,2.6813339653899945e-15,-0.07675707407384057,0.00020844669883362236,-0.056047207113859576,0.0006280651419062108,0.28394110836533537,-44.88054683817335,61.7475798226209,0.02649029669972114,0.026072122428544064,2.681333965388691e-15,0.1627583997823797,0.07675707407384057,0.056047207113859576
ENAM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,2330,-0.16237507665703738,3.119304009358849e-15,-0.07742200250437664,0.0001834529062735682,-0.05898506868083133,0.00033457971987467506,0.2903870318479931,-0.0007910831283527698,61.7256980713639,0.02636566551937869,0.02594743771247121,3.1193040093590467e-15,0.16237507665703738,0.07742200250437664,0.05898506868083133
ENAM FP Equity_DX_BROKER_SI_CON_RATIO,10,2330,-0.13437401570074306,7.400003529192491e-11,-0.012306505874235216,0.5526862534881871,-0.010050429645056614,0.552573344048657,0.08900262619690191,-42.222690804495514,60.48190170193186,0.018056376095543447,0.01763457900623744,7.400003529193756e-11,0.13437401570074306,0.012306505874235216,0.010050429645056614
ENAM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,2330,-0.13437401570074303,7.400003529192491e-11,-0.012306505874235216,0.5526862534881871,-0.010050429645056614,0.552573344048657,0.08900262619690191,-0.42222690804496604,60.48190170193199,0.018056376095543336,0.017634579006237328,7.40000352919338e-11,0.13437401570074303,0.012306505874235216,0.010050429645056614
ENAM FP Equity_DX_ACTIVE_UTILIZATION_MV,10,2330,-0.11410342072513881,3.335051120842004e-08,-0.007890542414400998,0.703441746630241,-0.005351076480322958,0.7499900073020098,0.09201692530546057,-0.4327897980445589,59.70254044783613,0.013019590621178079,0.012595629964228361,3.335051120841397e-08,0.11410342072513881,0.007890542414400998,0.005351076480322958
ENAM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,2330,-0.11410342072513881,3.335051120842004e-08,-0.007890542414400998,0.703441746630241,-0.005351076480322958,0.7499900073020098,0.09201692530546057,-0.4327897980445589,59.70254044783613,0.013019590621178079,0.012595629964228361,3.335051120841397e-08,0.11410342072513881,0.007890542414400998,0.005351076480322958
ENAM FP Equity_DX_UTILIZATION_QUANTITY,10,2330,-0.10389934132064219,5.00436374926947e-07,-0.00783583517397283,0.7054014909085495,-0.005374692698753352,0.7471249822178793,0.14307837645581323,-0.5156611137148048,59.352278852585314,0.010795073126863342,0.010370156921161833,5.004363749268712e-07,0.10389934132064219,0.00783583517397283,0.005374692698753352
ENAM FP Equity_DX_SHORT_INTEREST_VALUE,10,2330,-0.09975800169705662,1.4015703477063378e-06,-0.013098010093284058,0.5274327846596583,-0.011461678734742436,0.49100409841968207,0.10396986935906982,-7.436490095471148e-05,59.20060840013163,0.009951658902589755,0.009526380405554757,1.401570347706271e-06,0.09975800169705662,0.013098010093284058,0.011461678734742436
ENAM FP Equity_DX_SI_MV,10,2330,-0.09969506584497757,1.4232415463169624e-06,-0.02499327162505916,0.227829811066551,-0.020172656018679333,0.22643625122297517,0.11312220971973286,-74.46390280364182,59.198582706187004,0.00993910615383442,0.009513822264725191,1.4232415463170784e-06,0.09969506584497757,0.02499327162505916,0.020172656018679333
