feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ETZ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,3101,-0.5400014993256577,2.6831108504521144e-234,-0.3874895624309562,1.2149606807026653e-111,-0.1723990079220226,3.516223334385178e-44,1.620671612621131,-0.5635384357444583,31.258720758639484,0.2916016192739588,0.29137302992877456,2.683110850444831e-234,0.5400014993256577,0.3874895624309562,0.1723990079220226
ETZ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,3101,-0.5395125240389191,8.516833766162929e-234,-0.3815081281806705,5.292513024417181e-108,-0.16899925892938775,5.738190415757757e-43,1.6502571838909232,-5.630791364346207e-07,31.25008557408376,0.2910737635948456,0.2908450039186904,8.516833766149157e-234,0.5395125240389191,0.3815081281806705,0.16899925892938775
ETZ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,3101,-0.5267880083656591,4.992568581659688e-221,-0.40753084058497624,2.1210784697483825e-124,-0.2077486603478293,1.7790318485619006e-63,1.5649672231367835,-6.319806145625652e-06,30.44476577378099,0.27750560575785754,0.27727246784425896,4.992568581656409e-221,0.5267880083656591,0.40753084058497624,0.2077486603478293
ETZ FP Equity_DX_BROKER_SI_MARKET_SHARE_2,10,3101,-0.3214169292469078,1.8542654294473563e-75,-0.26805365089303834,3.536990133633972e-52,-0.21620712003117198,1.6808476551645437e-56,0.3599664982046953,-0.24747486630498072,27.836643969396317,0.10330884240651173,0.10301949385614273,1.8542654294551227e-75,0.3214169292469078,0.26805365089303834,0.21620712003117198
ETZ FP Equity_DX_SI_QTY,10,3101,-0.3063121624686754,2.329755960091354e-68,-0.30028579043754394,1.216518067313239e-65,-0.22912486867076814,4.607797125374321e-68,0.7053571638945959,-2.8585684086056446e-05,26.742296675812142,0.09382714087623623,0.0935347327255025,2.329755960082968e-68,0.3063121624686754,0.30028579043754394,0.22912486867076814
ETZ FP Equity_DX_UTILIZATION_QUANTITY,10,3101,-0.2955851383762048,1.4468998919829162e-63,-0.35300249702009107,1.11763925168109e-91,-0.2874040515011204,2.907821418135982e-100,0.6084978893674458,-0.6355984690251256,26.417753130347194,0.08737057402888038,0.08707608244257159,1.4468998919839126e-63,0.2955851383762048,0.35300249702009107,0.2874040515011204
ETZ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,3101,-0.29394056373424043,7.539664124793635e-63,-0.21004942032533264,2.9206860095858263e-32,-0.1470204068375399,3.5341993810645696e-28,0.42671087498847715,-0.12282515443383529,28.452648750399185,0.0864010550084029,0.08610625057310395,7.539664124799591e-63,0.29394056373424043,0.21004942032533264,0.1470204068375399
ETZ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,3101,-0.2911754222533541,1.1806120178866667e-61,-0.33971603770675357,1.2681552419889586e-84,-0.26755194186739667,2.814453496108604e-87,0.5170855746931502,-3.340605632527864e-06,26.442160600324996,0.08478312652441955,0.08448780000829326,1.1806120178878107e-61,0.2911754222533541,0.33971603770675357,0.26755194186739667
ETZ FP Equity_DX_SUPPLY_SI_MV,10,3101,-0.29115181449173805,1.2085100671313525e-61,-0.3382073986184255,7.632712304742187e-84,-0.26547594854252377,2.237297294701922e-85,0.5074413355529317,-3.34080858152773,26.44183086626772,0.08476937908183158,0.08447404812961534,1.2085100671360294e-61,0.29115181449173805,0.3382073986184255,0.26547594854252377
ETZ FP Equity_DX_BROKER_SI_QTY,10,3101,-0.2910084549120615,1.3925920301846607e-61,-0.27665041257519035,1.3531081904179457e-55,-0.21409129991223774,1.887855374193988e-58,0.6773865969313864,-3.715649573084721e-05,26.542950395082215,0.08468592083030524,0.08439056294738512,1.392592030185006e-61,0.2910084549120615,0.27665041257519035,0.21409129991223774
