feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
EXENS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,312,0.8337638810273504,5.81999294555247e-82,0.68853300333026,3.624930410135319e-45,0.4900550326366334,9.001894314239536e-38,1.0784722011854444,1.0598621024244186e-07,19.90854136737051,0.6951622093057901,0.6941788615938733,5.81999294555165e-82,0.8337638810273504,0.68853300333026,0.4900550326366334
EXENS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,312,0.8322996124128388,2.0056271116145325e-81,0.6881343153528794,4.2634669293821016e-45,0.4897736872334627,1.0208915242267153e-37,1.0908983920773703,0.10583703611537283,19.925011840204107,0.6927226448225619,0.6917314275477959,2.0056271116146448e-81,0.8322996124128388,0.6881343153528794,0.4897736872334627
EXENS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,312,0.7722988464509996,4.8086765710273306e-63,0.6771707189794991,3.3408881766872077e-43,0.47909024414518075,4.595691093420371e-36,1.1083584826051083,3.986459083788558e-06,19.20272703182868,0.5964455082295443,0.5951437195464139,4.8086765710279864e-63,0.7722988464509996,0.6771707189794991,0.47909024414518075
EXENS FP Equity_DX_SHORT_INTEREST_VALUE,10,312,0.5852035714710306,4.608683236509813e-30,0.6136367624965071,1.1480659211752661e-33,0.42352858536320864,1.4683157878944937e-28,0.9397154240739152,1.132184961864979e-06,23.765366325785386,0.3424632200624498,0.34034213367555444,4.608683236509557e-30,0.5852035714710306,0.6136367624965071,0.42352858536320864
EXENS FP Equity_DX_SI_MV,10,312,0.5831340838701208,8.168888584758335e-30,0.612740610357076,1.5106048635434007e-33,0.42384540213474275,1.9806256637722938e-28,0.9410162230771695,1.1280985244441326,23.77950962489667,0.3400453597710451,0.3379164738348227,8.1688885847583e-30,0.5831340838701208,0.612740610357076,0.42384540213474275
EXENS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,312,0.5470885598490451,9.366198348681564e-26,0.574693426767393,8.089118945642297e-29,0.39733229620513194,2.5609901940701267e-25,0.9017485286320865,1.2213135110203767e-06,24.336172660553984,0.299305892317702,0.29704558874453335,9.366198348682374e-26,0.5470885598490451,0.574693426767393,0.39733229620513194
EXENS FP Equity_DX_SI_QTY,10,312,0.531144421675094,4.1284407364111314e-24,0.5379955424882712,8.317062186867692e-25,0.3781107439112469,5.2319255881463616e-23,0.8391665112072895,4.239984464781514e-05,23.50104834972946,0.2821143966765698,0.27979863666584903,4.128440736411502e-24,0.531144421675094,0.5379955424882712,0.3781107439112469
EXENS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,312,0.5311038473047228,4.167348767747975e-24,0.5446209381492796,1.7052772725318429e-25,0.39318698315296774,8.367918541530143e-24,0.841260180304098,21.542417473475858,23.49485635152036,0.28207129662187813,0.2797553975787229,4.167348767748129e-24,0.5311038473047228,0.5446209381492796,0.39318698315296774
EXENS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,10,312,0.5060873482583833,1.0722062976020824e-21,0.5206218275532654,4.509606574294399e-23,0.3762616845482428,3.219030622253695e-22,0.8868018358256915,12.651862114557703,23.5023736604058,0.25612440406720205,0.2537248053706447,1.0722062976021021e-21,0.5060873482583833,0.5206218275532654,0.3762616845482428
EXENS FP Equity_DX_BROKER_SI_QTY,10,312,0.5057840900818975,1.1436556507873285e-21,0.5122975932289462,2.8206125417902034e-22,0.35978621658772875,6.038343832734528e-21,0.8518359640592017,4.642376761844358e-05,24.133612240495935,0.25581754577997295,0.25341695721797286,1.1436556507872344e-21,0.5057840900818975,0.5122975932289462,0.35978621658772875
EXENS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,312,0.4454098749779232,1.3061204820557356e-16,0.4381204932100418,4.587778770398603e-16,0.30692291877641487,9.466392692355674e-16,0.7655764388321744,2.0105323896510076e-06,24.466887761503813,0.19838995672784898,0.19580411787858398,1.3061204820558233e-16,0.4454098749779232,0.4381204932100418,0.30692291877641487
EXENS FP Equity_DX_SUPPLY_SI_MV,10,312,0.4436584662000221,1.7712319263174256e-16,0.43585547965450583,6.737383272262854e-16,0.30680697386036626,1.2803005315607552e-15,0.7703469670946941,2.014752549938463,24.46851528960275,0.19683283463095602,0.19424197280718491,1.771231926317421e-16,0.4436584662000221,0.43585547965450583,0.30680697386036626
