feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
FDE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,2389,0.523228532860447,4.866245447332875e-168,0.6260521917430675,3.589207598316544e-260,0.4537617571377482,5.668253772568452e-229,1.092922430743834,3.030821405314492e-06,21.41758860382997,0.27376809759929566,0.27346385298161624,4.866245447342264e-168,0.523228532860447,0.6260521917430675,0.4537617571377482
FDE FP Equity_DX_SUPPLY_SI_MV,10,2389,0.5218190404796166,5.4777951016139474e-167,0.6239747984116509,5.825415049266042e-258,0.4533172210376148,6.372576503800585e-226,1.0732244960446873,3.0198142175259166,21.427538770036655,0.2722951110070674,0.2719902493024202,5.477795101612411e-167,0.5218190404796166,0.6239747984116509,0.4533172210376148
FDE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,2389,0.5083968192266209,3.211805287534038e-157,0.6897702907371154,0.0,0.5066330491553973,7.875339763020506e-272,1.0469253306160349,2.7927351880131283e-06,21.56522299956076,0.2584673257997454,0.25815667113941854,3.211805287532746e-157,0.5083968192266209,0.6897702907371154,0.5066330491553973
FDE FP Equity_DX_SHORT_INTEREST_VALUE,10,2389,0.5065037036405798,7.073437274880533e-156,0.6278738568170398,4.0078596956293916e-262,0.451207329419963,8.532061473715282e-227,1.099608614287083,1.5760299965882197e-06,21.615112128629914,0.2565460018016239,0.25623454222969333,7.073437274879847e-156,0.5065037036405798,0.6278738568170398,0.451207329419963
FDE FP Equity_DX_SI_MV,10,2389,0.502797112071365,2.847817550400303e-153,0.6266349153879363,8.550062431384624e-261,0.4507926913467734,4.061240162762535e-224,1.0969180126187665,1.5572825825547914,21.632823116720786,0.25280493590730435,0.2524919090685559,2.8478175504142874e-153,0.502797112071365,0.6266349153879363,0.4507926913467734
FDE FP Equity_DX_SUPPLY_SI_QTY,10,2389,0.44219530933314954,6.141971521183701e-115,0.5459900618753732,1.0024369589623995e-185,0.38689399076368336,2.2511083680315845e-165,1.105978595830913,9.706851121155757e-05,21.75151718955538,0.19553669159623965,0.19519967303385855,6.1419715211993175e-115,0.44219530933314954,0.5459900618753732,0.38689399076368336
FDE FP Equity_DX_DSS,10,2389,0.4309166596695833,1.2761437250917572e-108,0.515691041881968,1.789105199783203e-162,0.41288811106038537,1.4156664307795702e-143,0.31021528759631645,7.754137058247213,22.33718544923347,0.18568916758079146,0.1853480235370465,1.2761437250869946e-108,0.4309166596695833,0.515691041881968,0.41288811106038537
FDE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,2389,0.4294703927832661,7.921545276554668e-108,0.5507806021981638,1.2666286052882471e-189,0.3901206714144877,7.157714496911156e-168,1.150936219400327,2.6158132432116936,21.95778483548512,0.18444481827741288,0.18410315293106916,7.921545276551454e-108,0.4294703927832661,0.5507806021981638,0.3901206714144877
FDE FP Equity_DX_SI_QTY,10,2389,0.4279191907167216,5.558589088378824e-107,0.5509301757700715,9.547919678433818e-190,0.3894259442843105,7.032327229693323e-168,1.145287789282786,4.9862872788995805e-05,21.97330989847644,0.1831148337836539,0.18277261125905553,5.558589088379182e-107,0.4279191907167216,0.5509301757700715,0.3894259442843105
FDE FP Equity_DX_BROKER_SI_QTY,10,2389,0.42664377174292634,2.737628139164702e-106,0.6119305085935646,1.808340520400432e-245,0.4370657541412457,6.4549116440768204e-201,0.9680152526912242,8.618462855421436e-05,22.018409626573735,0.1820249079670302,0.18168222883337581,2.7376281391607313e-106,0.42664377174292634,0.6119305085935646,0.4370657541412457
