feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
FGA FP Equity_DX_DEMAND_SUPPLY_RATIO,10,3033,-0.632394850317936,0.0,-0.6445712432876002,0.0,-0.4379271273481235,3.1808802217492588e-276,1.2708897312756826,-3.8956688300114948,15.061161352584065,0.399923246708645,0.3997252669154112,0.0,0.632394850317936,0.6445712432876002,0.4379271273481235
FGA FP Equity_DX_ACTIVE_UTILIZATION_MV,10,3033,-0.6211350991502474,4e-323,-0.6297157166957359,0.0,-0.4816800582597464,6.144766382664984e-257,0.5753367289199016,-0.09167320293287842,17.453370684398433,0.3858088113963879,0.3856061749105404,3e-323,0.6211350991502474,0.6297157166957359,0.4816800582597464
FGA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,3033,-0.6211259058252271,4e-323,-0.6297064947143574,0.0,-0.4816740352583744,6.2584147646978825e-257,0.575404467867457,-0.09167116593125213,17.453218932171094,0.3857973908872083,0.3855947506334595,4e-323,0.6211259058252271,0.6297064947143574,0.4816740352583744
FGA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,3033,0.48087566886728256,2.473555820352265e-175,0.18363387086326216,2.0690821426715425e-24,0.14706842675225543,8.68331287339995e-33,1.3159931843313366,1.987608240035378e-06,9.26051949863852,0.23124140890855616,0.23098777690885586,2.4735558203523392e-175,0.48087566886728256,0.18363387086326216,0.14706842675225543
FGA FP Equity_DX_SUPPLY_SI_MV,10,3033,0.48061752198621266,4.036659594813836e-175,0.1829194824595317,3.131695809374874e-24,0.14670069121266402,4.925627260435736e-32,1.3055001462911973,1.9866868432736957,9.260585014771369,0.23099320244016774,0.23073948855116744,4.036659594810879e-175,0.48061752198621266,0.1829194824595317,0.14670069121266402
FGA FP Equity_DX_UTILIZATION_QUANTITY,10,3033,-0.48028069098233767,7.643285009642744e-175,-0.47429089896103793,5.783480414579938e-170,-0.32780139308341666,1.4480371613016602e-155,1.3364100664985608,-0.08979796195578213,14.943006639743427,0.23066954213047164,0.23041572145812927,7.643285009628748e-175,0.48028069098233767,0.47429089896103793,0.32780139308341666
FGA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,3033,0.47957160099866447,2.92377601592283e-174,0.5057537537617852,1.0329191775408489e-196,0.40190407904650394,3.1890931501556286e-176,0.3789357210710187,1.1719316974530208e-06,9.894411971881265,0.22998892048442232,0.22973487525858405,2.923776015907894e-174,0.47957160099866447,0.5057537537617852,0.40190407904650394
FGA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,3033,0.4792352656733117,5.518654043040154e-174,0.4691463453766193,7.511402793465881e-166,0.3762022814237931,1.9597045234514737e-153,0.37142065384456924,1.1698391824789782,9.894574945274206,0.2296664398649697,0.2294122882449977,5.518654043019907e-174,0.4792352656733117,0.4691463453766193,0.3762022814237931
FGA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,3033,0.47402552424732913,9.464696856327368e-170,0.5029625767176559,3.175158345447307e-194,0.398750288593278,2.2992916297770556e-173,0.3996397469592279,2.3343333532445545e-05,9.87527470540936,0.22470019763795468,0.22444440753489892,9.464696856350267e-170,0.47402552424732913,0.5029625767176559,0.398750288593278
FGA FP Equity_DX_SHORT_INTEREST_VALUE,10,3033,0.4483719236500545,6.134169361009339e-150,0.1562855874678623,4.853550587680622e-18,0.12022037127930445,8.785178592466323e-23,1.3908015787855796,1.7776117995736699e-06,9.034234921083874,0.20103738191765008,0.20077378488100128,6.13416936100719e-150,0.4483719236500545,0.1562855874678623,0.12022037127930445
