feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
FII FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,4990,-0.585017449394348,0.0,-0.573431093207,0.0,-0.3924072730468226,0.0,1.2600547807527982,-9.498493839369438e-06,56.69714016622364,0.3422454160958682,0.3421135486973308,0.0,0.585017449394348,0.573431093207,0.3924072730468226
FII FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,4990,-0.4492423192181881,1.7435965692709297e-246,-0.41575728259081235,7.64692495068392e-208,-0.2351254781775937,4.2986665692725924e-133,1.1175856779630249,-2.7797738155632704e-07,53.496396846678984,0.2018186613765367,0.20165864106005238,1.7435965692597738e-246,0.4492423192181881,0.41575728259081235,0.2351254781775937
FII FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,4990,-0.44433115440722987,1.5313213808851157e-240,-0.4127376249314978,1.437865819126277e-204,-0.23324740941747285,1.0310756006205687e-130,1.1557164183056847,-0.27651230319003767,53.58237643835307,0.19743017477686187,0.19726927465151634,1.5313213808839198e-240,0.44433115440722987,0.4127376249314978,0.23324740941747285
FII FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,4990,0.2783101300482249,1.9256359596203394e-89,0.1980379419694414,2.6262675405187465e-45,0.1288136204118581,2.4758910953794315e-41,0.8644086663265331,0.19205302396577636,36.48029678280803,0.0774565284874601,0.07727157590696432,1.925635959617819e-89,0.2783101300482249,0.1980379419694414,0.1288136204118581
FII FP Equity_DX_SUPPLY_SI_QTY,10,4990,-0.26857020741221366,3.4335723821312615e-83,-0.4795995958150926,1.8091202729130003e-285,-0.3103060995145178,5.918541483005517e-236,1.0283129819139991,-3.6688153080753645e-05,44.96225580980313,0.0721299563094393,0.0719439358516023,3.433572382133843e-83,0.26857020741221366,0.4795995958150926,0.3103060995145178
FII FP Equity_DX_BROKER_SI_QTY,10,4990,-0.26661911943107747,5.716595639509146e-82,-0.43585408458690245,1.6467328655305428e-230,-0.2871534384151543,1.0992910941387625e-202,0.9965465124773547,-3.89704957011043e-05,45.411610849678496,0.07108575484620328,0.07089952504565111,5.71659563950769e-82,0.26661911943107747,0.43585408458690245,0.2871534384151543
FII FP Equity_DX_ACTIVE_UTILIZATION_MV,10,4990,0.2629846734030788,1.0118416927490228e-79,0.18680784360155075,2.021697848310467e-40,0.12030590108256053,2.9475757496332136e-36,0.8410306431045047,0.1713745522709508,36.89149089351467,0.06916093844492399,0.06897432275495696,1.0118416927471602e-79,0.2629846734030788,0.18680784360155075,0.12030590108256053
FII FP Equity_DX_BROKER_SI_CON_RATIO,10,4990,0.2600887195229924,5.903208131077995e-78,0.45533332636241514,5.406645236784626e-254,0.29533713394244354,2.165355099545233e-214,0.9733619749709872,32.58728122472037,29.871038453123525,0.0676461420231097,0.06745922264500681,5.903208131077839e-78,0.2600887195229924,0.45533332636241514,0.29533713394244354
FII FP Equity_DX_SI_QTY,10,4990,-0.2475279013992292,1.4942907546664504e-70,-0.4273424271757313,1.0120683054967792e-220,-0.281039501638459,2.584384448909509e-194,0.973583333667511,-2.5534849142123772e-05,44.87846547545826,0.061270061971106626,0.061081864309112,1.4942907546653347e-70,0.2475279013992292,0.4273424271757313,0.281039501638459
FII FP Equity_DX_BROKER_SI_MARKET_SHARE_2,10,4990,0.2459163527919443,1.242790298112942e-69,0.29170547335824276,1.8292768107510384e-98,0.19456898854329754,3.526013589107713e-94,0.7754847944406169,0.673096787914495,25.948957959651395,0.06047485257049201,0.06028649548399845,1.2427902981131218e-69,0.2459163527919443,0.29170547335824276,0.19456898854329754
FII FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,4990,0.20751170343968317,1.146064855003135e-49,0.3650112484430233,4.1526627083473105e-157,0.2370336500765864,7.555029492329625e-139,0.8596015108141586,0.25846249006354743,29.200225615708675,0.04306110706443911,0.04286925885013759,1.146064855003227e-49,0.20751170343968317,0.3650112484430233,0.2370336500765864
FII FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,4990,-0.1870672010453693,1.57140829964246e-40,-0.26390315330243974,2.7564471338648934e-80,-0.1715571860241309,1.2794665900627081e-73,0.7038905179991684,-0.3263020787109638,44.39360203450594,0.03499413770694848,0.03480067221731464,1.5714082996429204e-40,0.1870672010453693,0.26390315330243974,0.1715571860241309
