feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
GGOV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,2200,-0.16279859410355785,1.555294012952357e-14,-0.12520549747650908,3.803464836584212e-09,-0.10229174421691832,4.049743815183658e-09,0.047757612914072434,-0.032394207044826706,49.02192292414311,0.026503382242095253,0.026060481142114456,1.5552940129562027e-14,0.16279859410355785,0.12520549747650908,0.10229174421691832
GGOV FP Equity_DX_BROKER_SI_CON_RATIO,10,2200,-0.1609675056310708,3.070017660134862e-14,-0.12520549747650908,3.803464836584212e-09,-0.10229174421691832,4.049743815183658e-09,0.05011641303052761,-3.2098471348244058,49.01892080413068,0.0259105378690887,0.025467367049193057,3.070017660121951e-14,0.1609675056310708,0.12520549747650908,0.10229174421691832
GGOV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,2200,-0.14183495363491883,2.3461493063656093e-11,-0.023473436321883,0.2711022882185952,-0.019217433131787354,0.2659051180783121,0.061438745053034705,-0.00034085560902021803,48.89238584784722,0.020117154072619603,0.019671347500314185,2.3461493063703823e-11,0.14183495363491883,0.023473436321883,0.019217433131787354
GGOV FP Equity_DX_BROKER_SI_QTY,10,2200,-0.1412513506367112,2.83490139505597e-11,-0.02330945424734087,0.27446518596057784,-0.018916957266314448,0.275512159248274,0.0639403196929178,-0.015899139506725588,48.89183062179941,0.019951944056695092,0.01950606232059726,2.8349013950582437e-11,0.1412513506367112,0.02330945424734087,0.018916957266314448
GGOV FP Equity_DX_UTILIZATION_QUANTITY,10,2200,-0.09138357895774947,1.7641935372010752e-05,-0.14793563191424028,3.096952267305215e-12,-0.11982298858924338,3.753981463243978e-12,0.05069990516923406,-0.05768041182767214,48.85664285968813,0.008350958503127281,0.007899798793620127,1.7641935371982376e-05,0.09138357895774947,0.14793563191424028,0.11982298858924338
GGOV FP Equity_DX_DEMAND_SUPPLY_RATIO,10,2200,-0.09138357895774946,1.7641935372010752e-05,-0.14793563191424028,3.096952267305215e-12,-0.11982298858924338,3.753981463243978e-12,0.05069990516923406,-5.768041182767227,48.85664285968813,0.008350958503127281,0.007899798793620127,1.764193537198169e-05,0.09138357895774946,0.14793563191424028,0.11982298858924338
GGOV FP Equity_DX_ACTIVE_UTILIZATION_MV,10,2200,-0.08929573360877104,2.7366508778713067e-05,-0.14830678014155602,2.7304378054263187e-12,-0.12035986912541773,3.1434038515818023e-12,0.05371785165472409,-0.03903780507887156,48.85438780278659,0.00797372804072849,0.0075223967068071,2.736650877876293e-05,0.08929573360877104,0.14830678014155602,0.12035986912541773
GGOV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,2200,-0.08929573360877104,2.7366508778713067e-05,-0.14830678014155602,2.7304378054263187e-12,-0.12035986912541773,3.1434038515818023e-12,0.05371785165472409,-0.03903780507887156,48.85438780278659,0.00797372804072849,0.0075223967068071,2.736650877876293e-05,0.08929573360877104,0.14830678014155602,0.12035986912541773
GGOV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,10,2200,-0.06971856262351392,0.0010670875255447605,-0.020388259159983126,0.3391480342911777,-0.016681438943075475,0.3379157566502995,0.0,-0.16767429155656316,48.805557576950235,0.004860677974288907,0.004407930330055265,0.0010670875255441034,0.06971856262351392,0.020388259159983126,0.016681438943075475
GGOV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,2200,-0.06292699326032306,0.00314919410437206,-0.17993986587739846,1.8216470957909336e-17,-0.14535110947299176,2.3831083554579163e-17,0.07815096506372265,-0.24137507751679532,48.82449825449251,0.0039598064807847555,0.003506648976908888,0.003149194104370459,0.06292699326032306,0.17993986587739846,0.14535110947299176
GGOV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,2200,-0.05592095827848005,0.008703458357526528,-0.0806160420588749,0.00015355999605015094,-0.05827583199286112,0.0005206684879589514,0.25755581072336575,-8.534119492974961e-06,48.85988998121177,0.0031271535747835477,0.0026736172479295828,0.008703458357517407,0.05592095827848005,0.0806160420588749,0.05827583199286112
GGOV FP Equity_DX_SI_MV,10,2200,-0.050011854442406405,0.018981263323191798,-0.18610794525310947,1.3527243964873018e-18,-0.14986670141473743,2.7204415929127245e-18,0.06790577980474866,-1.2467483242420885,48.814109191414296,0.0025011855847684172,0.0020473644681100467,0.018981263323206835,0.050011854442406405,0.18610794525310947,0.14986670141473743
GGOV FP Equity_DX_SHORT_INTEREST_VALUE,10,2200,-0.049799131442915937,0.019496029067307814,-0.129996032346281,9.364964323524672e-10,-0.10413405659811054,1.1266295319717565e-09,0.08022927111437594,-1.2436902451170419e-06,48.81398117334405,0.002479953492468767,0.0020261227160778272,0.01949602906728451,0.049799131442915937,0.129996032346281,0.10413405659811054
GGOV FP Equity_DX_SI_QTY,10,2200,-0.04966620376819984,0.019823850640876148,-0.1299140927007098,9.596354589807175e-10,-0.10418772782086615,1.2049820548913838e-09,0.07776472535640888,-5.797775559886366e-05,48.81388767327274,0.0024667317967447255,0.0020128950050235517,0.019823850640899608,0.04966620376819984,0.1299140927007098,0.10418772782086615
GGOV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,2200,-0.04831980251912958,0.02342473570405595,-0.14727613001348647,3.870755139462512e-12,-0.11911570033955117,4.921627044486271e-12,0.040226819917584145,-1.2066112879157476e-06,48.81276167981996,0.0023348033154876324,0.0018809065017094673,0.023424735704081996,0.04831980251912958,0.14727613001348647,0.11911570033955117
GGOV FP Equity_DX_SUPPLY_SI_QTY,10,2200,-0.048195956970606066,0.02378281619339037,-0.14731390945837147,3.8217192908592536e-12,-0.11927877428983069,4.72709577585766e-12,0.04242679169327768,-5.6255240657175675e-05,48.812676032049225,0.002322850268312693,0.0018689480163874839,0.023782816193372563,0.048195956970606066,0.14731390945837147,0.11927877428983069
GGOV FP Equity_DX_SUPPLY_SI_MV,10,2200,-0.04817576447908465,0.02384164737474433,-0.14714218074061203,4.049632800321277e-12,-0.1191163533254343,5.152328762664299e-12,0.04060109232011411,-1.2008467646808958,48.81266080110635,0.002320904283144243,0.0018670011458754576,0.02384164737473949,0.04817576447908465,0.14714218074061203,0.1191163533254343
GGOV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,2200,-0.04718167837988408,0.026898225314339823,-0.14721172593292012,3.955773322125503e-12,-0.11929301397677441,4.8953228085329135e-12,0.042475041100780375,-4.027812147995284,48.811572922458275,0.0022261107747428843,0.0017721645103092598,0.02689822531432062,0.04718167837988408,0.14721172593292012,0.11929301397677441
GGOV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,2200,-0.04616285351941418,0.030375936399048405,-0.08042837164856714,0.00015911142868943917,-0.057995355193354844,0.0005428979825441235,0.2635340646077371,-1.330446385699288e-07,48.84373618824165,0.0021310090450548103,0.001677019513228295,0.03037593639902808,0.04616285351941418,0.08042837164856714,0.057995355193354844
GGOV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,2200,-0.046002466560410925,0.03095716240706628,-0.21408699942943135,3.186803008159053e-24,-0.17196234303874955,2.7355337054091246e-24,0.2440244697480709,-0.1325002748583541,48.843525778961684,0.0021162269296416403,0.001662230672557885,0.03095716240703479,0.046002466560410925,0.21408699942943135,0.17196234303874955
