feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
GPE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,4949,-0.373564591081888,1.0594514722492283e-163,-0.39286967431915765,2.3466213557311245e-182,-0.2949668073035168,8.368566757433298e-171,0.8733979426508252,-0.0031679746944081027,30.966592545762907,0.1395505037101783,0.13937657011480942,1.0594514722483149e-163,0.373564591081888,0.39286967431915765,0.2949668073035168
GPE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,4949,-0.2695947872071982,3.663037551768799e-83,-0.3203263390624799,1.7729353723359082e-118,-0.20997145109916768,2.438008808048683e-91,1.0093451967371934,-0.00012316446089544222,29.309748740862617,0.07268134928929404,0.0724938985816509,3.663037551760833e-83,0.2695947872071982,0.3203263390624799,0.20997145109916768
GPE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,4949,-0.25787221411561684,5.273589358723549e-76,-0.29571569321367686,1.9074682634412553e-100,-0.20135426038981694,1.9083036847267968e-81,0.7718256978155265,-110.1210601751378,29.186007103490752,0.06649807881289016,0.06630937820217919,5.273589358724663e-76,0.25787221411561684,0.29571569321367686,0.20135426038981694
GPE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,4949,-0.11761796193049313,1.0318878207563091e-16,0.020250905643721152,0.15432499508895633,0.014380978419190503,0.21201953319321964,0.1640603657275086,-0.07288577559708778,26.74313419732553,0.013833984968682933,0.013634638695177559,1.0318878207582733e-16,0.11761796193049313,0.020250905643721152,0.014380978419190503
GPE FP Equity_DX_ACTIVE_UTILIZATION_MV,10,4949,-0.11703044588936234,1.4652348431517454e-16,0.02937300066711613,0.03880121339995899,0.021419366037190166,0.0627201693087207,0.17673097186385833,-0.07251495433552668,26.74154292220059,0.013696125265063142,0.013496751124223216,1.4652348431536988e-16,0.11703044588936234,0.02937300066711613,0.021419366037190166
GPE FP Equity_DX_BROKER_SI_CON_RATIO,10,4949,0.08942060168544341,2.943999035961387e-10,0.11368009991682862,1.046405212917751e-15,0.09278448676224382,1.1393757668409294e-15,0.06679913266816184,6.713649247314375,25.69160784043052,0.007996044005786684,0.007795517635058147,2.9439990359602524e-10,0.08942060168544341,0.11368009991682862,0.09278448676224382
GPE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,4949,0.08877889157177882,3.942274592031452e-10,0.1130328416335925,1.5198235681710915e-15,0.09223908270195329,1.662401759202359e-15,0.0686202323042866,0.06651730407948755,25.693592728348698,0.007881691588713324,0.0076811421024769455,3.9422745920327695e-10,0.08877889157177882,0.1130328416335925,0.09223908270195329
GPE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,4949,-0.06352287072051616,7.743103564224423e-06,0.01946143563400831,0.17103715019188157,0.016321358802170907,0.152644955887346,0.18594644932076854,-48.01083769269613,26.324534861750227,0.004035155104575638,0.0038338280690196624,7.743103564222597e-06,0.06352287072051616,0.01946143563400831,0.016321358802170907
GPE FP Equity_DX_SUPPLY_SI_QTY,10,4949,-0.060467777793431675,2.0748854744130253e-05,0.024692127086460684,0.08240559190848351,0.020552296317101655,0.0703271350309298,0.2561618767358278,-0.0015526793085060351,26.327887268594253,0.003656352151275799,0.0034549485434632876,2.0748854744147204e-05,0.060467777793431675,0.024692127086460684,0.020552296317101655
GPE FP Equity_DX_SI_QTY,10,4949,-0.05978943138107034,2.5668806896966878e-05,0.07018180011475268,7.729516639991702e-07,0.05661749164690029,5.723611501886073e-07,0.2823850400414538,-0.0011444751415256814,26.3089789407044,0.0035747761048718907,0.0033733560070560165,2.566880689698969e-05,0.05978943138107034,0.07018180011475268,0.05661749164690029
GPE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,4949,-0.058842603036791306,3.4418624150955645e-05,0.06853819907758643,1.392604755629682e-06,0.05395452464055939,1.7628557556400577e-06,0.19896920161827958,-1.5589451246786679,26.317792790123608,0.0034624519321451164,0.003261009128816217,3.4418624150975845e-05,0.058842603036791306,0.06853819907758643,0.05395452464055939
GPE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,10,4949,-0.058469505527762304,3.8590408910883515e-05,0.0690498916542148,1.1610205106303484e-06,0.05597400940755979,7.514822859879148e-07,0.28817560135130194,-7.758762320000606,26.300624328114313,0.0034186830766610443,0.003217231425777012,3.859040891085937e-05,0.058469505527762304,0.0690498916542148,0.05597400940755979
GPE FP Equity_DX_DEMAND_SUPPLY_RATIO,10,4949,-0.05827450494924003,4.0957452761966144e-05,0.026152182285300085,0.06582211688244313,0.021890905425179494,0.053678535137849835,0.2693943030736692,-6.358207791200524,26.30728019577254,0.0033959179270791617,0.0031944616743860843,4.095745276199757e-05,0.05827450494924003,0.026152182285300085,0.021890905425179494
GPE FP Equity_DX_UTILIZATION_QUANTITY,10,4949,-0.05642001556032392,7.14935928925625e-05,0.02554294983039358,0.07237317316266491,0.021543598190024268,0.057687913024774294,0.2696948830035413,-0.09236403024611006,26.338824693637083,0.0031832181558268946,0.002981718907425046,7.149359289247348e-05,0.05642001556032392,0.02554294983039358,0.021543598190024268
