feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
IPH FP Equity_DX_SHORT_INTEREST_VALUE,10,4903,0.7427832454578471,0.0,0.7389082690129928,0.0,0.571889470363964,0.0,1.297322546599172,3.379021318464923e-07,2.912344977873022,0.5517269497328927,0.5516354841033748,0.0,0.7427832454578471,0.7389082690129928,0.571889470363964
IPH FP Equity_DX_SI_MV,10,4903,0.7422717354451636,0.0,0.7401187022734371,0.0,0.5781538112047111,0.0,1.227631234832197,0.3318456096719118,2.909429391015872,0.550967329240775,0.550875708618298,0.0,0.7422717354451636,0.7401187022734371,0.5781538112047111
IPH FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,4903,0.7350441936162908,0.0,0.7273233753377699,0.0,0.5693412125794143,0.0,1.2424485325241497,3.6236271476697787e-07,2.9500057129224673,0.5402899665690232,0.5401961673375539,0.0,0.7350441936162908,0.7273233753377699,0.5693412125794143
IPH FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,4903,0.669825957308579,0.0,0.6645617617063391,0.0,0.4923232720672264,0.0,1.2156638840747935,5.91184092878414e-07,3.0145114351202493,0.4486668130843544,0.4485543190653959,0.0,0.669825957308579,0.6645617617063391,0.4923232720672264
IPH FP Equity_DX_SUPPLY_SI_MV,10,4903,0.669417647518119,0.0,0.6894823891661049,0.0,0.5216771299843543,0.0,1.0964307296096107,0.5913147633068884,3.013564078868714,0.4481199868086928,0.4480073812153055,0.0,0.669417647518119,0.6894823891661049,0.5216771299843543
IPH FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,10,4903,0.6447283775752258,0.0,0.6841657113921403,0.0,0.5125939352733733,0.0,1.2179907423483995,1.1825846509606108,2.8222042984292783,0.4156746808507833,0.4155554551174331,0.0,0.6447283775752258,0.6841657113921403,0.5125939352733733
IPH FP Equity_DX_DSS,10,4903,0.6225420835221023,0.0,0.673495353000055,0.0,0.5486453410791258,0.0,0.3924863462733823,4.198881569702097,2.999525957331352,0.3875586457560406,0.38743368322711913,0.0,0.6225420835221023,0.673495353000055,0.5486453410791258
IPH FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,4903,0.6132127638282603,0.0,0.6769930847997639,0.0,0.5038269128269482,0.0,1.2282835612324745,1.522291165619474,2.8917924459865807,0.376029893721894,0.3759025788665016,0.0,0.6132127638282603,0.6769930847997639,0.5038269128269482
IPH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,4903,0.5574816981137205,0.0,0.6009821793072885,0.0,0.46360821886720427,0.0,0.7737927666950681,5.333385218913493e-06,3.979937784288479,0.3107858437317571,0.31064521648093724,0.0,0.5574816981137205,0.6009821793072885,0.46360821886720427
IPH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,4903,0.5485985168140307,0.0,0.6169552956467346,0.0,0.4909079442076074,0.0,0.7242023950223171,0.4233998481268259,4.099148157467944,0.3009603326505541,0.30081770060253343,0.0,0.5485985168140307,0.6169552956467346,0.4909079442076074
