feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ITE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,4469,0.01712624402044017,0.25234878040505493,0.008784806956521353,0.5571254788603364,0.00717737598936637,0.5572687097733672,0.031136527673582437,4.416989012587416e-05,2.9996624852640883,0.00029330823424766894,6.95100046158581e-05,0.2523487804050913,0.01712624402044017,0.008784806956521353,0.00717737598936637
ITE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,4469,0.015388032110965757,0.3037278617986326,0.008775175912057953,0.5575578456849712,0.007304757542690982,0.5507830187169818,0.03170250635559446,0.0001473230603329172,2.9996328770213596,0.0002367915322490921,1.2980650568428231e-05,0.3037278617986851,0.015388032110965757,0.008775175912057953,0.007304757542690982
ITE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,4469,0.013070513119933546,0.3823555961765452,0.008922900147311823,0.5509440721971457,0.007309780287583069,0.5508493112876611,0.004609329633381787,27.989103664454788,3.0001634450332104,0.00017083831321906828,-5.2987333005738435e-05,0.3823555961765115,0.013070513119933546,0.008922900147311823,0.007309780287583069
ITE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,4469,-0.0007707928292701343,0.9589163123224963,-0.0007248052238087227,0.9613655006196855,-0.0005937627385099443,0.9613590240514874,0.004497436524195875,-4.042300805731643,3.0004230080572967,5.941215864835314e-07,-0.00022326963616547957,0.958916312322473,0.0007707928292701343,0.0007248052238087227,0.0005937627385099443
ITE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,4469,-0.0007707928292701343,0.9589163123224963,-0.0007248052238087227,0.9613655006196855,-0.0005937627385099443,0.9613590240514874,0.004497436524195875,-0.09400699548213798,3.000423008057297,5.941215862614868e-07,-0.0002232696361657016,0.9589163123224702,0.0007707928292701343,0.0007248052238087227,0.0005937627385099443
ITE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,10,4469,-0.0007707928292701343,0.9589163123224963,-0.0007248052238087227,0.9613655006196855,-0.0005937627385099443,0.9613590240514874,0.004497436524195875,-1.0105752014329277,3.0004230080572967,5.941215864835314e-07,-0.00022326963616547957,0.9589163123224723,0.0007707928292701343,0.0007248052238087227,0.0005937627385099443
ITE FP Equity_DX_SUPPLY_SI_QTY_ADD,10,4469,-0.0007707928292701343,0.9589163123224963,-0.0007248052238087227,0.9613655006196855,-0.0005937627385099443,0.9613590240514874,0.004497436524195875,-4.4914453397014686e-05,3.0004230080572967,5.941215864835314e-07,-0.00022326963616547957,0.9589163123224761,0.0007707928292701343,0.0007248052238087227,0.0005937627385099443
ITE FP Equity_DX_BROKER_SI_QTY_ADD,10,4469,-0.0007707928292701343,0.9589163123224963,-0.0007248052238087227,0.9613655006196855,-0.0005937627385099443,0.9613590240514874,0.004497436524195875,-4.4914453397014686e-05,3.0004230080572967,5.941215864835314e-07,-0.00022326963616547957,0.9589163123224761,0.0007707928292701343,0.0007248052238087227,0.0005937627385099443
ITE FP Equity_DX_SI_QTY,10,4469,-0.0007697672058070152,0.9589709303997671,0.0005209754578977991,0.9722250499832994,0.0004186390425560786,0.972747952342962,0.007277587203033731,-4.485462378552619e-05,3.0004230361557176,5.925415506036202e-07,-0.00022327121655507653,0.9589709303997731,0.0007697672058070152,0.0005209754578977991,0.0004186390425560786
ITE FP Equity_DX_BROKER_SI_QTY,10,4469,-0.0007697672058070152,0.9589709303997671,0.0005209754578977991,0.9722250499832994,0.0004186390425560786,0.972747952342962,0.007277587203033731,-4.485462378552619e-05,3.0004230361557176,5.925415506036202e-07,-0.00022327121655507653,0.9589709303997731,0.0007697672058070152,0.0005209754578977991,0.0004186390425560786
ITE FP Equity_DX_SUPPLY_SI_QTY,10,4469,-0.0007697672058070152,0.9589709303997671,0.0005209754578977991,0.9722250499832994,0.0004186390425560786,0.972747952342962,0.007277587203033731,-4.485462378552619e-05,3.0004230361557176,5.925415506036202e-07,-0.00022327121655507653,0.9589709303997731,0.0007697672058070152,0.0005209754578977991,0.0004186390425560786
ITE FP Equity_DX_SHORT_INTEREST_VALUE,10,4469,-0.0007697629658938251,0.9589711561905561,0.0005211495589260065,0.9722157718239781,0.0004249571525762841,0.9723331152519239,0.007277587203033731,-1.5051804219170173e-05,3.0004230361393933,5.925350244906369e-07,-0.00022327122308274383,0.9589711561905416,0.0007697629658938251,0.0005211495589260065,0.0004249571525762841
ITE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,4469,-0.0007697629658938251,0.9589711561905561,0.0005211495589260065,0.9722157718239781,0.0004249571525762841,0.9723331152519239,0.007277587203033731,-1.5051804219170173e-05,3.0004230361393933,5.925350244906369e-07,-0.00022327122308274383,0.9589711561905416,0.0007697629658938251,0.0005211495589260065,0.0004249571525762841
ITE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,4469,-0.0007697629658938251,0.9589711561905561,0.0005211495589260065,0.9722157718239781,0.0004249571525762841,0.9723331152519239,0.007277587203033731,-1.5051804219170173e-05,3.0004230361393933,5.925350244906369e-07,-0.00022327122308274383,0.9589711561905416,0.0007697629658938251,0.0005211495589260065,0.0004249571525762841
ITE FP Equity_DX_DEMAND_SUPPLY_RATIO,10,4469,6.767045138952224e-05,0.9963915447362076,0.0005214550121915223,0.9721994936749603,0.0004271776001027885,0.9721948297635417,0.0076900593798694405,0.0031756272401472782,3.000412186379931,4.579290058259744e-09,-0.00022385931043911178,0.9963915447362022,6.767045138952224e-05,0.0005214550121915223,0.0004271776001027885
ITE FP Equity_DX_BROKER_SI_CON_RATIO,10,4469,6.767045138952224e-05,0.9963915447362076,0.0005214550121915223,0.9721994936749603,0.0004271776001027885,0.9721948297635417,0.0076900593798694405,0.0015878136200736391,3.0004121863799327,4.579288948036719e-09,-0.000223859310440222,0.9963915447362022,6.767045138952224e-05,0.0005214550121915223,0.0004271776001027885
ITE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,4469,6.767045138952211e-05,0.9963915447362076,0.0005214550121915223,0.9721994936749603,0.0004271776001027885,0.9721948297635417,0.0076900593798694405,1.5878136200802467e-05,3.000412186379931,4.579290058259744e-09,-0.00022385931043911178,0.9963915447361871,6.767045138952211e-05,0.0005214550121915223,0.0004271776001027885
ITE FP Equity_DX_UTILIZATION_QUANTITY,10,4469,6.767045138952211e-05,0.9963915447362076,0.0005214550121915223,0.9721994936749603,0.0004271776001027885,0.9721948297635417,0.0076900593798694405,3.175627240157631e-05,3.0004121863799322,4.579289392125929e-09,-0.00022385931043977791,0.9963915447361903,6.767045138952211e-05,0.0005214550121915223,0.0004271776001027885
ITE FP Equity_DX_ACTIVE_UTILIZATION_MV,10,4469,6.767045138952211e-05,0.9963915447362076,0.0005214550121915223,0.9721994936749603,0.0004271776001027885,0.9721948297635417,0.0076900593798694405,1.5878136200802467e-05,3.000412186379931,4.579290058259744e-09,-0.00022385931043911178,0.9963915447361871,6.767045138952211e-05,0.0005214550121915223,0.0004271776001027885
ITE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,4469,6.767045138952211e-05,0.9963915447362076,0.0005214550121915223,0.9721994936749603,0.0004271776001027885,0.9721948297635417,0.0076900593798694405,1.5878136200802467e-05,3.000412186379931,4.579290058259744e-09,-0.00022385931043911178,0.9963915447361871,6.767045138952211e-05,0.0005214550121915223,0.0004271776001027885
ITE FP Equity_DX_BROKER_SI_QTY_DEC,10,4469,-7.895281181270953e-06,0.999578991064528,0.0001913485790855028,0.989796782595595,0.00015675336296662532,0.9897950696674711,0.004676901480875628,-4.605734213993567e-07,3.00041405550582,6.233535909672128e-11,-0.0002238638284051131,0.9995789910645105,7.895281181270953e-06,0.0001913485790855028,0.00015675336296662532
ITE FP Equity_DX_SUPPLY_SI_QTY_DEC,10,4469,-7.895281181270953e-06,0.999578991064528,0.0001913485790855028,0.989796782595595,0.00015675336296662532,0.9897950696674711,0.004676901480875628,-4.605734213993567e-07,3.00041405550582,6.233535909672128e-11,-0.0002238638284051131,0.9995789910645105,7.895281181270953e-06,0.0001913485790855028,0.00015675336296662532
