feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
LSS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,4990,0.8781796830546514,0.0,0.8285883952137364,0.0,0.6811208487602166,0.0,1.510938150004951,3.6659884875285825e-07,5.675703443253973,0.7711995557299678,0.7711536855526883,0.0,0.8781796830546514,0.8285883952137364,0.6811208487602166
LSS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,4990,0.8748327013445026,0.0,0.8280473024484029,0.0,0.6794130569764872,0.0,1.5290994884072315,0.36635905263466073,5.588297175518665,0.7653322553417199,0.7652852088812832,0.0,0.8748327013445026,0.8280473024484029,0.6794130569764872
LSS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,4990,0.6124168608533505,0.0,0.6655018241832192,0.0,0.48069584686607886,0.0,1.5512859338582725,7.081770605072796e-06,6.383036546052178,0.37505441145747187,0.37492912164421144,0.0,0.6124168608533505,0.6655018241832192,0.48069584686607886
LSS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,10,4990,0.5306245255201417,0.0,0.512523128733081,0.0,0.3709711612235434,0.0,1.2348282715555077,2.9961933148995633e-06,11.560154641889998,0.28156238708347525,0.2814183538812064,0.0,0.5306245255201417,0.512523128733081,0.3709711612235434
LSS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,10,4990,0.4888290070725347,4.005090872393952e-298,0.4377750961219569,9.296529110434507e-233,0.29308289398816934,4.09461595111854e-208,1.2186754667978708,2.7325685410502037e-06,11.970618475634982,0.2389537981555201,0.23880122273413984,4.005090872386474e-298,0.4888290070725347,0.4377750961219569,0.29308289398816934
LSS FP Equity_DX_SHORT_INTEREST_VALUE,10,4990,0.48350285790022135,8.972400459645265e-291,0.44778983775284936,1.0220482939246158e-244,0.30604980235698476,6.548477998195182e-229,1.245781285473588,2.1928437065587876e-06,11.754688369821706,0.2337750135976816,0.2336213999275929,8.972400459647574e-291,0.48350285790022135,0.44778983775284936,0.30604980235698476
LSS FP Equity_DX_SUPPLY_SI_MV,10,4990,0.4709661311208445,5.604259233932889e-274,0.4232378271947051,4.226154697900673e-216,0.28622486074894976,3.5369285174277113e-194,1.1165478949279741,2.6172870532428014,12.019024539477604,0.2218090966629367,0.2216530840520029,5.604259233947074e-274,0.4709661311208445,0.4232378271947051,0.28622486074894976
LSS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,10,4990,-0.46788064362397375,5.9677839017837635e-270,-0.33831930730015825,7.24807861292792e-134,-0.22027668782968224,1.4154797384463193e-112,0.9546679533586651,-0.12830592812731925,18.85815538687306,0.21891229667798384,0.218755703313244,5.967783901797492e-270,0.46788064362397375,0.33831930730015825,0.22027668782968224
LSS FP Equity_DX_ACTIVE_UTILIZATION_MV,10,4990,-0.46781800176057564,7.196936906262363e-270,-0.33806902336750333,1.1683850104499375e-133,-0.2199073553532122,3.0702782717284194e-112,0.9482352319039764,-0.12828246365963522,18.85728936496012,0.21885368277125794,0.21869707765553437,7.1969369063004295e-270,0.46781800176057564,0.33806902336750333,0.2199073553532122
LSS FP Equity_DX_SI_MV,10,4990,0.4580991897014841,1.8732675617020895e-257,0.4274371780739915,7.902870710906519e-221,0.29240490396186103,2.4642494071963972e-206,1.2100218572764012,2.0081865936467493,11.890910443982797,0.20985486760515648,0.2096964583965768,1.873267561700008e-257,0.4580991897014841,0.4274371780739915,0.29240490396186103
LSS FP Equity_DX_BROKER_SI_CON_RATIO,10,4990,-0.4043366115776825,1.2338140548026196e-195,-0.4269546602755175,2.7828302103563532e-220,-0.2839875764628271,6.374158258478341e-196,1.2499264051194827,-15.400107459285058,22.709905923123397,0.16348809546212162,0.16332039058951975,1.2338140548027584e-195,0.4043366115776825,0.4269546602755175,0.2839875764628271
LSS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,4990,-0.40377497172424187,4.779345685648353e-195,-0.39225089476232394,3.1538954744364096e-183,-0.2592797667042857,1.1738461130743316e-163,1.1906460416409481,-0.15749889200182354,24.44903216069085,0.1630342277909126,0.16286643192639583,4.779345685649319e-195,0.40377497172424187,0.39225089476232394,0.2592797667042857
LSS FP Equity_DX_BROKER_SI_MV_INC_x,10,4990,0.26659220370115044,5.941763552129563e-82,0.40342714244340616,1.1041493112108261e-194,0.31931625859704454,7.952949227289548e-184,0.14092571192805536,30.01722108041477,14.451287276565113,0.07107140307423543,0.07088517039642339,5.941763552135927e-82,0.26659220370115044,0.40342714244340616,0.31931625859704454
LSS FP Equity_DX_BROKER_SI_MV_INC_y,10,4990,0.26659220370115044,5.941763552129563e-82,0.40342714244340616,1.1041493112108261e-194,0.31931625859704454,7.952949227289548e-184,0.14092571192805536,30.01722108041477,14.451287276565113,0.07107140307423543,0.07088517039642339,5.941763552135927e-82,0.26659220370115044,0.40342714244340616,0.31931625859704454
LSS FP Equity_DX_SUPPLY_SI_MV_DEC,10,4990,0.24766658629033544,1.2443725256968108e-70,0.45183168365131127,1.1699262282851166e-249,0.35169596174745327,1.2849428745887114e-229,0.13521986429278776,18.63110036270874,14.50595810542677,0.06133873796470812,0.06115055407095593,1.2443725256975716e-70,0.24766658629033544,0.45183168365131127,0.35169596174745327
LSS FP Equity_DX_BROKER_SI_MV_DEC,10,4990,0.21312269270945153,2.3605528360387653e-52,0.4404240457976987,6.984628020184127e-236,0.34428579368031753,1.5967684754134235e-219,0.14197335859643134,15.895972158955104,14.6390947368447,0.04542128214772723,0.045229907104051836,2.3605528360414044e-52,0.21312269270945153,0.4404240457976987,0.34428579368031753
LSS FP Equity_DX_DSS,10,4990,-0.20568205524736557,8.28657500981997e-49,-0.1808457671848161,5.982721618233491e-38,-0.14771355948104992,2.428355591022287e-37,0.12007249607105241,-8.833479422384153,15.899844645970743,0.04230510785078023,0.042113108072883376,8.286575009818862e-49,0.20568205524736557,0.1808457671848161,0.14771355948104992
LSS FP Equity_DX_BROKER_SI_QTY,10,4990,0.18065573954566305,7.149388393638457e-38,0.27816669390490195,2.390593982064874e-89,0.18014580988380727,1.893893625196531e-79,1.3657392693968555,1.9895000596860545e-05,13.915179653475708,0.03263649623079057,0.03244255807847107,7.149388393643981e-38,0.18065573954566305,0.27816669390490195,0.18014580988380727
LSS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,10,4990,-0.17071341144728633,6.067254274929931e-34,-0.21678224019481307,3.793884526927756e-54,-0.13788983725548826,3.8073758293716817e-47,0.9233137694869384,-0.16213914052211809,18.00070190848463,0.029143068847970355,0.02894843032929506,6.067254274927285e-34,0.17071341144728633,0.21678224019481307,0.13788983725548826
LSS FP Equity_DX_DEMAND_SUPPLY_RATIO,10,4990,-0.13666502993309573,3.1013262223381925e-22,-0.04278625064218505,0.002502450788848153,-0.03829572581770321,5.424557763805514e-05,1.355872097423505,-11.017712077418599,16.047154925092755,0.0186773304066139,0.018480593704610304,3.101326222338069e-22,0.13666502993309573,0.04278625064218505,0.03829572581770321
LSS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,10,4990,-0.13334099907808256,3.1058877515840568e-21,0.043836681957443294,0.0019527018750643522,0.02254638789820982,0.01847067821643838,1.2379294742446096,-1.3919876730846015,15.973120670788678,0.01777982203514128,0.017582905399622928,3.1058877515839263e-21,0.13334099907808256,0.043836681957443294,0.02254638789820982
LSS FP Equity_DX_UTILIZATION_QUANTITY,10,4990,-0.12665245323192828,2.691370960768383e-19,-0.014793144340736102,0.29612370148638084,-0.010634243973279207,0.2654510141156914,1.3633372647608182,-0.1610405746325107,16.07789289536276,0.01604084390966598,0.015843578641804967,2.691370960768831e-19,0.12665245323192828,0.014793144340736102,0.010634243973279207
LSS FP Equity_DX_BROKER_SI_QTY_INC,10,4990,0.12237428104161413,4.1367167128315085e-18,0.3624149111907015,9.526639441281435e-155,0.28152631604593686,4.928451365467762e-147,0.1360429754024408,0.00023346169120949754,14.973025920508661,0.014975464660451854,0.014777985804128702,4.136716712834214e-18,0.12237428104161413,0.3624149111907015,0.28152631604593686
LSS FP Equity_DX_SUPPLY_SI_QTY_INC_y,10,4990,0.10452790171140691,1.3386724016877721e-13,0.3824850398358132,1.418392152668795e-173,0.2987906524241993,1.402490046286295e-163,0.12363133235489254,0.00018448256146002588,15.014656662516385,0.010926082236189072,0.010727791555001365,1.3386724016881364e-13,0.10452790171140691,0.3824850398358132,0.2987906524241993
LSS FP Equity_DX_SUPPLY_SI_QTY_INC_x,10,4990,0.10452790171140691,1.3386724016877721e-13,0.3824850398358132,1.418392152668795e-173,0.2987906524241993,1.402490046286295e-163,0.12363133235489254,0.00018448256146002588,15.014656662516385,0.010926082236189072,0.010727791555001365,1.3386724016881364e-13,0.10452790171140691,0.3824850398358132,0.2987906524241993
LSS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,10,4990,-0.07615636628136126,7.198057542189615e-08,0.06303895227596548,8.335358782877586e-06,0.030553380636041464,0.001278771493692721,0.8992709700201891,-0.04278931506461186,15.535936386842428,0.0057997921251811135,0.005600473719432286,7.198057542188964e-08,0.07615636628136126,0.06303895227596548,0.030553380636041464
LSS FP Equity_DX_BROKER_SI_MV_ADD,10,4990,0.0686325691834466,1.2178696979333159e-06,0.16281767828075716,5.461488444503422e-31,0.13078623861917055,1.5800335326247882e-30,0.021230468656304957,6.484671833134609,15.153329694985162,0.0047104295527208295,0.004510892750305473,1.2178696979331185e-06,0.0686325691834466,0.16281767828075716,0.13078623861917055
LSS FP Equity_DX_SUPPLY_SI_QTY_DEC,10,4990,0.06436525505351123,5.3560112053906846e-06,0.409295068630039,7.07251407242177e-201,0.3091341621368665,5.150812803727119e-184,0.1340272785097567,7.30862865769858e-05,15.088040247056071,0.004142886058103534,0.003943235473912954,5.356011205390667e-06,0.06436525505351123,0.409295068630039,0.3091341621368665
LSS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,10,4990,-0.05426377952025143,0.00012553620980844916,0.09556565582310841,1.3372733756033217e-11,0.053230115638256956,2.996314747012603e-08,1.2001755620199512,-1.0797925963887818,15.588364624529799,0.00294455776782232,0.002744666941392304,0.00012553620980847868,0.05426377952025143,0.09556565582310841,0.053230115638256956
LSS FP Equity_DX_SUPPLY_SI_QTY,10,4990,0.04683688735617875,0.0009344878736747277,0.1385320070889927,8.289633802678806e-23,0.0867833336189576,8.999906017621277e-20,1.4243987739431914,4.5847424895759085e-06,14.893465819312524,0.002193694017215031,0.00199365265675322,0.0009344878736746218,0.04683688735617875,0.1385320070889927,0.0867833336189576
LSS FP Equity_DX_BROKER_SI_MV_RMV,10,4990,-0.027197635333498338,0.054717446147478324,-0.02811390211003182,0.047048972368664135,-0.022963587475176832,0.04711519117604049,0.0,-420.0293219621082,15.245265175434035,0.0007397113677338751,0.0005393785111514893,0.05471744614748137,0.027197635333498338,0.02811390211003182,0.022963587475176832
LSS FP Equity_DX_SUPPLY_SI_MV_RMV,10,4990,0.026569015714474696,0.06055997261320949,0.013343449180279462,0.3459949759414338,0.010901852845080861,0.34565881629161144,0.0,9.640621022494114,15.2287224165822,0.000705912596035585,0.0005055729634364514,0.060559972613210826,0.026569015714474696,0.013343449180279462,0.010901852845080861
LSS FP Equity_DX_BROKER_SI_QTY_DEC,10,4990,0.02630073082926192,0.0632062696921155,0.3907505605658063,1.0075401171196616e-181,0.2957066059260254,4.7391850636228216e-169,0.14317599870892606,2.1383426477655347e-05,15.19069219585348,0.000691728442153261,0.0004913859658985942,0.06320626969211206,0.02630073082926192,0.3907505605658063,0.2957066059260254
LSS FP Equity_DX_BROKER_SI_QTY_ADD,10,4990,-0.021637739800796568,0.12644192970944784,0.15356882311941794,1.0308926470469816e-27,0.12279253766592042,3.235818613522988e-27,0.023600337323793852,-1.9874849555503277e-05,15.256055839914355,0.00046819178368695535,0.00026780449254482086,0.12644192970944798,0.021637739800796568,0.15356882311941794,0.12279253766592042
LSS FP Equity_DX_BROKER_SI_QTY_NEW,10,4990,-0.021162103780545363,0.1349973429434135,-0.024987337985223616,0.07757432194858678,-0.02041595388657453,0.07747829658390408,0.0,-0.0007151196105545046,15.24379049741998,0.0004478346364180652,0.00024744326405157224,0.1349973429434212,0.021162103780545363,0.024987337985223616,0.02041595388657453
LSS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,10,4990,0.01372912180013531,0.33223247185389515,0.013266923726752014,0.34876831444586576,0.01083596719450577,0.3485561058177321,0.0,0.00013867220922474918,15.230833510829932,0.00018848878540245195,-1.1954580919848468e-05,0.3322324718538995,0.01372912180013531,0.013266923726752014,0.01083596719450577
LSS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,10,4990,-0.012159758312238164,0.39046132364067987,-0.008039839838517254,0.5701703510765049,-0.006572202874585952,0.5698169714585959,0.0,-0.00013537695724662313,15.240080288714509,0.00014785972221165178,-5.259178947203402e-05,0.39046132364067465,0.012159758312238164,0.008039839838517254,0.006572202874585952
LSS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,10,4990,-0.012159758312238164,0.39046132364067987,-0.008039839838517254,0.5701703510765049,-0.006572202874585952,0.5698169714585959,0.0,-0.00013537695724662313,15.240080288714509,0.00014785972221165178,-5.259178947203402e-05,0.39046132364067465,0.012159758312238164,0.008039839838517254,0.006572202874585952
LSS FP Equity_DX_SUPPLY_SI_MV_NEW,10,4990,0.008967815055270813,0.5265117203469493,-0.008017742409790024,0.5712306511121186,-0.006551069641605655,0.5710754255507605,0.0,8.221103622259365,15.23332056134181,8.04217068657298e-05,-0.0001200433248691457,0.5265117203469404,0.008967815055270813,0.008017742409790024,0.006551069641605655
LSS FP Equity_DX_BROKER_SI_MV_NEW_y,10,4990,0.006826024199618353,0.6297528829106536,-0.023189693840567988,0.10143666380677595,-0.018947271317315165,0.10134219348695177,0.0,26.415865738953016,15.233676757329624,4.659460637357338e-05,-0.00015387720705750674,0.6297528829106405,0.006826024199618353,0.023189693840567988,0.018947271317315165
LSS FP Equity_DX_BROKER_SI_MV_NEW_x,10,4990,0.006826024199618353,0.6297528829106536,-0.023189693840567988,0.10143666380677595,-0.018947271317315165,0.10134219348695177,0.0,26.415865738953016,15.233676757329624,4.659460637357338e-05,-0.00015387720705750674,0.6297528829106405,0.006826024199618353,0.023189693840567988,0.018947271317315165
LSS FP Equity_DX_SUPPLY_SI_QTY_ADD,10,4990,0.004247479854798049,0.7642016622827386,0.22517372369915553,2.184974503029544e-58,0.17817516086660024,2.0413980037742118e-56,0.05176417731201144,6.38895329821864e-06,15.230520047009762,1.8041085116937694e-05,-0.00018243645275695108,0.7642016622827588,0.004247479854798049,0.22517372369915553,0.17817516086660024
LSS FP Equity_DX_SI_QTY,10,4990,-0.0015490732224916484,0.9128859648364772,0.12603268729694503,4.021882763775427e-19,0.0726173586921451,1.9459653082252244e-14,1.435031188923324,-9.630325868647822e-08,15.246147774141853,2.3996278483151556e-06,-0.00019808104584306818,0.91288596483652,0.0015490732224916484,0.12603268729694503,0.0726173586921451
