feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
MAA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,10,4069,0.3144866534496606,4.243882126910316e-94,0.33206370877853747,2.4858988801826486e-105,0.23900601343629635,8.361905882740639e-94,0.9028118531508778,1.0599149300629305e-06,128.37971017891795,0.09890185519796701,0.09868029184788041,4.2438821269633644e-94,0.3144866534496606,0.33206370877853747,0.23900601343629635
MAA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,10,4069,0.3143112085284183,5.446511244796527e-94,0.3524653455121029,2.499026946075354e-119,0.25668564892669393,1.1821322737770423e-106,0.8942315642263732,1.0594000334747915,128.38293718253718,0.09879153580659528,0.09856994533101282,5.446511244699295e-94,0.3143112085284183,0.3524653455121029,0.25668564892669393
MAA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,10,4069,0.3076291071479553,6.435453876157403e-90,0.32832270081014836,7.06610318333804e-103,0.23429765945686365,1.9682056055101524e-89,0.8492208929833092,0.00015672784591270344,128.38747923957638,0.09463566756464825,0.09441305523801047,6.43545387622483e-90,0.3076291071479553,0.32832270081014836,0.23429765945686365
MAA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,10,4069,-0.11004059603772563,1.942157333136911e-12,-0.115911182624036,1.2019826120205965e-13,-0.08911937092180464,1.0562568957316416e-12,0.15430455121459707,-0.057563342389451023,131.89917095586773,0.012108932776338177,0.011866028653588212,1.9421573331359308e-12,0.11004059603772563,0.115911182624036,0.08911937092180464
MAA FP Equity_DX_BROKER_SI_CON_RATIO,10,4069,-0.10829093686297042,4.329288824663974e-12,-0.11625211795866967,1.0181410462756306e-13,-0.08959933431348172,8.67016151334293e-13,0.15452861656812233,-5.6987022933598945,131.87974689107222,0.011726927006660004,0.011483928955764111,4.3292888246703024e-12,0.10829093686297042,0.11625211795866967,0.08959933431348172
MAA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,10,4069,0.07516876603528469,1.5847735175779746e-06,0.06890954980314508,1.0848498570948747e-05,0.05448676297164591,1.643215498928904e-05,0.10419663380499666,0.1466844020171692,130.49833465204358,0.0056503433872675535,0.005405851216966795,1.5847735175739707e-06,0.07516876603528469,0.06890954980314508,0.05448676297164591
MAA FP Equity_DX_SI_QTY,10,4069,-0.05585375275093454,0.000364512948991485,-0.11566389647202276,1.3553604784509864e-13,-0.0909539984729272,6.943328798172987e-14,0.4922606476428777,-0.0003351226770081472,131.1759979778265,0.003119641696362474,0.0028745272733715632,0.0003645129489913814,0.05585375275093454,0.11566389647202276,0.0909539984729272
MAA FP Equity_DX_BROKER_SI_QTY,10,4069,-0.05258690931400738,0.0007915220931427538,-0.09382667351607364,2.016458117730074e-09,-0.07413464577930826,1.1391271984800566e-09,0.45144832719960437,-0.00032307125026799445,131.14644687275447,0.002765383031199997,0.002520181502562391,0.0007915220931433031,0.05258690931400738,0.09382667351607364,0.07413464577930826
MAA FP Equity_DX_DSS,10,4069,-0.05109917935211192,0.001111455440705574,-0.06995174015643979,7.960924584129675e-06,-0.05713460743211749,8.135635273194766e-06,0.008478669514954573,-21.295359879584037,130.87424876847297,0.0026111261304597733,0.00236588667290627,0.00111145544070587,0.05109917935211192,0.06995174015643979,0.05713460743211749
MAA FP Equity_DX_DEMAND_SUPPLY_RATIO,10,4069,-0.04007626543516883,0.010568396113839704,-0.09121134093944376,5.588790325187849e-09,-0.07047335378922742,1.0518021386573996e-08,0.20014085164481776,-0.04610397902997492,130.8911217345849,0.001606107051230321,0.0013606204780930442,0.010568396113837501,0.04007626543516883,0.09121134093944376,0.07047335378922742
